device,model,accelerator,requires_grad,batch_size,sequence_length,max_memory,avg_memory,trainable_params,total_params,macs,mean
herron_cpu,bert,0.0,0.0,1.0,1.0,1945.76953125,1945.759375,0.0,109482240.0,85524480.0,0.0310325559519696
herron_cpu,bert,0.0,0.0,1.0,2.0,4439.34375,4439.34375,0.0,109482240.0,170459136.0,0.0342731849988922
herron_cpu,bert,0.0,0.0,1.0,4.0,4440.24609375,4440.24609375,0.0,109482240.0,340328448.0,0.0616427003988064
herron_cpu,bert,0.0,0.0,1.0,8.0,4440.796875,4440.794921875,0.0,109482240.0,680067072.0,0.0826154527487233
herron_cpu,bert,0.0,0.0,1.0,16.0,4442.87890625,4442.28515625,0.0,109482240.0,1359544320.0,0.0696599826507736
herron_cpu,bert,0.0,0.0,1.0,32.0,4445.32421875,4445.041666666667,0.0,109482240.0,2718498816.0,0.0828641647996846
herron_cpu,bert,0.0,0.0,1.0,64.0,4447.3359375,4446.9453125,0.0,109482240.0,5436407808.0,0.1115586331463418
herron_cpu,bert,0.0,0.0,1.0,128.0,4456.0859375,4455.7578125,0.0,109482240.0,10872225792.0,0.1701819578476716
herron_cpu,bert,0.0,0.0,1.0,256.0,4470.234375,4469.908203125,0.0,109482240.0,21743861760.0,0.3042619296000339
herron_cpu,bert,0.0,0.0,1.0,512.0,4542.40234375,4513.226345486111,0.0,109482240.0,43487133696.0,0.6613746103539597
herron_cpu,roberta,0.0,0.0,1.0,1.0,2082.328125,2082.328125,0.0,124645632.0,85524480.0,0.0298483192978892
herron_cpu,roberta,0.0,0.0,1.0,2.0,4101.796875,4101.796875,0.0,124645632.0,170459136.0,0.0334465421969071
herron_cpu,roberta,0.0,0.0,1.0,4.0,4102.71484375,4102.71484375,0.0,124645632.0,340328448.0,0.0592996278021018
herron_cpu,roberta,0.0,0.0,1.0,8.0,4103.24609375,4103.24453125,0.0,124645632.0,680067072.0,0.0800202697515487
herron_cpu,roberta,0.0,0.0,1.0,16.0,4104.5,4104.27890625,0.0,124645632.0,1359544320.0,0.0695242931018583
herron_cpu,roberta,0.0,0.0,1.0,32.0,4106.33203125,4106.0265625,0.0,124645632.0,2718498816.0,0.0827276580967009
herron_cpu,roberta,0.0,0.0,1.0,64.0,4108.49609375,4108.06328125,0.0,124645632.0,5436407808.0,0.1136571956507395
herron_cpu,roberta,0.0,0.0,1.0,128.0,4115.0859375,4114.856584821428,0.0,124645632.0,10872225792.0,0.1705886500480119
herron_cpu,roberta,0.0,0.0,1.0,256.0,4130.12890625,4129.73388671875,0.0,124645632.0,21743861760.0,0.3014125289511867
herron_cpu,roberta,0.0,0.0,1.0,512.0,4159.63671875,4159.141183035715,0.0,124645632.0,43487133696.0,0.6504266759497114
herron_cpu,deberta,0.0,0.0,1.0,1.0,2189.953125,2189.953125,0.0,138601728.0,113246208.0,0.0370255483954679
herron_cpu,deberta,0.0,0.0,1.0,2.0,4157.5390625,4157.3984375,0.0,138601728.0,226492416.0,0.0451213248539716
herron_cpu,deberta,0.0,0.0,1.0,4.0,4158.1875,4158.11953125,0.0,138601728.0,452984832.0,0.0764821065007708
herron_cpu,deberta,0.0,0.0,1.0,8.0,4159.1484375,4159.0984375,0.0,138601728.0,905969664.0,0.1011041429475881
herron_cpu,deberta,0.0,0.0,1.0,16.0,4160.12890625,4160.11015625,0.0,138601728.0,1811939328.0,0.0845007991534657
herron_cpu,deberta,0.0,0.0,1.0,32.0,4161.80859375,4161.409505208333,0.0,138601728.0,3623878656.0,0.1059134582988917
herron_cpu,deberta,0.0,0.0,1.0,64.0,4166.54296875,4166.178385416667,0.0,138601728.0,7247757312.0,0.149977143551223
herron_cpu,deberta,0.0,0.0,1.0,128.0,4182.25,4182.092329545455,0.0,138601728.0,14495514624.0,0.2490838858997449
herron_cpu,deberta,0.0,0.0,1.0,256.0,4222.25,4222.053125,0.0,138601728.0,28991029248.0,0.4914913158980198
herron_cpu,deberta,0.0,0.0,1.0,512.0,4277.33203125,4254.215959821428,0.0,138601728.0,57982058496.0,1.3804021599993574
herron_cpu,distilbert,0.0,0.0,1.0,1.0,1618.3671875,1490.715625,0.0,66362880.0,42467328.0,0.0149135089479386
herron_cpu,distilbert,0.0,0.0,1.0,2.0,3857.41015625,3857.41015625,0.0,66362880.0,84934656.0,0.0170325213985051
herron_cpu,distilbert,0.0,0.0,1.0,4.0,3858.48046875,3858.478966346154,0.0,66362880.0,169869312.0,0.0300325944030191
herron_cpu,distilbert,0.0,0.0,1.0,8.0,3858.6328125,3858.6328125,0.0,66362880.0,339738624.0,0.0402462333498988
herron_cpu,distilbert,0.0,0.0,1.0,16.0,3860.3984375,3860.381417410714,0.0,66362880.0,679477248.0,0.0352729126519989
herron_cpu,distilbert,0.0,0.0,1.0,32.0,3862.828125,3862.765869140625,0.0,66362880.0,1358954496.0,0.0422975036024581
herron_cpu,distilbert,0.0,0.0,1.0,64.0,3866.328125,3866.251644736842,0.0,66362880.0,2717908992.0,0.0562685980985406
herron_cpu,distilbert,0.0,0.0,1.0,128.0,3875.78125,3875.0625,0.0,66362880.0,5435817984.0,0.0865723080991301
