device,model,accelerator,requires_grad,batch_size,sequence_length,max_memory,avg_memory,trainable_params,total_params,macs,mean
herron_gpu,bert,1.0,0.0,1.0,1.0,2940993536.0,2940993536.0,0.0,109482240.0,85524480.0,0.0055581697495654
herron_gpu,bert,1.0,0.0,1.0,2.0,2940993536.0,2940993536.0,0.0,109482240.0,170459136.0,0.0058422655041795
herron_gpu,bert,1.0,0.0,1.0,4.0,2940993536.0,2940993536.0,0.0,109482240.0,340328448.0,0.0059852821985259
herron_gpu,bert,1.0,0.0,1.0,8.0,2940993536.0,2940993536.0,0.0,109482240.0,680067072.0,0.0061241448507644
herron_gpu,bert,1.0,0.0,1.0,16.0,2940993536.0,2940993536.0,0.0,109482240.0,1359544320.0,0.0061444726015906
herron_gpu,bert,1.0,0.0,1.0,32.0,2940993536.0,2940993536.0,0.0,109482240.0,2718498816.0,0.0064438973029609
herron_gpu,bert,1.0,0.0,1.0,64.0,2943090688.0,2943090688.0,0.0,109482240.0,5436407808.0,0.006399535347009
herron_gpu,bert,1.0,0.0,1.0,128.0,2945187840.0,2945187840.0,0.0,109482240.0,10872225792.0,0.0064994494488928
herron_gpu,bert,1.0,0.0,1.0,256.0,2947284992.0,2947284992.0,0.0,109482240.0,21743861760.0,0.0065892690501641
herron_gpu,bert,1.0,0.0,1.0,512.0,2959867904.0,2959867904.0,0.0,109482240.0,43487133696.0,0.0125676678493618
herron_gpu,roberta,1.0,0.0,1.0,1.0,3001810944.0,3001810944.0,0.0,124645632.0,85524480.0,0.0065262665448244
herron_gpu,roberta,1.0,0.0,1.0,2.0,3001810944.0,3001810944.0,0.0,124645632.0,170459136.0,0.0059523636009544
herron_gpu,roberta,1.0,0.0,1.0,4.0,3001810944.0,3001810944.0,0.0,124645632.0,340328448.0,0.0061679169535636
herron_gpu,roberta,1.0,0.0,1.0,8.0,3001810944.0,3001810944.0,0.0,124645632.0,680067072.0,0.0060512076481245
herron_gpu,roberta,1.0,0.0,1.0,16.0,3001810944.0,3001810944.0,0.0,124645632.0,1359544320.0,0.0061990518006496
herron_gpu,roberta,1.0,0.0,1.0,32.0,3001810944.0,3001810944.0,0.0,124645632.0,2718498816.0,0.0064681980002205
herron_gpu,roberta,1.0,0.0,1.0,64.0,3003908096.0,3003908096.0,0.0,124645632.0,5436407808.0,0.0065882843511644
herron_gpu,roberta,1.0,0.0,1.0,128.0,3006005248.0,3006005248.0,0.0,124645632.0,10872225792.0,0.0064999691501725
herron_gpu,roberta,1.0,0.0,1.0,256.0,3008102400.0,3008102400.0,0.0,124645632.0,21743861760.0,0.0066986993479076
herron_gpu,roberta,1.0,0.0,1.0,512.0,3020685312.0,3020685312.0,0.0,124645632.0,43487133696.0,0.0125073034490924
herron_gpu,deberta,1.0,0.0,1.0,1.0,3064725504.0,3064725504.0,0.0,138601728.0,113246208.0,0.0104386469989549
herron_gpu,deberta,1.0,0.0,1.0,2.0,3064725504.0,3064725504.0,0.0,138601728.0,226492416.0,0.0108534630038775
herron_gpu,deberta,1.0,0.0,1.0,4.0,3064725504.0,3064725504.0,0.0,138601728.0,452984832.0,0.0111789825023151
herron_gpu,deberta,1.0,0.0,1.0,8.0,3064725504.0,3064725504.0,0.0,138601728.0,905969664.0,0.0111181427026167
herron_gpu,deberta,1.0,0.0,1.0,16.0,3064725504.0,3064725504.0,0.0,138601728.0,1811939328.0,0.0112098762008827
herron_gpu,deberta,1.0,0.0,1.0,32.0,3066822656.0,3066822656.0,0.0,138601728.0,3623878656.0,0.0116408160014543
herron_gpu,deberta,1.0,0.0,1.0,64.0,3071016960.0,3071016960.0,0.0,138601728.0,7247757312.0,0.0119227965013124
herron_gpu,deberta,1.0,0.0,1.0,128.0,3077308416.0,3077308416.0,0.0,138601728.0,14495514624.0,0.0116468805528711
herron_gpu,deberta,1.0,0.0,1.0,256.0,3104571392.0,3104571392.0,0.0,138601728.0,28991029248.0,0.0118557429464999
herron_gpu,deberta,1.0,0.0,1.0,512.0,3154903040.0,3154903040.0,0.0,138601728.0,57982058496.0,0.0224290882004424
herron_gpu,distilbert,1.0,0.0,1.0,1.0,2731278336.0,2731278336.0,0.0,66362880.0,42467328.0,0.003190793597605
herron_gpu,distilbert,1.0,0.0,1.0,2.0,2731278336.0,2731278336.0,0.0,66362880.0,84934656.0,0.0031099518528208
herron_gpu,distilbert,1.0,0.0,1.0,4.0,2731278336.0,2731278336.0,0.0,66362880.0,169869312.0,0.0031892687489744
herron_gpu,distilbert,1.0,0.0,1.0,8.0,2731278336.0,2731278336.0,0.0,66362880.0,339738624.0,0.0032271218951791
herron_gpu,distilbert,1.0,0.0,1.0,16.0,2731278336.0,2731278336.0,0.0,66362880.0,679477248.0,0.0032157988520339
herron_gpu,distilbert,1.0,0.0,1.0,32.0,2731278336.0,2731278336.0,0.0,66362880.0,1358954496.0,0.0034523985988926
herron_gpu,distilbert,1.0,0.0,1.0,64.0,2733375488.0,2733375488.0,0.0,66362880.0,2717908992.0,0.0034721729985903
herron_gpu,distilbert,1.0,0.0,1.0,128.0,2735472640.0,2735472640.0,0.0,66362880.0,5435817984.0,0.0034492310951463
herron_gpu,distilbert,1.0,0.0,1.0,256.0,2758541312.0,2758541312.0,0.0,66362880.0,10871635968.0,0.0034617777040693
herron_gpu,distilbert,1.0,0.0,1.0,512.0,2771124224.0,2771124224.0,0.0,66362880.0,21743271936.0,0.0060363625467289
herron_gpu,funnel_transformer,1.0,0.0,1.0,8.0,3024879616.0,3024879616.0,0.0,130973184.0,516685824.0,0.0132882081496063
herron_gpu,funnel_transformer,1.0,0.0,1.0,16.0,3026976768.0,3026976768.0,0.0,130973184.0,1033371648.0,0.0131448635016568
herron_gpu,funnel_transformer,1.0,0.0,1.0,32.0,3029073920.0,3029073920.0,0.0,130973184.0,2066743296.0,0.0138070296030491
herron_gpu,funnel_transformer,1.0,0.0,1.0,64.0,3033268224.0,3033268224.0,0.0,130973184.0,4133486592.0,0.0136992959480267
herron_gpu,funnel_transformer,1.0,0.0,1.0,128.0,3037462528.0,3037462528.0,0.0,130973184.0,8266973184.0,0.013895783497719
herron_gpu,funnel_transformer,1.0,0.0,1.0,256.0,3064725504.0,3064725504.0,0.0,130973184.0,16533946368.0,0.0141218835487961
herron_gpu,funnel_transformer,1.0,0.0,1.0,512.0,3152805888.0,3152805888.0,0.0,130973184.0,33067892736.0,0.0166280543489847
herron_gpu,bert,1.0,0.0,1.0,1.0,2940993536.0,2940993536.0,0.0,109482240.0,85524480.0,0.0056377808039542
herron_gpu,bert,1.0,0.0,1.0,2.0,2940993536.0,2940993536.0,0.0,109482240.0,170459136.0,0.0059559224988333
herron_gpu,bert,1.0,0.0,1.0,4.0,2940993536.0,2940993536.0,0.0,109482240.0,340328448.0,0.0061556169530376
herron_gpu,bert,1.0,0.0,1.0,8.0,2940993536.0,2940993536.0,0.0,109482240.0,680067072.0,0.0062176810461096
herron_gpu,bert,1.0,0.0,1.0,16.0,2940993536.0,2940993536.0,0.0,109482240.0,1359544320.0,0.006196608801838
herron_gpu,bert,1.0,0.0,1.0,32.0,2940993536.0,2940993536.0,0.0,109482240.0,2718498816.0,0.0065209774009417
herron_gpu,bert,1.0,0.0,1.0,64.0,2943090688.0,2943090688.0,0.0,109482240.0,5436407808.0,0.0065699040482286
herron_gpu,bert,1.0,0.0,1.0,128.0,2945187840.0,2945187840.0,0.0,109482240.0,10872225792.0,0.0066369270498398
herron_gpu,bert,1.0,0.0,1.0,256.0,2947284992.0,2947284992.0,0.0,109482240.0,21743861760.0,0.0067552182008512
herron_gpu,bert,1.0,0.0,1.0,512.0,2959867904.0,2959867904.0,0.0,109482240.0,43487133696.0,0.0126414161524735
herron_gpu,roberta,1.0,0.0,1.0,1.0,3001810944.0,3001810944.0,0.0,124645632.0,85524480.0,0.0065602800983469
herron_gpu,roberta,1.0,0.0,1.0,2.0,3001810944.0,3001810944.0,0.0,124645632.0,170459136.0,0.0061212668020743
herron_gpu,roberta,1.0,0.0,1.0,4.0,3001810944.0,3001810944.0,0.0,124645632.0,340328448.0,0.0063261556497309
herron_gpu,roberta,1.0,0.0,1.0,8.0,3001810944.0,3001810944.0,0.0,124645632.0,680067072.0,0.0063109471520874
herron_gpu,roberta,1.0,0.0,1.0,16.0,3001810944.0,3001810944.0,0.0,124645632.0,1359544320.0,0.0062367534032091
herron_gpu,roberta,1.0,0.0,1.0,32.0,3001810944.0,3001810944.0,0.0,124645632.0,2718498816.0,0.0066279591526836
herron_gpu,roberta,1.0,0.0,1.0,64.0,3003908096.0,3003908096.0,0.0,124645632.0,5436407808.0,0.0067003996460698
herron_gpu,roberta,1.0,0.0,1.0,128.0,3006005248.0,3006005248.0,0.0,124645632.0,10872225792.0,0.0066703387012239
herron_gpu,roberta,1.0,0.0,1.0,256.0,3008102400.0,3008102400.0,0.0,124645632.0,21743861760.0,0.0066989006008952
