device,model,accelerator,requires_grad,use_torchscript,num_threads,batch_size,img_size,avg_memory,max_memory,latency
herron_cpu,vit32,0.0,0.0,1.0,1.0,1.0,224.0,1496.048549107143,1496.55078125,0.1535531124973204
herron_cpu,vit32,0.0,0.0,1.0,1.0,1.0,384.0,4436.17734375,4439.89453125,0.3423678173974622
herron_cpu,vit32,0.0,0.0,1.0,1.0,1.0,448.0,4802.49609375,4802.49609375,0.4468409444496501
herron_cpu,vit32,0.0,0.0,1.0,1.0,1.0,512.0,4808.046875,4808.046875,0.5752306610462256
herron_cpu,efficientnet,0.0,0.0,1.0,1.0,1.0,224.0,1525.4303385416667,1526.83203125,0.2136536512465681
herron_cpu,efficientnet,0.0,0.0,1.0,1.0,1.0,384.0,4273.823102678572,4278.62890625,0.5416470866010059
herron_cpu,efficientnet,0.0,0.0,1.0,1.0,1.0,448.0,4498.750558035715,4504.8984375,0.7524795713485218
herron_cpu,efficientnet,0.0,0.0,1.0,1.0,1.0,512.0,4665.8125,4665.8125,0.9917737333511468
herron_cpu,efficientnet_lite,0.0,0.0,1.0,1.0,1.0,224.0,1194.05859375,1194.05859375,0.0193048485496547
herron_cpu,efficientnet_lite,0.0,0.0,1.0,1.0,1.0,384.0,3805.122869318182,3805.125,0.0538792275532614
herron_cpu,efficientnet_lite,0.0,0.0,1.0,1.0,1.0,448.0,3951.840144230769,3979.1328125,0.0889563167002052
herron_cpu,efficientnet_lite,0.0,0.0,1.0,1.0,1.0,512.0,4117.78125,4132.78515625,0.1216778399480972
herron_cpu,gernet,0.0,0.0,1.0,1.0,1.0,224.0,1238.2682291666667,1238.33203125,0.0510298382490873
herron_cpu,gernet,0.0,0.0,1.0,1.0,1.0,384.0,3835.170703125,3835.546875,0.1206324942992068
herron_cpu,gernet,0.0,0.0,1.0,1.0,1.0,448.0,3934.8203125,3934.8203125,0.1673279874492436
herron_cpu,gernet,0.0,0.0,1.0,1.0,1.0,512.0,4063.0234375,4063.0234375,0.2204287272470537
herron_cpu,resnet18,0.0,0.0,1.0,1.0,1.0,224.0,1188.46484375,1188.46484375,0.0351108078029938
herron_cpu,resnet18,0.0,0.0,1.0,1.0,1.0,384.0,3779.792410714286,3779.79296875,0.0923801890516188
herron_cpu,resnet18,0.0,0.0,1.0,1.0,1.0,448.0,3829.890625,3829.890625,0.1218536531494464
herron_cpu,resnet18,0.0,0.0,1.0,1.0,1.0,512.0,3911.2109375,3911.2109375,0.1590324888995383
herron_cpu,alexnet,0.0,0.0,1.0,1.0,1.0,224.0,1348.8359375,1348.8359375,0.0280452489503659
herron_cpu,alexnet,0.0,0.0,1.0,1.0,1.0,384.0,3851.05,3851.05078125,0.0477459609974175
herron_cpu,alexnet,0.0,0.0,1.0,1.0,1.0,448.0,3867.4453125,3867.4453125,0.0578285546507686
herron_cpu,alexnet,0.0,0.0,1.0,1.0,1.0,512.0,3885.3984375,3885.3984375,0.071049008850241
herron_cpu,squeezenet,0.0,0.0,1.0,1.0,1.0,224.0,1140.11328125,1140.11328125,0.0263663680001627
herron_cpu,squeezenet,0.0,0.0,1.0,1.0,1.0,384.0,3732.018415178572,3732.01953125,0.0815887428994756
herron_cpu,squeezenet,0.0,0.0,1.0,1.0,1.0,448.0,3796.2890625,3796.2890625,0.1113891477987635
herron_cpu,squeezenet,0.0,0.0,1.0,1.0,1.0,512.0,3854.94921875,3854.94921875,0.1477033368486445
herron_cpu,vgg16,0.0,0.0,1.0,1.0,1.0,224.0,1704.0546875,1704.0546875,0.2585470149002503
herron_cpu,vgg16,0.0,0.0,1.0,1.0,1.0,384.0,4244.859114583333,4321.75,0.6904368461982813
herron_cpu,vgg16,0.0,0.0,1.0,1.0,1.0,448.0,4274.3305431547615,4367.671875,0.9303463868505788
herron_cpu,vgg16,0.0,0.0,1.0,1.0,1.0,512.0,4300.0875,4329.484375,1.2089825750968886
herron_cpu,densenet,0.0,0.0,1.0,1.0,1.0,224.0,1409.189453125,1410.80078125,0.1412472210533451
herron_cpu,densenet,0.0,0.0,1.0,1.0,1.0,384.0,4194.134765625,4195.23828125,0.3886571488517802
herron_cpu,densenet,0.0,0.0,1.0,1.0,1.0,448.0,4545.296006944444,4545.296875,0.5551404784957412
herron_cpu,densenet,0.0,0.0,1.0,1.0,1.0,512.0,4853.15625,4854.0859375,0.7156496448500548
herron_cpu,inception,0.0,0.0,1.0,1.0,1.0,224.0,1288.64453125,1288.64453125,0.0684441243007313
herron_cpu,inception,0.0,0.0,1.0,1.0,1.0,384.0,3898.9515625,3900.49609375,0.2002715563983656
herron_cpu,inception,0.0,0.0,1.0,1.0,1.0,448.0,4033.06875,4048.0703125,0.2717035920999479
