accelerator,avg_memory,batch_size,device,latency,max_memory,model,requires_grad,sequence_length,use_torchscript
1.0,1956.096704727564,1.0,jetson_gpu,0.026547397899412316,1963.43359375,bert,0.0,1.0,1.0
1.0,1993.709635416667,1.0,jetson_gpu,0.031040295700222487,1996.40625,bert,0.0,2.0,1.0
1.0,2024.5405208333334,1.0,jetson_gpu,0.03054851490014698,2027.19140625,bert,0.0,4.0,1.0
1.0,2055.4559375,1.0,jetson_gpu,0.03595088294969173,2058.109375,bert,0.0,8.0,1.0
1.0,2086.189453125,1.0,jetson_gpu,0.039300266400096005,2088.73046875,bert,0.0,16.0,1.0
1.0,2116.836554276316,1.0,jetson_gpu,0.04216984894956114,2119.36328125,bert,0.0,32.0,1.0
1.0,2147.33875,1.0,jetson_gpu,0.08540362560015638,2149.87109375,bert,0.0,64.0,1.0
1.0,2177.970729166667,1.0,jetson_gpu,0.1379150897504587,2180.48828125,bert,0.0,128.0,1.0
1.0,2208.2590625,1.0,jetson_gpu,0.28808032004963025,2210.7890625,bert,0.0,256.0,1.0
1.0,2238.658308699324,1.0,jetson_gpu,0.6311176076000266,2241.234375,bert,0.0,512.0,1.0
1.0,1977.3897804054056,1.0,jetson_gpu,0.028407825549948033,1983.24609375,roberta,0.0,1.0,1.0
1.0,2013.5965008802814,1.0,jetson_gpu,0.03217435460028355,2016.44140625,roberta,0.0,2.0,1.0
1.0,2044.788248697917,1.0,jetson_gpu,0.031247422700107563,2047.60546875,roberta,0.0,4.0,1.0
1.0,2076.078721788195,1.0,jetson_gpu,0.03726676240039524,2078.8515625,roberta,0.0,8.0,1.0
1.0,2107.139982876712,1.0,jetson_gpu,0.03747103400019114,2109.8203125,roberta,0.0,16.0,1.0
1.0,2138.2227604166665,1.0,jetson_gpu,0.0429696448998584,2140.8046875,roberta,0.0,32.0,1.0
1.0,2168.8529166666667,1.0,jetson_gpu,0.08580394770033309,2171.43359375,roberta,0.0,64.0,1.0
1.0,2199.7883429276317,1.0,jetson_gpu,0.1384323996004241,2202.3125,roberta,0.0,128.0,1.0
1.0,2230.7303185096152,1.0,jetson_gpu,0.2885364726498665,2233.203125,roberta,0.0,256.0,1.0
1.0,2260.4249901107596,1.0,jetson_gpu,0.6321348788500473,2262.71875,roberta,0.0,512.0,1.0
1.0,1991.8800469406513,1.0,jetson_gpu,0.06882753444951957,1994.77734375,deberta,0.0,1.0,1.0
1.0,2054.271930686583,1.0,jetson_gpu,0.07341444850026163,2062.328125,deberta,0.0,2.0,1.0
1.0,2126.4312767665947,1.0,jetson_gpu,0.061597999499645076,2134.5546875,deberta,0.0,4.0,1.0
1.0,2198.64839576656,1.0,jetson_gpu,0.07218733555055222,2206.6796875,deberta,0.0,8.0,1.0
1.0,2270.755926148505,1.0,jetson_gpu,0.06184413119990495,2278.875,deberta,0.0,16.0,1.0
1.0,2342.9019931891025,1.0,jetson_gpu,0.0758683355001267,2351.02734375,deberta,0.0,32.0,1.0
1.0,2405.127642706131,1.0,jetson_gpu,0.1128708951495355,2409.12109375,deberta,0.0,64.0,1.0
1.0,2441.3067819148937,1.0,jetson_gpu,0.20320782194976345,2452.49609375,deberta,0.0,128.0,1.0
1.0,2453.5813829787235,1.0,jetson_gpu,0.4637992404997931,2471.1171875,deberta,0.0,256.0,1.0
1.0,2108.2692446278825,1.0,jetson_gpu,1.159110241700546,2477.12890625,deberta,0.0,512.0,1.0
1.0,1908.97265625,1.0,jetson_gpu,0.01556372510021902,1908.97265625,distilbert,0.0,1.0,1.0
1.0,1922.13671875,1.0,jetson_gpu,0.015958701149793343,1922.13671875,distilbert,0.0,2.0,1.0
1.0,1933.54296875,1.0,jetson_gpu,0.017440207699837628,1933.54296875,distilbert,0.0,4.0,1.0
1.0,1945.08984375,1.0,jetson_gpu,0.01780047479987843,1945.08984375,distilbert,0.0,8.0,1.0
1.0,1957.01171875,1.0,jetson_gpu,0.018580056900100318,1957.01171875,distilbert,0.0,16.0,1.0
1.0,1968.61328125,1.0,jetson_gpu,0.02119473799975822,1968.61328125,distilbert,0.0,32.0,1.0
1.0,1980.28515625,1.0,jetson_gpu,0.04300263569966774,1980.28515625,distilbert,0.0,64.0,1.0
1.0,1991.9296875,1.0,jetson_gpu,0.06922168520031846,1991.9296875,distilbert,0.0,128.0,1.0
1.0,2003.515625,1.0,jetson_gpu,0.1443876076999004,2003.515625,distilbert,0.0,256.0,1.0
1.0,2015.05078125,1.0,jetson_gpu,0.3149289454500831,2015.05078125,distilbert,0.0,512.0,1.0
1.0,2005.7115227059928,1.0,jetson_gpu,0.06999713600016548,2016.5859375,funnel_transformer,0.0,8.0,1.0
1.0,2083.054356971154,1.0,jetson_gpu,0.07328484734971426,2091.8515625,funnel_transformer,0.0,16.0,1.0
1.0,2156.400721153846,1.0,jetson_gpu,0.07185983805029536,2165.2578125,funnel_transformer,0.0,32.0,1.0
1.0,2229.6990999287073,1.0,jetson_gpu,0.0940203942998778,2238.4609375,funnel_transformer,0.0,64.0,1.0
1.0,2303.023980850564,1.0,jetson_gpu,0.1514237848998164,2311.5390625,funnel_transformer,0.0,128.0,1.0
1.0,2355.8286170085876,1.0,jetson_gpu,0.31187882275044104,2363.22265625,funnel_transformer,0.0,256.0,1.0
1.0,2371.951605902778,1.0,jetson_gpu,0.7122841045005771,2386.6015625,funnel_transformer,0.0,512.0,1.0
1.0,1963.4163941375969,1.0,jetson_gpu,0.028214875450066755,1969.80078125,albert,0.0,1.0,1.0
1.0,1997.7346064814817,1.0,jetson_gpu,0.03415452584958985,2002.5546875,albert,0.0,2.0,1.0
1.0,2029.6429108796294,1.0,jetson_gpu,0.030512573850137413,2034.55078125,albert,0.0,4.0,1.0
1.0,2061.3740234375,1.0,jetson_gpu,0.03866955124976812,2066.12109375,albert,0.0,8.0,1.0
1.0,2093.1380208333335,1.0,jetson_gpu,0.037492865749663914,2097.88671875,albert,0.0,16.0,1.0
1.0,2124.8566261574074,1.0,jetson_gpu,0.042949187050544416,2129.68359375,albert,0.0,32.0,1.0
1.0,2156.300837455036,1.0,jetson_gpu,0.0855027888501354,2161.11328125,albert,0.0,64.0,1.0
1.0,2187.908738425926,1.0,jetson_gpu,0.13829820340033622,2192.66015625,albert,0.0,128.0,1.0
1.0,2219.4577256944444,1.0,jetson_gpu,0.28827929829931237,2224.046875,albert,0.0,256.0,1.0
1.0,2251.060279901079,1.0,jetson_gpu,0.6317406085501716,2255.92578125,albert,0.0,512.0,1.0
1.0,2311.169714095745,1.0,jetson_gpu,0.985069982600544,2329.24609375,longformer,0.0,1.0,1.0
1.0,2334.047238372093,1.0,jetson_gpu,0.9852043296494232,2334.05078125,longformer,0.0,2.0,1.0
1.0,2378.3979048295455,1.0,jetson_gpu,0.985166722699796,2388.53125,longformer,0.0,4.0,1.0
1.0,2455.8899872448983,1.0,jetson_gpu,0.9856612606999988,2468.421875,longformer,0.0,8.0,1.0
1.0,2235.2056501384873,1.0,jetson_gpu,0.10068291115021566,2252.55859375,mobile_bert,0.0,1.0,1.0
1.0,2258.6196490754082,1.0,jetson_gpu,0.1362482253498456,2275.51953125,mobile_bert,0.0,2.0,1.0
1.0,2415.631435151734,1.0,jetson_gpu,0.11080735814975924,2431.40625,mobile_bert,0.0,4.0,1.0
1.0,2571.1446667268788,1.0,jetson_gpu,0.11049437354959082,2586.75390625,mobile_bert,0.0,8.0,1.0
1.0,2725.8641748612454,1.0,jetson_gpu,0.12256239214984817,2741.33203125,mobile_bert,0.0,16.0,1.0
