accelerator,batch_size,device,macs,model,sequence_length
.0,1.0,laptop_cpu,85524480.0,bert,1.0
0.0,1.0,laptop_cpu,170459136.0,bert,2.0
0.0,1.0,laptop_cpu,340328448.0,bert,4.0
0.0,1.0,laptop_cpu,680067072.0,bert,8.0
0.0,1.0,laptop_cpu,1359544320.0,bert,16.0
0.0,1.0,laptop_cpu,2718498816.0,bert,32.0
0.0,1.0,laptop_cpu,5436407808.0,bert,64.0
0.0,1.0,laptop_cpu,10872225792.0,bert,128.0
0.0,1.0,laptop_cpu,21743861760.0,bert,256.0
0.0,1.0,laptop_cpu,43487133696.0,bert,512.0
0.0,1.0,laptop_cpu,85524480.0,roberta,1.0
0.0,1.0,laptop_cpu,170459136.0,roberta,2.0
0.0,1.0,laptop_cpu,340328448.0,roberta,4.0
0.0,1.0,laptop_cpu,680067072.0,roberta,8.0
0.0,1.0,laptop_cpu,1359544320.0,roberta,16.0
0.0,1.0,laptop_cpu,2718498816.0,roberta,32.0
0.0,1.0,laptop_cpu,5436407808.0,roberta,64.0
0.0,1.0,laptop_cpu,10872225792.0,roberta,128.0
0.0,1.0,laptop_cpu,21743861760.0,roberta,256.0
0.0,1.0,laptop_cpu,43487133696.0,roberta,512.0
0.0,1.0,laptop_cpu,113246208.0,deberta,1.0
0.0,1.0,laptop_cpu,226492416.0,deberta,2.0
0.0,1.0,laptop_cpu,452984832.0,deberta,4.0
0.0,1.0,laptop_cpu,905969664.0,deberta,8.0
0.0,1.0,laptop_cpu,1811939328.0,deberta,16.0
0.0,1.0,laptop_cpu,3623878656.0,deberta,32.0
0.0,1.0,laptop_cpu,7247757312.0,deberta,64.0
0.0,1.0,laptop_cpu,14495514624.0,deberta,128.0
0.0,1.0,laptop_cpu,28991029248.0,deberta,256.0
0.0,1.0,laptop_cpu,57982058496.0,deberta,512.0
0.0,1.0,laptop_cpu,42467328.0,distilbert,1.0
0.0,1.0,laptop_cpu,84934656.0,distilbert,2.0
0.0,1.0,laptop_cpu,169869312.0,distilbert,4.0
0.0,1.0,laptop_cpu,339738624.0,distilbert,8.0
0.0,1.0,laptop_cpu,679477248.0,distilbert,16.0
0.0,1.0,laptop_cpu,1358954496.0,distilbert,32.0
0.0,1.0,laptop_cpu,2717908992.0,distilbert,64.0
0.0,1.0,laptop_cpu,5435817984.0,distilbert,128.0
0.0,1.0,laptop_cpu,10871635968.0,distilbert,256.0
0.0,1.0,laptop_cpu,21743271936.0,distilbert,512.0
0.0,1.0,laptop_cpu,589824.0,ibert,1.0
0.0,1.0,laptop_cpu,589824.0,ibert,2.0
0.0,1.0,laptop_cpu,589824.0,ibert,4.0
0.0,1.0,laptop_cpu,589824.0,ibert,8.0
0.0,1.0,laptop_cpu,589824.0,ibert,16.0
0.0,1.0,laptop_cpu,589824.0,ibert,32.0
0.0,1.0,laptop_cpu,589824.0,ibert,64.0
0.0,1.0,laptop_cpu,589824.0,ibert,128.0
0.0,1.0,laptop_cpu,589824.0,ibert,256.0
0.0,1.0,laptop_cpu,589824.0,ibert,512.0
0.0,1.0,laptop_cpu,85622784.0,albert,1.0
0.0,1.0,laptop_cpu,170655744.0,albert,2.0
0.0,1.0,laptop_cpu,340721664.0,albert,4.0
0.0,1.0,laptop_cpu,680853504.0,albert,8.0
0.0,1.0,laptop_cpu,1361117184.0,albert,16.0
0.0,1.0,laptop_cpu,2721644544.0,albert,32.0
0.0,1.0,laptop_cpu,5442699264.0,albert,64.0
0.0,1.0,laptop_cpu,10884808704.0,albert,128.0
0.0,1.0,laptop_cpu,21769027584.0,albert,256.0
0.0,1.0,laptop_cpu,43537465344.0,albert,512.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,1.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,2.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,4.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,8.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,16.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,32.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,64.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,128.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,256.0
0.0,1.0,laptop_cpu,43487133696.0,longformer,512.0
0.0,1.0,laptop_cpu,20250624.0,mobile_bert,1.0
0.0,1.0,laptop_cpu,40501248.0,mobile_bert,2.0
0.0,1.0,laptop_cpu,81002496.0,mobile_bert,4.0
0.0,1.0,laptop_cpu,162004992.0,mobile_bert,8.0
0.0,1.0,laptop_cpu,324009984.0,mobile_bert,16.0
0.0,1.0,laptop_cpu,648019968.0,mobile_bert,32.0
0.0,1.0,laptop_cpu,1296039936.0,mobile_bert,64.0
0.0,1.0,laptop_cpu,2592079872.0,mobile_bert,128.0
0.0,1.0,laptop_cpu,5184159744.0,mobile_bert,256.0
0.0,1.0,laptop_cpu,10368319488.0,mobile_bert,512.0
0.0,1.0,laptop_cpu,147849216.0,reformer,1.0
0.0,1.0,laptop_cpu,295698432.0,reformer,2.0
0.0,1.0,laptop_cpu,591396864.0,reformer,4.0
0.0,1.0,laptop_cpu,1182793728.0,reformer,8.0
0.0,1.0,laptop_cpu,2365587456.0,reformer,16.0
0.0,1.0,laptop_cpu,4731174912.0,reformer,32.0
0.0,1.0,laptop_cpu,9462349824.0,reformer,64.0
0.0,1.0,laptop_cpu,18924699648.0,reformer,128.0
0.0,1.0,laptop_cpu,37849399296.0,reformer,256.0
0.0,1.0,laptop_cpu,75698798592.0,reformer,512.0
0.0,1.0,laptop_cpu,27214848.0,squeeze_bert,1.0
0.0,1.0,laptop_cpu,53839872.0,squeeze_bert,2.0
0.0,1.0,laptop_cpu,107089920.0,squeeze_bert,4.0
0.0,1.0,laptop_cpu,213590016.0,squeeze_bert,8.0
0.0,1.0,laptop_cpu,426590208.0,squeeze_bert,16.0
0.0,1.0,laptop_cpu,852590592.0,squeeze_bert,32.0
0.0,1.0,laptop_cpu,1704591360.0,squeeze_bert,64.0
0.0,1.0,laptop_cpu,3408592896.0,squeeze_bert,128.0
0.0,1.0,laptop_cpu,6816595968.0,squeeze_bert,256.0
0.0,1.0,laptop_cpu,13632602112.0,squeeze_bert,512.0
