device,model,accelerator,batch_size,sequence_length,max_memory,avg_memory
herron_gpu,bert,1.0,1.0,8.0,1769734144.0,1769734144.0
herron_gpu,bert,1.0,1.0,16.0,1769734144.0,1769734144.0
herron_gpu,bert,1.0,1.0,32.0,1769734144.0,1769734144.0
herron_gpu,bert,1.0,1.0,64.0,1771831296.0,1771831296.0
herron_gpu,bert,1.0,1.0,128.0,1773928448.0,1773928448.0
herron_gpu,bert,1.0,1.0,256.0,1778122752.0,1778122752.0
herron_gpu,bert,1.0,1.0,512.0,1790705664.0,1790705664.0
herron_gpu,roberta,1.0,1.0,8.0,1924923392.0,1924923392.0
herron_gpu,roberta,1.0,1.0,16.0,1924923392.0,1924923392.0
herron_gpu,roberta,1.0,1.0,32.0,1924923392.0,1924923392.0
herron_gpu,roberta,1.0,1.0,64.0,1927020544.0,1927020544.0
herron_gpu,roberta,1.0,1.0,128.0,1929117696.0,1929117696.0
herron_gpu,roberta,1.0,1.0,256.0,1933312000.0,1933312000.0
herron_gpu,roberta,1.0,1.0,512.0,1933312000.0,1933312000.0
herron_gpu,deberta,1.0,1.0,8.0,1893466112.0,1893466112.0
herron_gpu,deberta,1.0,1.0,16.0,1893466112.0,1893466112.0
herron_gpu,deberta,1.0,1.0,32.0,1895563264.0,1895563264.0
herron_gpu,deberta,1.0,1.0,64.0,1899757568.0,1899757568.0
herron_gpu,deberta,1.0,1.0,128.0,1906049024.0,1906049024.0
herron_gpu,deberta,1.0,1.0,256.0,1933312000.0,1933312000.0
herron_gpu,deberta,1.0,1.0,512.0,1983643648.0,1983643648.0
herron_gpu,distilbert,1.0,1.0,8.0,1895563264.0,1895563264.0
herron_gpu,distilbert,1.0,1.0,16.0,1895563264.0,1895563264.0
herron_gpu,distilbert,1.0,1.0,32.0,1895563264.0,1895563264.0
herron_gpu,distilbert,1.0,1.0,64.0,1895563264.0,1895563264.0
herron_gpu,distilbert,1.0,1.0,128.0,1897660416.0,1897660416.0
herron_gpu,distilbert,1.0,1.0,256.0,1899757568.0,1899757568.0
herron_gpu,distilbert,1.0,1.0,512.0,1899757568.0,1899757568.0
herron_gpu,ibert,1.0,1.0,8.0,2365325312.0,2365325312.0
herron_gpu,ibert,1.0,1.0,16.0,2365325312.0,2365325312.0
herron_gpu,ibert,1.0,1.0,32.0,2365325312.0,2365325312.0
herron_gpu,ibert,1.0,1.0,64.0,2367422464.0,2367422464.0
herron_gpu,ibert,1.0,1.0,128.0,2369519616.0,2369519616.0
herron_gpu,ibert,1.0,1.0,256.0,2373713920.0,2373713920.0
herron_gpu,ibert,1.0,1.0,512.0,2398879744.0,2398879744.0
herron_gpu,albert,1.0,1.0,8.0,2365325312.0,2365325312.0
herron_gpu,albert,1.0,1.0,16.0,2365325312.0,2365325312.0
herron_gpu,albert,1.0,1.0,32.0,2365325312.0,2365325312.0
herron_gpu,albert,1.0,1.0,64.0,2369519616.0,2369519616.0
herron_gpu,albert,1.0,1.0,128.0,2369519616.0,2369519616.0
herron_gpu,albert,1.0,1.0,256.0,2373713920.0,2373713920.0
herron_gpu,albert,1.0,1.0,512.0,2373713920.0,2373713920.0
herron_gpu,longformer,1.0,1.0,8.0,2013003776.0,2013003776.0
herron_gpu,longformer,1.0,1.0,16.0,2013003776.0,2013003776.0
herron_gpu,longformer,1.0,1.0,32.0,2013003776.0,2013003776.0
herron_gpu,longformer,1.0,1.0,64.0,2013003776.0,2013003776.0
herron_gpu,longformer,1.0,1.0,128.0,2013003776.0,2013003776.0
herron_gpu,longformer,1.0,1.0,256.0,2013003776.0,2013003776.0
herron_gpu,longformer,1.0,1.0,512.0,2013003776.0,2013003776.0
herron_gpu,mobile_bert,1.0,1.0,8.0,2017198080.0,2017198080.0
herron_gpu,mobile_bert,1.0,1.0,16.0,2017198080.0,2017198080.0
herron_gpu,mobile_bert,1.0,1.0,32.0,2017198080.0,2017198080.0
herron_gpu,mobile_bert,1.0,1.0,64.0,2019295232.0,2019295232.0
herron_gpu,mobile_bert,1.0,1.0,128.0,2021392384.0,2021392384.0
herron_gpu,mobile_bert,1.0,1.0,256.0,2025586688.0,2025586688.0
herron_gpu,mobile_bert,1.0,1.0,512.0,2033975296.0,2033975296.0
herron_gpu,reformer,1.0,1.0,8.0,1960574976.0,1960574976.0
herron_gpu,reformer,1.0,1.0,16.0,1960574976.0,1960574976.0
herron_gpu,reformer,1.0,1.0,32.0,1960574976.0,1960574976.0
herron_gpu,reformer,1.0,1.0,64.0,1960574976.0,1960574976.0
herron_gpu,reformer,1.0,1.0,128.0,1960574976.0,1960574976.0
herron_gpu,reformer,1.0,1.0,256.0,1981546496.0,1981546496.0
herron_gpu,reformer,1.0,1.0,512.0,2220621824.0,2220621824.0
herron_gpu,squeeze_bert,1.0,1.0,8.0,2063335424.0,2063335424.0
herron_gpu,squeeze_bert,1.0,1.0,16.0,2063335424.0,2063335424.0
herron_gpu,squeeze_bert,1.0,1.0,32.0,2065432576.0,2065432576.0
herron_gpu,squeeze_bert,1.0,1.0,64.0,2065432576.0,2065432576.0
herron_gpu,squeeze_bert,1.0,1.0,128.0,2069626880.0,2069626880.0
herron_gpu,squeeze_bert,1.0,1.0,256.0,2071724032.0,2071724032.0
herron_gpu,squeeze_bert,1.0,1.0,512.0,2071724032.0,2071724032.0
