accelerator,avg_memory,batch_size,device,max_memory,model
0.0,375.0546875,1.0,laptop_cpu,375.0546875,resnet18
0.0,578.80078125,1.0,laptop_cpu,578.80078125,alexnet
0.0,375.171875,1.0,laptop_cpu,375.171875,squeezenet
0.0,929.03515625,1.0,laptop_cpu,929.03515625,vgg16
0.0,513.05078125,1.0,laptop_cpu,513.05078125,densenet
0.0,514.6640625,1.0,laptop_cpu,514.6640625,inception
0.0,515.296875,1.0,laptop_cpu,515.296875,googlenet
0.0,516.203125,1.0,laptop_cpu,516.203125,shufflenet
0.0,516.57421875,1.0,laptop_cpu,516.57421875,mobilenet_v2
0.0,517.1171875,1.0,laptop_cpu,517.1171875,mobilenet_v3_large
0.0,517.39453125,1.0,laptop_cpu,517.39453125,mobilenet_v3_small
0.0,517.64453125,1.0,laptop_cpu,517.64453125,resnext50_32x4d
0.0,664.028125,1.0,laptop_cpu,664.18359375,wide_resnet50_2
0.0,592.28515625,1.0,laptop_cpu,592.28515625,mnasnet
