device,model,accelerator,batch_size,sequence_length,trainable_params,total_params,macs,mean
rpi4_cpu,bert,0.0,1.0,1.0,0.0,109482240.0,85524480.0,0.25044835359994977
rpi4_cpu,bert,0.0,1.0,2.0,0.0,109482240.0,170459136.0,0.460772229199938
rpi4_cpu,bert,0.0,1.0,4.0,0.0,109482240.0,340328448.0,0.8708074621999913
rpi4_cpu,bert,0.0,1.0,8.0,0.0,109482240.0,680067072.0,1.6799779053999373
rpi4_cpu,bert,0.0,1.0,16.0,0.0,109482240.0,1359544320.0,3.2832494211999803
rpi4_cpu,bert,0.0,1.0,32.0,0.0,109482240.0,2718498816.0,6.52360213259999
rpi4_cpu,bert,0.0,1.0,64.0,0.0,109482240.0,5436407808.0,13.177140366599996
rpi4_cpu,bert,0.0,1.0,128.0,0.0,109482240.0,10872225792.0,26.913330451599997
rpi4_cpu,bert,0.0,1.0,256.0,0.0,109482240.0,21743861760.0,56.345403761399936
rpi4_cpu,bert,0.0,1.0,512.0,0.0,109482240.0,43487133696.0,122.61272905900005
