device,model,accelerator,requires_grad,use_torchscript,batch_size,sequence_length,avg_memory,max_memory,latency,macs,total_params,trainable_params
rpi4_cpu,bert,0.0,0.0,0.0,1.0,1.0,1030.5201822916667,1032.09765625,0.29337682570001106,85524480.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,2.0,614.11328125,614.11328125,0.3092640755000048,170459136.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,4.0,614.1393229166666,614.140625,0.33144639909999113,340328448.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,8.0,614.2360491071429,614.30859375,0.40837590460000683,680067072.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,16.0,614.8642578125,615.0859375,0.5638787525999988,1359544320.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,32.0,615.6189630681819,615.77734375,0.886837178199994,2718498816.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,64.0,617.7169117647059,618.1484375,1.5324309018000122,5436407808.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,128.0,621.6722790948276,622.4921875,2.9089298007000024,10872225792.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,256.0,633.5456194196429,634.2734375,5.833882474999996,21743861760.0,109482240.0,0.0
rpi4_cpu,bert,0.0,0.0,0.0,1.0,512.0,651.5274122807018,681.73828125,12.773114681400012,43487133696.0,109482240.0,0.0
