<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,2080374784.0,1.0,224.0,0.006148615799975232,4366946304.0,2080374784.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,2271215616.0,2.0,224.0,0.006707328699849313,8733892608.0,2271215616.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,2459959296.0,4.0,224.0,0.006671253899912699,17467785216.0,2459959296.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,2631925760.0,8.0,224.0,0.0066912538000906355,34935570432.0,2631925760.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,2820669440.0,16.0,224.0,0.0064496187002077935,69871140864.0,2820669440.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,3011510272.0,32.0,224.0,0.007819805799954338,139742281728.0,3011510272.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,3011510272.0,64.0,224.0,0.01327878000010969,279484563456.0,3011510272.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,11098128384.0,37.0,0.0,49.0,407760076800.0,25.0,368640000.0,3189768192.0,96.0,224.0,0.01963503709994257,419226845184.0,3189768192.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,3391094784.0,128.0,224.0,0.02442068370000925,558969126912.0,3391094784.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,22196256768.0,37.0,0.0,49.0,815520153600.0,25.0,737280000.0,3739222016.0,192.0,224.0,0.03639474249976047,838453690368.0,3739222016.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,29595009024.0,37.0,0.0,49.0,1087360204800.0,25.0,983040000.0,4135583744.0,256.0,224.0,0.046008704799896806,1117938253824.0,4135583744.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,44392513536.0,37.0,0.0,49.0,1631040307200.0,25.0,1474560000.0,4823449600.0,384.0,224.0,0.06674121479991299,1676907380736.0,4823449600.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,59190018048.0,37.0,0.0,49.0,2174720409600.0,25.0,1966080000.0,5607784448.0,512.0,224.0,0.09063317959989944,2235876507648.0,5607784448.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1916796928.0,1.0,224.0,0.03327770470023097,5439190496.0,1916796928.0,efficientnet,403.0,54139356.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,
245.0,10721854400.0,,,,,,,2044723200.0,2.0,224.0,0.03727185930001724,10878380992.0,2044723200.0,efficientnet,403.0,54139356.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,
245.0,21443708800.0,,,,,,,2048917504.0,4.0,224.0,0.03832768450010917,21756761984.0,2048917504.0,efficientnet,403.0,54139356.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,
