<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,1497366528.0,1.0,224.0,0.0053670696914196025,4366946304.0,1497366528.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,1895825408.0,2.0,224.0,0.005429954454302788,8733892608.0,1895825408.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,2296381440.0,4.0,224.0,0.0071508783847093575,17467785216.0,2296381440.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,2696937472.0,8.0,224.0,0.010541947185993194,34935570432.0,2696937472.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,3137339392.0,16.0,224.0,0.017717822454869747,69871140864.0,3137339392.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,3472883712.0,32.0,224.0,0.030697297491133205,139742281728.0,3472883712.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,3703570432.0,64.0,224.0,0.05771173778921367,279484563456.0,3703570432.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,11098128384.0,37.0,0.0,49.0,407760076800.0,25.0,368640000.0,4053794816.0,96.0,224.0,0.08296216428279876,419226845184.0,4053794816.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,4452253696.0,128.0,224.0,0.10760179217904806,558969126912.0,4452253696.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
1.0,22196256768.0,37.0,0.0,49.0,815520153600.0,25.0,737280000.0,5138022400.0,192.0,224.0,0.1579930568113923,838453690368.0,5138022400.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,
