<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1551892480.0,1.0,224.0,0.0038930812850594522,5439190496.0,1551892480.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,1700790272.0,2.0,224.0,0.0042819524183869365,10878380992.0,1700790272.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,1811939328.0,4.0,224.0,0.005097516067326069,21756761984.0,1811939328.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,1923088384.0,8.0,224.0,0.00714531261473894,43513523968.0,1923088384.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2030043136.0,16.0,224.0,0.011570185609161851,87027047936.0,2030043136.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,2204106752.0,32.0,224.0,0.01836974043399096,174054095872.0,2204106752.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,2407530496.0,64.0,224.0,0.031375878117978574,348108191744.0,2407530496.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,7507132416.0,245.0,514649011200.0,1.0,6144000.0,2571108352.0,96.0,224.0,0.04348266441375017,522162287616.0,2571108352.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,2816475136.0,128.0,224.0,0.0575267931446433,696216383488.0,2816475136.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,15014264832.0,245.0,1029298022400.0,1.0,12288000.0,3068133376.0,192.0,224.0,0.08413334134966136,1044324575232.0,3068133376.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,20019019776.0,245.0,1372397363200.0,1.0,16384000.0,3388997632.0,256.0,224.0,0.11147614549845457,1392432766976.0,3388997632.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,30028529664.0,245.0,2058596044800.0,1.0,24576000.0,3858759680.0,384.0,224.0,0.16586862672120334,2088649150464.0,3858759680.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,40038039552.0,245.0,2744794726400.0,1.0,32768000.0,4368367616.0,512.0,224.0,0.2192750092595816,2784865533952.0,4368367616.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
64.0,34941312.0,64.0,501187680.0,1.0,64000.0,1275068416.0,1.0,224.0,0.002804913371801376,536192992.0,1275068416.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,69882624.0,64.0,1002375360.0,1.0,128000.0,1285554176.0,2.0,224.0,0.0020616468042135238,1072385984.0,1285554176.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,139765248.0,64.0,2004750720.0,1.0,256000.0,1302331392.0,4.0,224.0,0.001772945560514927,2144771968.0,1302331392.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,279530496.0,64.0,4009501440.0,1.0,512000.0,1323302912.0,8.0,224.0,0.0018358757719397548,4289543936.0,1323302912.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,559060992.0,64.0,8019002880.0,1.0,1024000.0,1361051648.0,16.0,224.0,0.0022021396085619926,8579087872.0,1361051648.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
