<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,2168455168.0,1.0,224.0,0.0038763300002756297,5439190496.0,2168455168.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,2304770048.0,2.0,224.0,0.003729902499981108,10878380992.0,2304770048.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,2369781760.0,4.0,224.0,0.003689953700086335,21756761984.0,2369781760.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,2501902336.0,8.0,224.0,0.004476185800012899,43513523968.0,2501902336.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2644508672.0,16.0,224.0,0.006767645500076469,87027047936.0,2644508672.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,2805989376.0,32.0,224.0,0.011149022300014622,174054095872.0,2805989376.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,3011510272.0,64.0,224.0,0.01987068710004678,348108191744.0,3011510272.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,7507132416.0,245.0,514649011200.0,1.0,6144000.0,3212836864.0,96.0,224.0,0.02784732059990347,522162287616.0,3212836864.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,3401580544.0,128.0,224.0,0.035865874099908976,696216383488.0,3401580544.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,15014264832.0,245.0,1029298022400.0,1.0,12288000.0,3711959040.0,192.0,224.0,0.05233016070014855,1044324575232.0,3711959040.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
