<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1572864000.0,1.0,224.0,0.002611533738672733,5439190496.0,1572864000.0,efficientnet,403.0,54139356.0,0.0,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,1717567488.0,2.0,224.0,0.0029126273468136786,10878380992.0,1717567488.0,efficientnet,403.0,54139356.0,0.0,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,1822425088.0,4.0,224.0,0.003609578311443329,21756761984.0,1822425088.0,efficientnet,403.0,54139356.0,0.0,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,1912602624.0,8.0,224.0,0.00501385647803545,43513523968.0,1912602624.0,efficientnet,403.0,54139356.0,0.0,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2032140288.0,16.0,224.0,0.008579456247389317,87027047936.0,2032140288.0,efficientnet,403.0,54139356.0,0.0,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,2216689664.0,32.0,224.0,0.015764712542295455,174054095872.0,2216689664.0,efficientnet,403.0,54139356.0,0.0,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,2415919104.0,64.0,224.0,0.028740462474524976,348108191744.0,2415919104.0,efficientnet,403.0,54139356.0,0.0,,
157.0,7507132416.0,245.0,514649011200.0,1.0,6144000.0,2600468480.0,96.0,224.0,0.04097940921783448,522162287616.0,2600468480.0,efficientnet,403.0,54139356.0,0.0,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,2822766592.0,128.0,224.0,0.0535492243245244,696216383488.0,2822766592.0,efficientnet,403.0,54139356.0,0.0,,
157.0,15014264832.0,245.0,1029298022400.0,1.0,12288000.0,3074424832.0,192.0,224.0,0.07918891739100217,1044324575232.0,3074424832.0,efficientnet,403.0,54139356.0,0.0,,
157.0,20019019776.0,245.0,1372397363200.0,1.0,16384000.0,3395289088.0,256.0,224.0,0.1043150832876563,1392432766976.0,3395289088.0,efficientnet,403.0,54139356.0,0.0,,
157.0,30028529664.0,245.0,2058596044800.0,1.0,24576000.0,3869245440.0,384.0,224.0,0.15517688374966382,2088649150464.0,3869245440.0,efficientnet,403.0,54139356.0,0.0,,
157.0,40038039552.0,245.0,2744794726400.0,1.0,32768000.0,4378853376.0,512.0,224.0,0.20466224364936356,2784865533952.0,4378853376.0,efficientnet,403.0,54139356.0,0.0,,
64.0,34941312.0,64.0,501187680.0,1.0,64000.0,1283457024.0,1.0,224.0,0.0007352491840720177,536192992.0,1283457024.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,69882624.0,64.0,1002375360.0,1.0,128000.0,1298137088.0,2.0,224.0,0.0007073242217302322,1072385984.0,1298137088.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,139765248.0,64.0,2004750720.0,1.0,256000.0,1312817152.0,4.0,224.0,0.0007506031543016434,2144771968.0,1312817152.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,279530496.0,64.0,4009501440.0,1.0,512000.0,1333788672.0,8.0,224.0,0.001140584796667099,4289543936.0,1333788672.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,559060992.0,64.0,8019002880.0,1.0,1024000.0,1371537408.0,16.0,224.0,0.0019719040021300314,8579087872.0,1371537408.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,1118121984.0,64.0,16038005760.0,1.0,2048000.0,1459617792.0,32.0,224.0,0.0036523807793855667,17158175744.0,1459617792.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,2236243968.0,64.0,32076011520.0,1.0,4096000.0,1581252608.0,64.0,224.0,0.007115358673036099,34316351488.0,1581252608.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,3354365952.0,64.0,48114017280.0,1.0,6144000.0,1736441856.0,96.0,224.0,0.010378911159932613,51474527232.0,1736441856.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,4472487936.0,64.0,64152023040.0,1.0,8192000.0,1870659584.0,128.0,224.0,0.013554513081908226,68632702976.0,1870659584.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,6708731904.0,64.0,96228034560.0,1.0,12288000.0,2128609280.0,192.0,224.0,0.020291635766625404,102949054464.0,2128609280.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,8944975872.0,64.0,128304046080.0,1.0,16384000.0,2386558976.0,256.0,224.0,0.02686436679214239,137265405952.0,2386558976.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,13417463808.0,64.0,192456069120.0,1.0,24576000.0,2898264064.0,384.0,224.0,0.04000549614429474,205898108928.0,2898264064.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
64.0,17889951744.0,64.0,256608092160.0,1.0,32768000.0,3414163456.0,512.0,224.0,0.05326227229088545,274530811904.0,3414163456.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0
