<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1689255936.0,1.0,224.0,0.007295743562281131,5439190496.0,1689255936.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,1827667968.0,2.0,224.0,0.004815925471484661,10878380992.0,1827667968.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,1896873984.0,4.0,224.0,0.005800166167318821,21756761984.0,1896873984.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,2020605952.0,8.0,224.0,0.007469090633094311,43513523968.0,2020605952.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2173698048.0,16.0,224.0,0.01155623197555542,87027047936.0,2173698048.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,2314207232.0,32.0,224.0,0.018529367633163932,174054095872.0,2314207232.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,2538602496.0,64.0,224.0,0.031594641506671906,348108191744.0,2538602496.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,7507132416.0,245.0,514649011200.0,1.0,6144000.0,2723151872.0,96.0,224.0,0.04439865201711655,522162287616.0,2723151872.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,2924478464.0,128.0,224.0,0.057859711907804014,696216383488.0,2924478464.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,15014264832.0,245.0,1029298022400.0,1.0,12288000.0,3241148416.0,192.0,224.0,0.08364331535995008,1044324575232.0,3241148416.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,20019019776.0,245.0,1372397363200.0,1.0,16384000.0,3536846848.0,256.0,224.0,0.10935449842363597,1392432766976.0,3536846848.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,30028529664.0,245.0,2058596044800.0,1.0,24576000.0,4006608896.0,384.0,224.0,0.16104952078312634,2088649150464.0,4006608896.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,40038039552.0,245.0,2744794726400.0,1.0,32768000.0,4518313984.0,512.0,224.0,0.2109930757433176,2784865533952.0,4518313984.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
64.0,34941312.0,64.0,501187680.0,1.0,64000.0,1399848960.0,1.0,224.0,0.0015971675515174867,536192992.0,1399848960.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,69882624.0,64.0,1002375360.0,1.0,128000.0,1412431872.0,2.0,224.0,0.0016278818249702454,1072385984.0,1412431872.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,139765248.0,64.0,2004750720.0,1.0,256000.0,1429209088.0,4.0,224.0,0.0018320987001061442,2144771968.0,1429209088.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,279530496.0,64.0,4009501440.0,1.0,512000.0,1450180608.0,8.0,224.0,0.0019157899543643,4289543936.0,1450180608.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,559060992.0,64.0,8019002880.0,1.0,1024000.0,1487929344.0,16.0,224.0,0.0021473849192261696,8579087872.0,1487929344.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,1118121984.0,64.0,16038005760.0,1.0,2048000.0,1576009728.0,32.0,224.0,0.003773191198706628,17158175744.0,1576009728.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,2236243968.0,64.0,32076011520.0,1.0,4096000.0,1697644544.0,64.0,224.0,0.0069967728108167645,34316351488.0,1697644544.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,3354365952.0,64.0,48114017280.0,1.0,6144000.0,1852833792.0,96.0,224.0,0.010454997047781944,51474527232.0,1852833792.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,4472487936.0,64.0,64152023040.0,1.0,8192000.0,1987051520.0,128.0,224.0,0.013008815981447696,68632702976.0,1987051520.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,6708731904.0,64.0,96228034560.0,1.0,12288000.0,2245001216.0,192.0,224.0,0.022304213233292104,102949054464.0,2245001216.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,8944975872.0,64.0,128304046080.0,1.0,16384000.0,2513436672.0,256.0,224.0,0.02909423876553774,137265405952.0,2513436672.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,13417463808.0,64.0,192456069120.0,1.0,24576000.0,3016753152.0,384.0,224.0,0.06770872753113508,205898108928.0,3016753152.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
