<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1702887424.0,1.0,224.0,0.0070085804909467714,5439190496.0,1702887424.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,1935671296.0,2.0,224.0,0.009490019455552102,10878380992.0,1935671296.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,2168455168.0,4.0,224.0,0.011565228551626205,21756761984.0,2168455168.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,2418016256.0,8.0,224.0,0.019687461853027343,43513523968.0,2418016256.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2709520384.0,16.0,224.0,0.03044731691479683,87027047936.0,2709520384.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,3047161856.0,32.0,224.0,0.0514169704169035,174054095872.0,3047161856.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,3485466624.0,64.0,224.0,0.09789106659591199,348108191744.0,3485466624.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,7507132416.0,245.0,514649011200.0,1.0,6144000.0,3986685952.0,96.0,224.0,0.14830563440918926,522162287616.0,3986685952.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,4422893568.0,128.0,224.0,0.1934442061930895,696216383488.0,4422893568.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,15014264832.0,245.0,1029298022400.0,1.0,12288000.0,5064622080.0,192.0,224.0,0.2894148454070091,1044324575232.0,5064622080.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
