<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1711276032.0,1.0,224.0,0.006695541180670261,5439190496.0,1711276032.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,1946157056.0,2.0,224.0,0.0070551795884966845,10878380992.0,1946157056.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,2178940928.0,4.0,224.0,0.012098302692174913,21756761984.0,2178940928.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,2436890624.0,8.0,224.0,0.015643420070409773,43513523968.0,2436890624.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2720006144.0,16.0,224.0,0.027815701998770242,87027047936.0,2720006144.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,3057647616.0,32.0,224.0,0.048681332357227804,174054095872.0,3057647616.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,3495952384.0,64.0,224.0,0.09100607223808764,348108191744.0,3495952384.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,7507132416.0,245.0,514649011200.0,1.0,6144000.0,3953131520.0,96.0,224.0,0.1342698661610484,522162287616.0,3953131520.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,4433379328.0,128.0,224.0,0.1775261415168643,696216383488.0,4433379328.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,15014264832.0,245.0,1029298022400.0,1.0,12288000.0,5075107840.0,192.0,224.0,0.26300156582146883,1044324575232.0,5075107840.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,20019019776.0,245.0,1372397363200.0,1.0,16384000.0,5760876544.0,256.0,224.0,0.34531886260956524,1392432766976.0,5760876544.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,30028529664.0,245.0,2058596044800.0,1.0,24576000.0,6899630080.0,384.0,224.0,0.5160349385812879,2088649150464.0,6899630080.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,40038039552.0,245.0,2744794726400.0,1.0,32768000.0,8120172544.0,512.0,224.0,0.6850423395633698,2784865533952.0,8120172544.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
64.0,34941312.0,64.0,501187680.0,1.0,64000.0,1310720000.0,1.0,224.0,0.0013963799923658374,536192992.0,1310720000.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,69882624.0,64.0,1002375360.0,1.0,128000.0,1329594368.0,2.0,224.0,0.0013477822765707974,1072385984.0,1329594368.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,139765248.0,64.0,2004750720.0,1.0,256000.0,1377828864.0,4.0,224.0,0.0017877936363220215,2144771968.0,1377828864.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,279530496.0,64.0,4009501440.0,1.0,512000.0,1430257664.0,8.0,224.0,0.002500417642295361,4289543936.0,1430257664.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,559060992.0,64.0,8019002880.0,1.0,1024000.0,1522532352.0,16.0,224.0,0.004135475493967533,8579087872.0,1522532352.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,1118121984.0,64.0,16038005760.0,1.0,2048000.0,1671430144.0,32.0,224.0,0.0076922114938497545,17158175744.0,1671430144.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,2236243968.0,64.0,32076011520.0,1.0,4096000.0,1935671296.0,64.0,224.0,0.014699077047407628,34316351488.0,1935671296.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,3354365952.0,64.0,48114017280.0,1.0,6144000.0,2239758336.0,96.0,224.0,0.021591775678098203,51474527232.0,2239758336.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,4472487936.0,64.0,64152023040.0,1.0,8192000.0,2501902336.0,128.0,224.0,0.028357451595366,68632702976.0,2501902336.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,6708731904.0,64.0,96228034560.0,1.0,12288000.0,3019898880.0,192.0,224.0,0.0420206967741251,102949054464.0,3019898880.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,8944975872.0,64.0,128304046080.0,1.0,16384000.0,3523215360.0,256.0,224.0,0.05646294951438904,137265405952.0,3523215360.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,13417463808.0,64.0,192456069120.0,1.0,24576000.0,4546625536.0,384.0,224.0,0.08295032642781734,205898108928.0,4546625536.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,17889951744.0,64.0,256608092160.0,1.0,32768000.0,5783945216.0,512.0,224.0,0.11040189266204832,274530811904.0,5783945216.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
,,45.0,3001948544.0,1.0,128000.0,1444937728.0,1.0,224.0,0.0013944655656814575,3002076544.0,1444937728.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,6003897088.0,1.0,256000.0,1541406720.0,2.0,224.0,0.0019851962104439733,6004153088.0,1541406720.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,12007794176.0,1.0,512000.0,1633681408.0,4.0,224.0,0.002643633261322975,12008306176.0,1633681408.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,24015588352.0,1.0,1024000.0,1751121920.0,8.0,224.0,0.0043444752693176285,24016612352.0,1751121920.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,48031176704.0,1.0,2048000.0,1891631104.0,16.0,224.0,0.007577011547982694,48033224704.0,1891631104.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,96062353408.0,1.0,4096000.0,2069889024.0,32.0,224.0,0.014020018838346004,96066449408.0,2069889024.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,192124706816.0,1.0,8192000.0,2539651072.0,64.0,224.0,0.027214690856635568,192132898816.0,2539651072.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,288187060224.0,1.0,12288000.0,2808086528.0,96.0,224.0,0.04023045841604471,288199348224.0,2808086528.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,384249413632.0,1.0,16384000.0,3097493504.0,128.0,224.0,0.052416944690048685,384265797632.0,3097493504.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,576374120448.0,1.0,24576000.0,3579838464.0,192.0,224.0,0.0777118157595396,576398696448.0,3579838464.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,768498827264.0,1.0,32768000.0,4085252096.0,256.0,224.0,0.10252617672085762,768531595264.0,4085252096.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,1152748240896.0,1.0,49152000.0,5043650560.0,384.0,224.0,0.1530979961156845,1152797392896.0,5043650560.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,1536997654528.0,1.0,65536000.0,5987368960.0,512.0,224.0,0.2017376210540533,1537063190528.0,5987368960.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
20.0,9934848.0,20.0,1813561344.0,1.0,25600.0,1394606080.0,1.0,224.0,0.0009071890264749527,1824033792.0,1394606080.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,512000.0,1.0,0.0,,
20.0,19869696.0,20.0,3627122688.0,1.0,51200.0,1442840576.0,2.0,224.0,0.0010191746056079864,3648067584.0,1442840576.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,1024000.0,1.0,0.0,,
20.0,39739392.0,20.0,7254245376.0,1.0,102400.0,1491075072.0,4.0,224.0,0.0013765564188361167,7296135168.0,1491075072.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,2048000.0,1.0,0.0,,
20.0,79478784.0,20.0,14508490752.0,1.0,204800.0,1539309568.0,8.0,224.0,0.002337856963276863,14592270336.0,1539309568.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,4096000.0,1.0,0.0,,
20.0,158957568.0,20.0,29016981504.0,1.0,409600.0,1644167168.0,16.0,224.0,0.004433279484510421,29184540672.0,1644167168.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,8192000.0,1.0,0.0,,
20.0,317915136.0,20.0,58033963008.0,1.0,819200.0,1765801984.0,32.0,224.0,0.008262663520872593,58369081344.0,1765801984.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,16384000.0,1.0,0.0,,
20.0,635830272.0,20.0,116067926016.0,1.0,1638400.0,1992294400.0,64.0,224.0,0.01586386039853096,116738162688.0,1992294400.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,32768000.0,1.0,0.0,,
20.0,953745408.0,20.0,174101889024.0,1.0,2457600.0,2229272576.0,96.0,224.0,0.024218595586717132,175107244032.0,2229272576.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,49152000.0,1.0,0.0,,
20.0,1271660544.0,20.0,232135852032.0,1.0,3276800.0,2489319424.0,128.0,224.0,0.030591436848044395,233476325376.0,2489319424.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,65536000.0,1.0,0.0,,
20.0,1907490816.0,20.0,348203778048.0,1.0,4915200.0,2921332736.0,192.0,224.0,0.046367937140166765,350214488064.0,2921332736.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,98304000.0,1.0,0.0,,
20.0,2543321088.0,20.0,464271704064.0,1.0,6553600.0,3282042880.0,256.0,224.0,0.060160092078149326,466952650752.0,3282042880.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,131072000.0,1.0,0.0,,
20.0,3814981632.0,20.0,696407556096.0,1.0,9830400.0,4167041024.0,384.0,224.0,0.08956460598856211,700428976128.0,4167041024.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,196608000.0,1.0,0.0,,
20.0,5086642176.0,20.0,928543408128.0,1.0,13107200.0,4880072704.0,512.0,224.0,0.11598740052431822,933905301504.0,4880072704.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,262144000.0,1.0,0.0,,
