<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1322385408.0,1.0,224.0,0.007610354386270045,5439190496.0,1322385408.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,1553072128.0,2.0,224.0,0.010164335183799273,10878380992.0,1553072128.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,1783758848.0,4.0,224.0,0.014218241535127163,21756761984.0,1783758848.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,2041708544.0,8.0,224.0,0.023310101591050625,43513523968.0,2041708544.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2324824064.0,16.0,224.0,0.040774480998516084,87027047936.0,2324824064.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,2662465536.0,32.0,224.0,0.07508190385997296,174054095872.0,2662465536.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,3100770304.0,64.0,224.0,0.14541043043136598,348108191744.0,3100770304.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,7507132416.0,245.0,514649011200.0,1.0,6144000.0,3557949440.0,96.0,224.0,0.21246843189001088,522162287616.0,3557949440.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,4015128576.0,128.0,224.0,0.2828949885442853,696216383488.0,4015128576.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,15014264832.0,245.0,1029298022400.0,1.0,12288000.0,4682022912.0,192.0,224.0,0.4214224278926849,1044324575232.0,4682022912.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,20019019776.0,245.0,1372397363200.0,1.0,16384000.0,5367791616.0,256.0,224.0,0.5582027761265635,1392432766976.0,5367791616.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,30028529664.0,245.0,2058596044800.0,1.0,24576000.0,6506545152.0,384.0,224.0,0.8368323484435678,2088649150464.0,6506545152.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
64.0,34941312.0,64.0,501187680.0,1.0,64000.0,923926528.0,1.0,224.0,0.001897566206753254,536192992.0,923926528.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,69882624.0,64.0,1002375360.0,1.0,128000.0,942800896.0,2.0,224.0,0.001837830804288388,1072385984.0,942800896.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,139765248.0,64.0,2004750720.0,1.0,256000.0,991035392.0,4.0,224.0,0.0028042392805218697,2144771968.0,991035392.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,279530496.0,64.0,4009501440.0,1.0,512000.0,1035075584.0,8.0,224.0,0.0042745675891637785,4289543936.0,1035075584.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,559060992.0,64.0,8019002880.0,1.0,1024000.0,1127350272.0,16.0,224.0,0.007531914487481117,8579087872.0,1127350272.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,1118121984.0,64.0,16038005760.0,1.0,2048000.0,1276248064.0,32.0,224.0,0.013994625583291054,17158175744.0,1276248064.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,2236243968.0,64.0,32076011520.0,1.0,4096000.0,1540489216.0,64.0,224.0,0.025748677738010886,34316351488.0,1540489216.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,3354365952.0,64.0,48114017280.0,1.0,6144000.0,1844576256.0,96.0,224.0,0.03812756836414337,51474527232.0,1844576256.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,4472487936.0,64.0,64152023040.0,1.0,8192000.0,2098331648.0,128.0,224.0,0.05085373055189848,68632702976.0,2098331648.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,6708731904.0,64.0,96228034560.0,1.0,12288000.0,2624716800.0,192.0,224.0,0.07578127477318049,102949054464.0,2624716800.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,8944975872.0,64.0,128304046080.0,1.0,16384000.0,3128033280.0,256.0,224.0,0.1011408433318138,137265405952.0,3128033280.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
64.0,13417463808.0,64.0,192456069120.0,1.0,24576000.0,4143054848.0,384.0,224.0,0.1518729580566287,205898108928.0,4143054848.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,,,
,,45.0,3001948544.0,1.0,128000.0,1043464192.0,1.0,224.0,0.0017101002857089042,3002076544.0,1043464192.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,6003897088.0,1.0,256000.0,1154613248.0,2.0,224.0,0.0023036379367113113,6004153088.0,1154613248.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,12007794176.0,1.0,512000.0,1242693632.0,4.0,224.0,0.0036538491025567056,12008306176.0,1242693632.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,24015588352.0,1.0,1024000.0,1360134144.0,8.0,224.0,0.0061697449535131465,24016612352.0,1360134144.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,48031176704.0,1.0,2048000.0,1496449024.0,16.0,224.0,0.010337094031274318,48033224704.0,1496449024.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,96062353408.0,1.0,4096000.0,1674706944.0,32.0,224.0,0.020342253707349302,96066449408.0,1674706944.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,192124706816.0,1.0,8192000.0,1949433856.0,64.0,224.0,0.03873773999512197,192132898816.0,1949433856.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,288187060224.0,1.0,12288000.0,2203189248.0,96.0,224.0,0.056787976436316966,288199348224.0,2203189248.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,384249413632.0,1.0,16384000.0,2465333248.0,128.0,224.0,0.07511284481734037,384265797632.0,2465333248.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
,,45.0,576374120448.0,1.0,24576000.0,2922512384.0,192.0,224.0,0.11272288039326668,576398696448.0,2922512384.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,,,
