<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1829502976.0,1.0,224.0,0.005661531537771225,5439190496.0,1829502976.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,2074869760.0,2.0,224.0,0.009688184410333634,10878380992.0,2074869760.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,2295070720.0,4.0,224.0,0.012702447921037674,21756761984.0,2295070720.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,2553020416.0,8.0,224.0,0.017569855973124503,43513523968.0,2553020416.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2836135936.0,16.0,224.0,0.02570754736661911,87027047936.0,2836135936.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,3173777408.0,32.0,224.0,0.04383455514907837,174054095872.0,3173777408.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,3677093888.0,64.0,224.0,0.08010222278535366,348108191744.0,3677093888.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,7507132416.0,245.0,514649011200.0,1.0,6144000.0,4113301504.0,96.0,224.0,0.11552789025008678,522162287616.0,4113301504.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,4562092032.0,128.0,224.0,0.15274058133363724,696216383488.0,4562092032.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,15014264832.0,245.0,1029298022400.0,1.0,12288000.0,5191237632.0,192.0,224.0,0.22049863040447235,1044324575232.0,5191237632.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,20019019776.0,245.0,1372397363200.0,1.0,16384000.0,5877006336.0,256.0,224.0,0.2910404045134783,1392432766976.0,5877006336.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,30028529664.0,245.0,2058596044800.0,1.0,24576000.0,7015759872.0,384.0,224.0,0.4276000853627921,2088649150464.0,7015759872.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
157.0,40038039552.0,245.0,2744794726400.0,1.0,32768000.0,8236302336.0,512.0,224.0,0.564111464843154,2784865533952.0,8236302336.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,,,
