<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
35.0,0.0,52.0,26712448.0,52.0,299494272.0,1.0,0.0,1.0,1280000.0,1709178880.0,1.0,224.0,0.004481007099820999,327486720.0,1709178880.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,53424896.0,52.0,598988544.0,1.0,0.0,1.0,2560000.0,1757413376.0,2.0,224.0,0.0051931168000010075,654973440.0,1757413376.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,106849792.0,52.0,1197977088.0,1.0,0.0,1.0,5120000.0,1805647872.0,4.0,224.0,0.0053368387001683,1309946880.0,1805647872.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,213699584.0,52.0,2395954176.0,1.0,0.0,1.0,10240000.0,1891631104.0,8.0,224.0,0.0054256744999293,2619893760.0,1891631104.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,427399168.0,52.0,4791908352.0,1.0,0.0,1.0,20480000.0,2074083328.0,16.0,224.0,0.005967904600038309,5239787520.0,2074083328.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,854798336.0,52.0,9583816704.0,1.0,0.0,1.0,40960000.0,2436890624.0,32.0,224.0,0.006255161999797565,10479575040.0,2436890624.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,1709596672.0,52.0,19167633408.0,1.0,0.0,1.0,81920000.0,3156213760.0,64.0,224.0,0.01162722560002294,20959150080.0,3156213760.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,2564395008.0,52.0,28751450112.0,1.0,0.0,1.0,122880000.0,4093640704.0,96.0,224.0,0.01666839169993182,31438725120.0,4093640704.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,3419193344.0,52.0,38335266816.0,1.0,0.0,1.0,163840000.0,5330960384.0,128.0,224.0,0.02179705369999283,41918300160.0,5330960384.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,5128790016.0,52.0,57502900224.0,1.0,0.0,1.0,245760000.0,7180648448.0,192.0,224.0,0.032795339400036025,62877450240.0,7180648448.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,6838386688.0,52.0,76670533632.0,1.0,0.0,1.0,327680000.0,9646899200.0,256.0,224.0,0.04326168700026757,83836600320.0,9646899200.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,10257580032.0,52.0,115005800448.0,1.0,0.0,1.0,491520000.0,13346275328.0,384.0,224.0,0.06343414660004783,125754900480.0,13346275328.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
35.0,0.0,52.0,13676773376.0,52.0,153341067264.0,1.0,0.0,1.0,655360000.0,18278776832.0,512.0,224.0,0.08341633660020306,167673200640.0,18278776832.0,mobilenet_v2,141.0,3504872.0,0.0,,,,,,,,,,
17.0,0.0,53.0,57602048.0,53.0,4228431872.0,,,1.0,2048000.0,1816133632.0,1.0,224.0,0.007344849099899875,4288184320.0,1816133632.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,102400.0,1.0,0.0,,,,,,
17.0,0.0,53.0,115204096.0,53.0,8456863744.0,,,1.0,4096000.0,1929379840.0,2.0,224.0,0.008464051099872449,8576368640.0,1929379840.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,204800.0,1.0,0.0,,,,,,
