<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
37.0,0.0,56.0,7800800.0,56.0,143883992.0,1.0,1024000.0,1.0,0.0,1121976320.0,1.0,224.0,0.006044407188892364,152708792.0,1121976320.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,15601600.0,56.0,287767984.0,1.0,2048000.0,1.0,0.0,1124073472.0,2.0,224.0,0.005951644480228425,305417584.0,1124073472.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,31203200.0,56.0,575535968.0,1.0,4096000.0,1.0,0.0,1149239296.0,4.0,224.0,0.006218532286584378,610835168.0,1149239296.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,62406400.0,56.0,1151071936.0,1.0,8192000.0,1.0,0.0,1172307968.0,8.0,224.0,0.005810431204736233,1221670336.0,1172307968.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,124812800.0,56.0,2302143872.0,1.0,16384000.0,1.0,0.0,1210056704.0,16.0,224.0,0.006344794295728207,2443340672.0,1210056704.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,249625600.0,56.0,4604287744.0,1.0,32768000.0,1.0,0.0,1289748480.0,32.0,224.0,0.006596261821687222,4886681344.0,1289748480.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,499251200.0,56.0,9208575488.0,1.0,65536000.0,1.0,0.0,1524629504.0,64.0,224.0,0.007842279598116873,9773362688.0,1524629504.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,748876800.0,56.0,13812863232.0,1.0,98304000.0,1.0,0.0,1759510528.0,96.0,224.0,0.011766724474728108,14660044032.0,1759510528.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,998502400.0,56.0,18417150976.0,1.0,131072000.0,1.0,0.0,2074083328.0,128.0,224.0,0.015154112689197063,19546725376.0,2074083328.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,1497753600.0,56.0,27625726464.0,1.0,196608000.0,1.0,0.0,2539651072.0,192.0,224.0,0.02187312319874764,29320088064.0,2539651072.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,1997004800.0,56.0,36834301952.0,1.0,262144000.0,1.0,0.0,3156213760.0,256.0,224.0,0.028232441097497937,39093450752.0,3156213760.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,2995507200.0,56.0,55251452928.0,1.0,393216000.0,1.0,0.0,4083154944.0,384.0,224.0,0.04163520932197571,58640176128.0,4083154944.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
37.0,0.0,56.0,3994009600.0,56.0,73668603904.0,1.0,524288000.0,1.0,0.0,5316280320.0,512.0,224.0,0.05521011874079704,78186901504.0,5316280320.0,shufflenet,151.0,2278604.0,0.0,,,,,,,,,,
35.0,0.0,52.0,26712448.0,52.0,299494272.0,1.0,1280000.0,,,1126170624.0,1.0,224.0,0.004240664839744568,327486720.0,1126170624.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,53424896.0,52.0,598988544.0,1.0,2560000.0,,,1172307968.0,2.0,224.0,0.003849028609693049,654973440.0,1172307968.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,106849792.0,52.0,1197977088.0,1.0,5120000.0,,,1220542464.0,4.0,224.0,0.004353611916303635,1309946880.0,1220542464.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,213699584.0,52.0,2395954176.0,1.0,10240000.0,,,1306525696.0,8.0,224.0,0.004500982351601124,2619893760.0,1306525696.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,0.0,,,,,,,,
