<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs
35.0,0.0,52.0,26712448.0,52.0,299494272.0,1.0,0.0,1.0,1280000.0,1260388352.0,1.0,224.0,0.003956535831093788,327486720.0,1260388352.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,53424896.0,52.0,598988544.0,1.0,0.0,1.0,2560000.0,1272971264.0,2.0,224.0,0.008454346098005772,654973440.0,1272971264.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,106849792.0,52.0,1197977088.0,1.0,0.0,1.0,5120000.0,1281359872.0,4.0,224.0,0.0019961709156632425,1309946880.0,1281359872.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,213699584.0,52.0,2395954176.0,1.0,0.0,1.0,10240000.0,1300234240.0,8.0,224.0,0.0029271071776747703,2619893760.0,1300234240.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,427399168.0,52.0,4791908352.0,1.0,0.0,1.0,20480000.0,1331691520.0,16.0,224.0,0.003467849642038345,5239787520.0,1331691520.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,854798336.0,52.0,9583816704.0,1.0,0.0,1.0,40960000.0,1413480448.0,32.0,224.0,0.002713901363313198,10479575040.0,1413480448.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,1709596672.0,52.0,19167633408.0,1.0,0.0,1.0,81920000.0,1530920960.0,64.0,224.0,0.0046337638050317756,20959150080.0,1530920960.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,2564395008.0,52.0,28751450112.0,1.0,0.0,1.0,122880000.0,1675624448.0,96.0,224.0,0.006365170702338219,31438725120.0,1675624448.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,3419193344.0,52.0,38335266816.0,1.0,0.0,1.0,163840000.0,1805647872.0,128.0,224.0,0.00843873340636492,41918300160.0,1805647872.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,5128790016.0,52.0,57502900224.0,1.0,0.0,1.0,245760000.0,2053111808.0,192.0,224.0,0.012599894776940346,62877450240.0,2053111808.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
