<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
15.0,0.0,13.0,15346630656.0,2.0,0.0,3.0,123633664.0,1.0,50176.0,5.0,0.0,2854223872.0,1.0,224.0,0.001209972899960121,15470314496.0,2854223872.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,30693261312.0,2.0,0.0,3.0,247267328.0,1.0,100352.0,5.0,0.0,2871001088.0,2.0,224.0,0.001215602600132115,30940628992.0,2871001088.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,61386522624.0,2.0,0.0,3.0,494534656.0,1.0,200704.0,5.0,0.0,3101687808.0,4.0,224.0,0.0021078218996990468,61881257984.0,3101687808.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,122773045248.0,2.0,0.0,3.0,989069312.0,1.0,401408.0,5.0,0.0,3812622336.0,8.0,224.0,0.003063330000441056,123762515968.0,3812622336.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,245546090496.0,2.0,0.0,3.0,1978138624.0,1.0,802816.0,5.0,0.0,4179623936.0,16.0,224.0,0.005257022599835182,247525031936.0,4179623936.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,491092180992.0,2.0,0.0,3.0,3956277248.0,1.0,1605632.0,5.0,0.0,5003804672.0,32.0,224.0,0.009770980699977371,495050063872.0,5003804672.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,982184361984.0,2.0,0.0,3.0,7912554496.0,1.0,3211264.0,5.0,0.0,5414846464.0,64.0,224.0,0.01881054089972168,990100127744.0,5414846464.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,1473276542976.0,2.0,0.0,3.0,11868831744.0,1.0,4816896.0,5.0,0.0,6031409152.0,96.0,224.0,0.02753899060044205,1485150191616.0,6031409152.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,1964368723968.0,2.0,0.0,3.0,15825108992.0,1.0,6422528.0,5.0,0.0,6979321856.0,128.0,224.0,0.03685584819977522,1980200255488.0,6979321856.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,2946553085952.0,2.0,0.0,3.0,23737663488.0,1.0,9633792.0,5.0,0.0,7891582976.0,192.0,224.0,0.055145940100192095,2970300383232.0,7891582976.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,3928737447936.0,2.0,0.0,3.0,31650217984.0,1.0,12845056.0,5.0,0.0,9424601088.0,256.0,224.0,0.07354132580003353,3960400510976.0,9424601088.0,vgg16,39.0,138357544.0,0.0,,,,
15.0,0.0,13.0,5893106171904.0,2.0,0.0,3.0,47475326976.0,1.0,19267584.0,5.0,0.0,11458838528.0,384.0,224.0,0.11089415500027826,5940600766464.0,11458838528.0,vgg16,39.0,138357544.0,0.0,,,,
160.0,0.0,160.0,7725699072.0,,,1.0,2208000.0,,,1.0,0.0,1994391552.0,1.0,224.0,0.01177120369975455,7845841056.0,1994391552.0,densenet,486.0,28681000.0,0.0,161.0,117656448.0,3.0,277536.0
160.0,0.0,160.0,15451398144.0,,,1.0,4416000.0,,,1.0,0.0,2046820352.0,2.0,224.0,0.011288918199716136,15691682112.0,2046820352.0,densenet,486.0,28681000.0,0.0,161.0,235312896.0,3.0,555072.0
160.0,0.0,160.0,30902796288.0,,,1.0,8832000.0,,,1.0,0.0,2132803584.0,4.0,224.0,0.011599529499653729,31383364224.0,2132803584.0,densenet,486.0,28681000.0,0.0,161.0,470625792.0,3.0,1110144.0
160.0,0.0,160.0,61805592576.0,,,1.0,17664000.0,,,1.0,0.0,2229272576.0,8.0,224.0,0.011472436799522256,62766728448.0,2229272576.0,densenet,486.0,28681000.0,0.0,161.0,941251584.0,3.0,2220288.0
160.0,0.0,160.0,123611185152.0,,,1.0,35328000.0,,,1.0,0.0,2355101696.0,16.0,224.0,0.012555753700144123,125533456896.0,2355101696.0,densenet,486.0,28681000.0,0.0,161.0,1882503168.0,3.0,4440576.0
160.0,0.0,160.0,247222370304.0,,,1.0,70656000.0,,,1.0,0.0,2516582400.0,32.0,224.0,0.018247710099967663,251066913792.0,2516582400.0,densenet,486.0,28681000.0,0.0,161.0,3765006336.0,3.0,8881152.0
160.0,0.0,160.0,494444740608.0,,,1.0,141312000.0,,,1.0,0.0,2831155200.0,64.0,224.0,0.03251103930015233,502133827584.0,2831155200.0,densenet,486.0,28681000.0,0.0,161.0,7530012672.0,3.0,17762304.0
160.0,0.0,160.0,741667110912.0,,,1.0,211968000.0,,,1.0,0.0,3133145088.0,96.0,224.0,0.045318316399789185,753200741376.0,3133145088.0,densenet,486.0,28681000.0,0.0,161.0,11295019008.0,3.0,26643456.0
160.0,0.0,160.0,988889481216.0,,,1.0,282624000.0,,,1.0,0.0,3412066304.0,128.0,224.0,0.05988364200020443,1004267655168.0,3412066304.0,densenet,486.0,28681000.0,0.0,161.0,15060025344.0,3.0,35524608.0
160.0,0.0,160.0,1483334221824.0,,,1.0,423936000.0,,,1.0,0.0,3923771392.0,192.0,224.0,0.08769191590035916,1506401482752.0,3923771392.0,densenet,486.0,28681000.0,0.0,161.0,22590038016.0,3.0,53286912.0
160.0,0.0,160.0,1977778962432.0,,,1.0,565248000.0,,,1.0,0.0,4496293888.0,256.0,224.0,0.115046106200316,2008535310336.0,4496293888.0,densenet,486.0,28681000.0,0.0,161.0,30120050688.0,3.0,71049216.0
160.0,0.0,160.0,2966668443648.0,,,1.0,847872000.0,,,1.0,0.0,5467275264.0,384.0,224.0,0.16984732280034226,3012802965504.0,5467275264.0,densenet,486.0,28681000.0,0.0,161.0,45180076032.0,3.0,106573824.0
160.0,0.0,160.0,3955557924864.0,,,1.0,1130496000.0,,,1.0,0.0,6442450944.0,512.0,224.0,0.2247551447006117,4017070620672.0,6442450944.0,densenet,486.0,28681000.0,0.0,161.0,60240101376.0,3.0,142098432.0
,,96.0,2835873120.0,1.0,0.0,2.0,2048000.0,1.0,53248.0,2.0,0.0,1979711488.0,1.0,224.0,0.001526443799957633,2856567712.0,1979711488.0,inception,198.0,27161264.0,0.0,96.0,18593344.0,,
,,96.0,5671746240.0,1.0,0.0,2.0,4096000.0,1.0,106496.0,2.0,0.0,2057306112.0,2.0,224.0,0.0015535540005657822,5713135424.0,2057306112.0,inception,198.0,27161264.0,0.0,96.0,37186688.0,,
,,96.0,11343492480.0,1.0,0.0,2.0,8192000.0,1.0,212992.0,2.0,0.0,2132803584.0,4.0,224.0,0.0015271329997631256,11426270848.0,2132803584.0,inception,198.0,27161264.0,0.0,96.0,74373376.0,,
,,96.0,22686984960.0,1.0,0.0,2.0,16384000.0,1.0,425984.0,2.0,0.0,2202009600.0,8.0,224.0,0.0015781319001689554,22852541696.0,2202009600.0,inception,198.0,27161264.0,0.0,96.0,148746752.0,,
,,96.0,45373969920.0,1.0,0.0,2.0,32768000.0,1.0,851968.0,2.0,0.0,2273312768.0,16.0,224.0,0.0017213605002325493,45705083392.0,2273312768.0,inception,198.0,27161264.0,0.0,96.0,297493504.0,,
,,96.0,90747939840.0,1.0,0.0,2.0,65536000.0,1.0,1703936.0,2.0,0.0,2376073216.0,32.0,224.0,0.002912962499976857,91410166784.0,2376073216.0,inception,198.0,27161264.0,0.0,96.0,594987008.0,,
,,96.0,181495879680.0,1.0,0.0,2.0,131072000.0,1.0,3407872.0,2.0,0.0,2541748224.0,64.0,224.0,0.005425439899408957,182820333568.0,2541748224.0,inception,198.0,27161264.0,0.0,96.0,1189974016.0,,
,,96.0,272243819520.0,1.0,0.0,2.0,196608000.0,1.0,5111808.0,2.0,0.0,2690646016.0,96.0,224.0,0.007496701600030064,274230500352.0,2690646016.0,inception,198.0,27161264.0,0.0,96.0,1784961024.0,,
