<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
41.0,0.0,45.0,3001948544.0,1.0,128000.0,1379926016.0,1.0,224.0,0.0006708299741148947,3002076544.0,1379926016.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,6003897088.0,1.0,256000.0,1434451968.0,2.0,224.0,0.000663149543106556,6004153088.0,1434451968.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,12007794176.0,1.0,512000.0,1468006400.0,4.0,224.0,0.0008334057405591013,12008306176.0,1468006400.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,24015588352.0,1.0,1024000.0,1530920960.0,8.0,224.0,0.0011985691264271734,24016612352.0,1530920960.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,48031176704.0,1.0,2048000.0,1602224128.0,16.0,224.0,0.0020101901143789293,48033224704.0,1602224128.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,96062353408.0,1.0,4096000.0,1700790272.0,32.0,224.0,0.0035576704889535905,96066449408.0,1700790272.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,192124706816.0,1.0,8192000.0,1832910848.0,64.0,224.0,0.006597458012402057,192132898816.0,1832910848.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,288187060224.0,1.0,12288000.0,1973420032.0,96.0,224.0,0.009715318493545056,288199348224.0,1973420032.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,384249413632.0,1.0,16384000.0,2120220672.0,128.0,224.0,0.012646166235208513,384265797632.0,2120220672.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,576374120448.0,1.0,24576000.0,2348810240.0,192.0,224.0,0.018687268160283564,576398696448.0,2348810240.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,768498827264.0,1.0,32768000.0,2583691264.0,256.0,224.0,0.024292875453829764,768531595264.0,2583691264.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,1152748240896.0,1.0,49152000.0,2959081472.0,384.0,224.0,0.036168680526316166,1152797392896.0,2959081472.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
41.0,0.0,45.0,1536997654528.0,1.0,65536000.0,3441426432.0,512.0,224.0,0.047778401710093024,1537063190528.0,3441426432.0,gernet,87.0,21142920.0,0.0,,,,,,,,,,
9.0,0.0,20.0,1813561344.0,1.0,25600.0,1308622848.0,1.0,224.0,0.0005422532558441162,1824033792.0,1308622848.0,resnet18,52.0,11689512.0,0.0,20.0,9934848.0,1.0,512000.0,1.0,0.0,,,,
9.0,0.0,20.0,3627122688.0,1.0,51200.0,1333788672.0,2.0,224.0,0.0005507208406925201,3648067584.0,1333788672.0,resnet18,52.0,11689512.0,0.0,20.0,19869696.0,1.0,1024000.0,1.0,0.0,,,,
9.0,0.0,20.0,7254245376.0,1.0,102400.0,1363148800.0,4.0,224.0,0.0005553595721721653,7296135168.0,1363148800.0,resnet18,52.0,11689512.0,0.0,20.0,39739392.0,1.0,2048000.0,1.0,0.0,,,,
9.0,0.0,20.0,14508490752.0,1.0,204800.0,1407188992.0,8.0,224.0,0.0007546443492174147,14592270336.0,1407188992.0,resnet18,52.0,11689512.0,0.0,20.0,79478784.0,1.0,4096000.0,1.0,0.0,,,,
9.0,0.0,20.0,29016981504.0,1.0,409600.0,1451229184.0,16.0,224.0,0.0012328101322054866,29184540672.0,1451229184.0,resnet18,52.0,11689512.0,0.0,20.0,158957568.0,1.0,8192000.0,1.0,0.0,,,,
