<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
26.0,0.0,26.0,818924576.0,1.0,0.0,1.0,170000.0,3.0,0.0,1262485504.0,1.0,224.0,0.0005858151242136955,819094576.0,1262485504.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,1637849152.0,1.0,0.0,1.0,340000.0,3.0,0.0,1270874112.0,2.0,224.0,0.0006097216159105301,1638189152.0,1270874112.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,3275698304.0,1.0,0.0,1.0,680000.0,3.0,0.0,1296039936.0,4.0,224.0,0.0009266201406717301,3276378304.0,1296039936.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,6551396608.0,1.0,0.0,1.0,1360000.0,3.0,0.0,1312817152.0,8.0,224.0,0.0015608120709657669,6552756608.0,1312817152.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,13102793216.0,1.0,0.0,1.0,2720000.0,3.0,0.0,1363148800.0,16.0,224.0,0.0028151515871286392,13105513216.0,1363148800.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,26205586432.0,1.0,0.0,1.0,5440000.0,3.0,0.0,1480589312.0,32.0,224.0,0.005320043861865997,26211026432.0,1480589312.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,52411172864.0,1.0,0.0,1.0,10880000.0,3.0,0.0,1690304512.0,64.0,224.0,0.010409778729081156,52422052864.0,1690304512.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,78616759296.0,1.0,0.0,1.0,16320000.0,3.0,0.0,1900019712.0,96.0,224.0,0.015317531675100329,78633079296.0,1900019712.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,104822345728.0,1.0,0.0,1.0,21760000.0,3.0,0.0,2109734912.0,128.0,224.0,0.02048600595444441,104844105728.0,2109734912.0,squeezenet,57.0,1248424.0,0.0,,,,,,
26.0,0.0,26.0,157233518592.0,1.0,0.0,1.0,32640000.0,3.0,0.0,2529165312.0,192.0,224.0,0.03038067277520895,157266158592.0,2529165312.0,squeezenet,57.0,1248424.0,0.0,,,,,,
