<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_conv_macs_macs,avg_linear_macs_macs,avg_memory,batch_size,input_size,latency,macs,max_macs,max_macs_macs,max_memory,max_params,max_params_macs,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,0.0,0.0,1158807552.0,1.0,224.0,0.00788574926555157,4366946304.0,117964800.0,117964800.0,1158807552.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,0.0,0.0,1349648384.0,2.0,224.0,0.008522490039467813,8733892608.0,235929600.0,235929600.0,1349648384.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,0.0,0.0,1538392064.0,4.0,224.0,0.008787076547741891,17467785216.0,471859200.0,471859200.0,1538392064.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,693633024.0,37.0,0.0,49.0,25485004800.0,25.0,23040000.0,0.0,0.0,1538392064.0,6.0,224.0,0.009753824025392531,26201677824.0,707788800.0,707788800.0,1538392064.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,0.0,0.0,1538392064.0,8.0,224.0,0.012900957092642785,34935570432.0,943718400.0,943718400.0,1538392064.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,1387266048.0,37.0,0.0,49.0,50970009600.0,25.0,46080000.0,0.0,0.0,1708261376.0,12.0,224.0,0.017286496609449385,52403355648.0,1415577600.0,1415577600.0,1708261376.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,0.0,0.0,1708261376.0,16.0,224.0,0.020130621641874312,69871140864.0,1887436800.0,1887436800.0,1708261376.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,2312110080.0,37.0,0.0,49.0,84950016000.0,25.0,76800000.0,0.0,0.0,1708261376.0,20.0,224.0,0.02584852389991284,87338926080.0,2359296000.0,2359296000.0,1708261376.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,2774532096.0,37.0,0.0,49.0,101940019200.0,25.0,92160000.0,0.0,0.0,1917976576.0,24.0,224.0,0.030692964047193527,104806711296.0,2831155200.0,2831155200.0,1917976576.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,3236954112.0,37.0,0.0,49.0,118930022400.0,25.0,107520000.0,0.0,0.0,1917976576.0,28.0,224.0,0.03419221378862858,122274496512.0,3303014400.0,3303014400.0,1917976576.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,0.0,0.0,1917976576.0,32.0,224.0,0.04038338027894497,139742281728.0,3774873600.0,3774873600.0,1917976576.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,4624220160.0,37.0,0.0,49.0,169900032000.0,25.0,153600000.0,0.0,0.0,1980891136.0,40.0,224.0,0.04991188794374466,174677852160.0,4718592000.0,4718592000.0,1980891136.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,5549064192.0,37.0,0.0,49.0,203880038400.0,25.0,184320000.0,0.0,0.0,1980891136.0,48.0,224.0,0.06222069561481476,209613422592.0,5662310400.0,5662310400.0,1980891136.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,6473908224.0,37.0,0.0,49.0,237860044800.0,25.0,215040000.0,0.0,0.0,2106720256.0,56.0,224.0,0.07427698932588099,244548993024.0,6606028800.0,6606028800.0,2106720256.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,0.0,0.0,2106720256.0,64.0,224.0,0.07483905479311942,279484563456.0,7549747200.0,7549747200.0,2106720256.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,11098128384.0,37.0,0.0,49.0,407760076800.0,25.0,368640000.0,0.0,0.0,2222063616.0,96.0,224.0,0.1152230218052864,419226845184.0,11324620800.0,11324620800.0,2222063616.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,0.0,0.0,2341601280.0,128.0,224.0,0.16917554587125774,558969126912.0,15099494400.0,15099494400.0,2341601280.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,0.0,0.0,991035392.0,1.0,224.0,0.03827170617878437,5439190496.0,260112384.0,260112384.0,991035392.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
245.0,10721854400.0,,,,,,,0.0,0.0,1114767360.0,2.0,224.0,0.038153596222400665,10878380992.0,520224768.0,520224768.0,1114767360.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
245.0,21443708800.0,,,,,,,0.0,0.0,1114767360.0,4.0,224.0,0.03849144577980042,21756761984.0,1040449536.0,1040449536.0,1114767360.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
245.0,32165563200.0,,,,,,,0.0,0.0,1114767360.0,6.0,224.0,0.03921474777162075,32635142976.0,1560674304.0,1560674304.0,1114767360.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,469195776.0,1.0,384000.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,0.0,0.0,1244790784.0,8.0,224.0,0.03901887685060501,43513523968.0,2080899072.0,2080899072.0,1244790784.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,64331126400.0,,,,,,,0.0,0.0,1355939840.0,12.0,224.0,0.03922056891024113,65270285952.0,3121348608.0,3121348608.0,1355939840.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,938391552.0,1.0,768000.0,,,,,,,,,,,,
245.0,85774835200.0,,,,,,,0.0,0.0,1358036992.0,16.0,224.0,0.04443812146782875,87027047936.0,4161798144.0,4161798144.0,1358036992.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
245.0,107218544000.0,,,,,,,0.0,0.0,1613889536.0,20.0,224.0,0.058994171023368826,108783809920.0,5202247680.0,5202247680.0,1613889536.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,1563985920.0,1.0,1280000.0,,,,,,,,,,,,
245.0,128662252800.0,,,,,,,0.0,0.0,1653735424.0,24.0,224.0,0.06860667988657951,130540571904.0,6242697216.0,6242697216.0,1653735424.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,1876783104.0,1.0,1536000.0,,,,,,,,,,,,
245.0,150105961600.0,,,,,,,0.0,0.0,1909587968.0,28.0,224.0,0.07506515011191367,152297333888.0,7283146752.0,7283146752.0,1909587968.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,2189580288.0,1.0,1792000.0,,,,,,,,,,,,
245.0,171549670400.0,,,,,,,0.0,0.0,1911685120.0,32.0,224.0,0.08245514221489429,174054095872.0,8323596288.0,8323596288.0,1911685120.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
245.0,214437088000.0,,,,,,,0.0,0.0,2238840832.0,40.0,224.0,0.10355681292712687,217567619840.0,10404495360.0,10404495360.0,2238840832.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,3127971840.0,1.0,2560000.0,,,,,,,,,,,,
245.0,257324505600.0,,,,,,,0.0,0.0,2238840832.0,48.0,224.0,0.12073887661099432,261081143808.0,12485394432.0,12485394432.0,2238840832.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,3753566208.0,1.0,3072000.0,,,,,,,,,,,,
245.0,300211923200.0,,,,,,,0.0,0.0,2675048448.0,56.0,224.0,0.1448225758969784,304594667776.0,14566293504.0,14566293504.0,2675048448.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,4379160576.0,1.0,3584000.0,,,,,,,,,,,,
245.0,343099340800.0,,,,,,,0.0,0.0,2675048448.0,64.0,224.0,0.16026234142482282,348108191744.0,16647192576.0,16647192576.0,2675048448.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
245.0,514649011200.0,,,,,,,0.0,0.0,3327262720.0,96.0,224.0,0.2322887305170297,522162287616.0,24970788864.0,24970788864.0,3327262720.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,7507132416.0,1.0,6144000.0,,,,,,,,,,,,
245.0,686198681600.0,,,,,,,0.0,0.0,3327262720.0,128.0,224.0,0.3125207699835301,696216383488.0,33294385152.0,33294385152.0,3327262720.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
64.0,501187680.0,,,,,,,0.0,0.0,791805952.0,1.0,224.0,0.010307800024747849,536192992.0,20070400.0,20070400.0,791805952.0,409600.0,409600.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
64.0,1002375360.0,,,,,,,0.0,0.0,800194560.0,2.0,224.0,0.010667512565851212,1072385984.0,40140800.0,40140800.0,800194560.0,409600.0,409600.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
