<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs
17.0,0.0,53.0,44455936.0,53.0,4087136256.0,1.0,2048000.0,1.0,102400.0,1.0,0.0,1172307968.0,1.0,224.0,0.012989290803670884,4133742592.0,1172307968.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,88911872.0,53.0,8174272512.0,1.0,4096000.0,1.0,204800.0,1.0,0.0,1226833920.0,2.0,224.0,0.011198204755783082,8267485184.0,1226833920.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,177823744.0,53.0,16348545024.0,1.0,8192000.0,1.0,409600.0,1.0,0.0,1247805440.0,4.0,224.0,0.011807402968406678,16534970368.0,1247805440.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,355647488.0,53.0,32697090048.0,1.0,16384000.0,1.0,819200.0,1.0,0.0,1247805440.0,8.0,224.0,0.011571772396564484,33069940736.0,1247805440.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,711294976.0,53.0,65394180096.0,1.0,32768000.0,1.0,1638400.0,1.0,0.0,1400897536.0,16.0,224.0,0.010974188148975371,66139881472.0,1400897536.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,1422589952.0,53.0,130788360192.0,1.0,65536000.0,1.0,3276800.0,1.0,0.0,1635778560.0,32.0,224.0,0.016922876983880997,132279762944.0,1635778560.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,2845179904.0,53.0,261576720384.0,1.0,131072000.0,1.0,6553600.0,1.0,0.0,2099249152.0,64.0,224.0,0.03237337470054626,264559525888.0,2099249152.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,5690359808.0,53.0,523153440768.0,1.0,262144000.0,1.0,13107200.0,1.0,0.0,3026190336.0,128.0,224.0,0.0626263864338398,529119051776.0,3026190336.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,11380719616.0,53.0,1046306881536.0,1.0,524288000.0,1.0,26214400.0,1.0,0.0,4877975552.0,256.0,224.0,0.12339959442615507,1058238103552.0,4877975552.0,resnet50,126.0,25557032.0,0.0,,,,
,,,,,,73.0,10872225792.0,,,,,1310720000.0,1.0,128.0,0.012609394639730454,10882056192.0,1310720000.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,9830400.0
,,,,,,73.0,21744451584.0,,,,,1480589312.0,2.0,128.0,0.013227646797895431,21764112384.0,1480589312.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,19660800.0
,,,,,,73.0,43488903168.0,,,,,1482686464.0,4.0,128.0,0.013226521760225296,43528224768.0,1482686464.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,39321600.0
,,,,,,73.0,86977806336.0,,,,,1482686464.0,8.0,128.0,0.01302763968706131,87056449536.0,1482686464.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,78643200.0
,,,,,,73.0,173955612672.0,,,,,1482686464.0,16.0,128.0,0.0137352854013443,174112899072.0,1482686464.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,157286400.0
,,,,,,73.0,347911225344.0,,,,,1650458624.0,32.0,128.0,0.02425355985760689,348225798144.0,1650458624.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,314572800.0
,,,,,,73.0,695822450688.0,,,,,1700790272.0,64.0,128.0,0.042574796825647354,696451596288.0,1700790272.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,629145600.0
,,,,,,73.0,1391644901376.0,,,,,2027945984.0,128.0,128.0,0.085008854418993,1392903192576.0,2027945984.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,1258291200.0
,,,,,,73.0,2783289802752.0,,,,,2531262464.0,256.0,128.0,0.16931221187114714,2785806385152.0,2531262464.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,2516582400.0
