macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,latency,avg_memory,max_memory,model,batch_size,input_size,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls
4366946304.0,115605504.0,0.0,3840000.0,4247500800.0,112,1.0,37.0,25.0,49,88224232,0,0.0054548813961446,2137784320.0,2137784320,vit32,1,224,,,,,,,,
8733892608.0,231211008.0,0.0,7680000.0,8495001600.0,112,1.0,37.0,25.0,49,88224232,0,0.0061622598906978,2328625152.0,2328625152,vit32,2,224,,,,,,,,
17467785216.0,462422016.0,0.0,15360000.0,16990003200.0,112,1.0,37.0,25.0,49,88224232,0,0.0057257080916315,2328625152.0,2328625152,vit32,4,224,,,,,,,,
34935570432.0,924844032.0,0.0,30720000.0,33980006400.0,112,1.0,37.0,25.0,49,88224232,0,0.0062143809860572,2519465984.0,2519465984,vit32,8,224,,,,,,,,
69871140864.0,1849688064.0,0.0,61440000.0,67960012800.0,112,1.0,37.0,25.0,49,88224232,0,0.0060364888980984,2519465984.0,2519465984,vit32,16,224,,,,,,,,
139742281728.0,3699376128.0,0.0,122880000.0,135920025600.0,112,1.0,37.0,25.0,49,88224232,0,0.0064843553816899,2519465984.0,2519465984,vit32,32,224,,,,,,,,
279484563456.0,7398752256.0,0.0,245760000.0,271840051200.0,112,1.0,37.0,25.0,49,88224232,0,0.0083355439128354,2569797632.0,2569797632,vit32,64,224,,,,,,,,
558969126912.0,14797504512.0,0.0,491520000.0,543680102400.0,112,1.0,37.0,25.0,49,88224232,0,0.0123258946929126,2704015360.0,2704015360,vit32,128,224,,,,,,,,
4133742592.0,4087136256.0,,,2048000.0,126,53.0,,,1,25557032,0,0.0080868687946349,1858863104.0,1858863104,resnet50,1,224,44455936.0,0.0,0.0,102400.0,53.0,17.0,1.0,1.0
8267485184.0,8174272512.0,,,4096000.0,126,53.0,,,1,25557032,0,0.0088455104967579,1913389056.0,1913389056,resnet50,2,224,88911872.0,0.0,0.0,204800.0,53.0,17.0,1.0,1.0
16534970368.0,16348545024.0,,,8192000.0,126,53.0,,,1,25557032,0,0.0085600347956642,1913389056.0,1913389056,resnet50,4,224,177823744.0,0.0,0.0,409600.0,53.0,17.0,1.0,1.0
33069940736.0,32697090048.0,,,16384000.0,126,53.0,,,1,25557032,0,0.0082451227121055,1965817856.0,1965817856,resnet50,8,224,355647488.0,0.0,0.0,819200.0,53.0,17.0,1.0,1.0
66139881472.0,65394180096.0,,,32768000.0,126,53.0,,,1,25557032,0,0.0085027216002345,2133590016.0,2133590016,resnet50,16,224,711294976.0,0.0,0.0,1638400.0,53.0,17.0,1.0,1.0
132279762944.0,130788360192.0,,,65536000.0,126,53.0,,,1,25557032,0,0.0085709005128592,2458648576.0,2458648576,resnet50,32,224,1422589952.0,0.0,0.0,3276800.0,53.0,17.0,1.0,1.0
264559525888.0,261576720384.0,,,131072000.0,126,53.0,,,1,25557032,0,0.0137899663997814,3119251456.0,3119251456,resnet50,64,224,2845179904.0,0.0,0.0,6553600.0,53.0,17.0,1.0,1.0
529119051776.0,523153440768.0,,,262144000.0,126,53.0,,,1,25557032,0,0.0263950571184977,4408999936.0,4408999936,resnet50,128,224,5690359808.0,0.0,0.0,13107200.0,53.0,17.0,1.0,1.0
10882056192.0,,0.0,9830400.0,10872225792.0,135,,37.0,25.0,73,109482240,0,0.009597430098801851,1802240000.0,1802240000,bert,1,128,,,,,,,,
21764112384.0,,0.0,19660800.0,21744451584.0,135,,37.0,25.0,73,109482240,0,0.0072983270045369865,1972109312.0,1972109312,bert,2,128,,,,,,,,
43528224768.0,,0.0,39321600.0,43488903168.0,135,,37.0,25.0,73,109482240,0,0.007646711287088692,1974206464.0,1974206464,bert,4,128,,,,,,,,
87056449536.0,,0.0,78643200.0,86977806336.0,135,,37.0,25.0,73,109482240,0,0.007356658182106912,1974206464.0,1974206464,bert,8,128,,,,,,,,
174112899072.0,,0.0,157286400.0,173955612672.0,135,,37.0,25.0,73,109482240,0,0.007676172093488276,1974206464.0,1974206464,bert,16,128,,,,,,,,
348225798144.0,,0.0,314572800.0,347911225344.0,135,,37.0,25.0,73,109482240,0,0.007676828000694513,1974206464.0,1974206464,bert,32,128,,,,,,,,
696451596288.0,,0.0,629145600.0,695822450688.0,135,,37.0,25.0,73,109482240,0,0.015734926890581848,2024538112.0,2024538112,bert,64,128,,,,,,,,
1392903192576.0,,0.0,1258291200.0,1391644901376.0,135,,37.0,25.0,73,109482240,0,0.028915178682655095,2351693824.0,2351693824,bert,128,128,,,,,,,,
