<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs
17.0,0.0,53.0,44455936.0,53.0,4087136256.0,1.0,2048000.0,1.0,102400.0,1.0,0.0,1292632064.0,1.0,224.0,0.007466091099195183,4133742592.0,1292632064.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,88911872.0,53.0,8174272512.0,1.0,4096000.0,1.0,204800.0,1.0,0.0,1347158016.0,2.0,224.0,0.007846389315091074,8267485184.0,1347158016.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,177823744.0,53.0,16348545024.0,1.0,8192000.0,1.0,409600.0,1.0,0.0,1368129536.0,4.0,224.0,0.00784064899198711,16534970368.0,1368129536.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,355647488.0,53.0,32697090048.0,1.0,16384000.0,1.0,819200.0,1.0,0.0,1368129536.0,8.0,224.0,0.007703039306215941,33069940736.0,1368129536.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,711294976.0,53.0,65394180096.0,1.0,32768000.0,1.0,1638400.0,1.0,0.0,1527513088.0,16.0,224.0,0.0076388249872252345,66139881472.0,1527513088.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,1422589952.0,53.0,130788360192.0,1.0,65536000.0,1.0,3276800.0,1.0,0.0,1774977024.0,32.0,224.0,0.01352081699296832,132279762944.0,1774977024.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,2845179904.0,53.0,261576720384.0,1.0,131072000.0,1.0,6553600.0,1.0,0.0,2265710592.0,64.0,224.0,0.02495892089791596,264559525888.0,2265710592.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,5690359808.0,53.0,523153440768.0,1.0,262144000.0,1.0,13107200.0,1.0,0.0,3247177728.0,128.0,224.0,0.04708424920681864,529119051776.0,3247177728.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,11380719616.0,53.0,1046306881536.0,1.0,524288000.0,1.0,26214400.0,1.0,0.0,5203820544.0,256.0,224.0,0.08991831629537046,1058238103552.0,5203820544.0,resnet50,126.0,25557032.0,0.0,,,,
,,,,,,73.0,10872225792.0,,,,,1458307072.0,1.0,128.0,0.007892644591629505,10882056192.0,1458307072.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,9830400.0
,,,,,,73.0,21744451584.0,,,,,1628176384.0,2.0,128.0,0.009667916200123727,21764112384.0,1628176384.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,19660800.0
,,,,,,73.0,43488903168.0,,,,,1630273536.0,4.0,128.0,0.008195713604800403,43528224768.0,1630273536.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,39321600.0
,,,,,,73.0,86977806336.0,,,,,1630273536.0,8.0,128.0,0.008269772911444307,87056449536.0,1630273536.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,78643200.0
,,,,,,73.0,173955612672.0,,,,,1630273536.0,16.0,128.0,0.009619797207415104,174112899072.0,1630273536.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,157286400.0
,,,,,,73.0,347911225344.0,,,,,1798045696.0,32.0,128.0,0.01631581459660083,348225798144.0,1798045696.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,314572800.0
,,,,,,73.0,695822450688.0,,,,,1848377344.0,64.0,128.0,0.029976718896068632,696451596288.0,1848377344.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,629145600.0
,,,,,,73.0,1391644901376.0,,,,,2175533056.0,128.0,128.0,0.05687182371038944,1392903192576.0,2175533056.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,1258291200.0
,,,,,,73.0,2783289802752.0,,,,,2678849536.0,256.0,128.0,0.11185712181031704,2785806385152.0,2678849536.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,2516582400.0
