<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
37.0,0.0,73.0,10872225792.0,25.0,9830400.0,1612447744.0,1.0,128.0,0.00695574888959527,10882056192.0,1612447744.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,21744451584.0,25.0,19660800.0,1828454400.0,2.0,128.0,0.007693191710859537,21764112384.0,1828454400.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,43488903168.0,25.0,39321600.0,2048655360.0,4.0,128.0,0.007245465833693744,43528224768.0,2048655360.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,86977806336.0,25.0,78643200.0,2285633536.0,8.0,128.0,0.00730305453762412,87056449536.0,2285633536.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,173955612672.0,25.0,157286400.0,2285633536.0,16.0,128.0,0.007115765195339919,174112899072.0,2285633536.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,347911225344.0,25.0,314572800.0,2312896512.0,32.0,128.0,0.012715893890708685,348225798144.0,2312896512.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,695822450688.0,25.0,629145600.0,2514223104.0,64.0,128.0,0.02266190815716982,696451596288.0,2514223104.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,1391644901376.0,25.0,1258291200.0,3118202880.0,128.0,128.0,0.043330562487244616,1392903192576.0,3118202880.0,bert,135.0,109482240.0,0.0,,,,
13.0,0.0,36.0,5435817984.0,13.0,5111808.0,1398538240.0,1.0,128.0,0.0036376559175550936,5440929792.0,1398538240.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,10871635968.0,13.0,10223616.0,1534853120.0,2.0,128.0,0.0040375548414886,10881859584.0,1534853120.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,21743271936.0,13.0,20447232.0,1643905024.0,4.0,128.0,0.003945435211062431,21763719168.0,1643905024.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,43486543872.0,13.0,40894464.0,1643905024.0,8.0,128.0,0.004013294540345669,43527438336.0,1643905024.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,86973087744.0,13.0,81788928.0,1643905024.0,16.0,128.0,0.003761826548725367,87054876672.0,1643905024.0,distilbert,62.0,66362880.0,0.0,,,,
