<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,1160904704.0,1.0,224.0,0.00653020069003105,4366946304.0,1160904704.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,1559363584.0,2.0,224.0,0.007012663036584854,8733892608.0,1559363584.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,1959919616.0,4.0,224.0,0.00982750803232193,17467785216.0,1959919616.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,2358378496.0,8.0,224.0,0.01792717501521111,34935570432.0,2358378496.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,2798780416.0,16.0,224.0,0.026701154932379723,69871140864.0,2798780416.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,2798780416.0,32.0,224.0,0.053225068002939226,139742281728.0,2798780416.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,3029467136.0,64.0,224.0,0.11071564927697182,279484563456.0,3029467136.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,3488743424.0,128.0,224.0,0.2450319614261389,558969126912.0,3488743424.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,997326848.0,1.0,224.0,0.020637639984488487,5439190496.0,997326848.0,efficientnet,403.0,54139356.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
245.0,10721854400.0,,,,,,,1223819264.0,2.0,224.0,0.0218527976423502,10878380992.0,1223819264.0,efficientnet,403.0,54139356.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
245.0,21443708800.0,,,,,,,1272053760.0,4.0,224.0,0.02190840542316437,21756761984.0,1272053760.0,efficientnet,403.0,54139356.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,1313996800.0,8.0,224.0,0.030346108227968217,43513523968.0,1313996800.0,efficientnet,403.0,54139356.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,85774835200.0,,,,,,,1695678464.0,16.0,224.0,0.05111151970922947,87027047936.0,1695678464.0,efficientnet,403.0,54139356.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
245.0,171549670400.0,,,,,,,2031222784.0,32.0,224.0,0.09384881518781184,174054095872.0,2031222784.0,efficientnet,403.0,54139356.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
245.0,343099340800.0,,,,,,,2553413632.0,64.0,224.0,0.18851812183856964,348108191744.0,2553413632.0,efficientnet,403.0,54139356.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
245.0,686198681600.0,,,,,,,3505520640.0,128.0,224.0,0.363551028072834,696216383488.0,3505520640.0,efficientnet,403.0,54139356.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
64.0,501187680.0,,,,,,,816971776.0,1.0,224.0,0.004892830923199654,536192992.0,816971776.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
64.0,1002375360.0,,,,,,,850526208.0,2.0,224.0,0.005060893297195434,1072385984.0,850526208.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
64.0,2004750720.0,,,,,,,907149312.0,4.0,224.0,0.006595382466912271,2144771968.0,907149312.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,139765248.0,1.0,256000.0,43.0,0.0,,,,,,,,,,
64.0,4009501440.0,,,,,,,1001521152.0,8.0,224.0,0.01084412820637226,4289543936.0,1001521152.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,279530496.0,1.0,512000.0,43.0,0.0,,,,,,,,,,
64.0,8019002880.0,,,,,,,1183973376.0,16.0,224.0,0.018642717972397804,8579087872.0,1183973376.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,559060992.0,1.0,1024000.0,43.0,0.0,,,,,,,,,,
64.0,16038005760.0,,,,,,,1546780672.0,32.0,224.0,0.03512792810797692,17158175744.0,1546780672.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,1118121984.0,1.0,2048000.0,43.0,0.0,,,,,,,,,,
64.0,32076011520.0,,,,,,,2266103808.0,64.0,224.0,0.07021187506616115,34316351488.0,2266103808.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,2236243968.0,1.0,4096000.0,43.0,0.0,,,,,,,,,,
64.0,64152023040.0,,,,,,,3721527296.0,128.0,224.0,0.13810860514640808,68632702976.0,3721527296.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,4472487936.0,1.0,8192000.0,43.0,0.0,,,,,,,,,,
20.0,1813561344.0,,,1.0,512000.0,,,856817664.0,1.0,224.0,0.002442153915762901,1824033792.0,856817664.0,resnet18,52.0,11689512.0,0.0,20.0,9934848.0,1.0,25600.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,3627122688.0,,,1.0,1024000.0,,,905052160.0,2.0,224.0,0.0024394493550062178,3648067584.0,905052160.0,resnet18,52.0,11689512.0,0.0,20.0,19869696.0,1.0,51200.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,7254245376.0,,,1.0,2048000.0,,,986841088.0,4.0,224.0,0.002561869844794273,7296135168.0,986841088.0,resnet18,52.0,11689512.0,0.0,20.0,39739392.0,1.0,102400.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,14508490752.0,,,1.0,4096000.0,,,1018298368.0,8.0,224.0,0.00401381440460682,14592270336.0,1018298368.0,resnet18,52.0,11689512.0,0.0,20.0,79478784.0,1.0,204800.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,29016981504.0,,,1.0,8192000.0,,,1123155968.0,16.0,224.0,0.007981327548623084,29184540672.0,1123155968.0,resnet18,52.0,11689512.0,0.0,20.0,158957568.0,1.0,409600.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,58033963008.0,,,1.0,16384000.0,,,1328676864.0,32.0,224.0,0.014843161031603812,58369081344.0,1328676864.0,resnet18,52.0,11689512.0,0.0,20.0,317915136.0,1.0,819200.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,116067926016.0,,,1.0,32768000.0,,,1739718656.0,64.0,224.0,0.02652661576867104,116738162688.0,1739718656.0,resnet18,52.0,11689512.0,0.0,20.0,635830272.0,1.0,1638400.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,232135852032.0,,,1.0,65536000.0,,,2568093696.0,128.0,224.0,0.05549059920012951,233476325376.0,2568093696.0,resnet18,52.0,11689512.0,0.0,20.0,1271660544.0,1.0,3276800.0,,,9.0,0.0,1.0,0.0,,,,,,
53.0,4087136256.0,,,1.0,2048000.0,,,934412288.0,1.0,224.0,0.005488717555999756,4133742592.0,934412288.0,resnet50,126.0,25557032.0,0.0,53.0,44455936.0,1.0,102400.0,,,17.0,0.0,1.0,0.0,,,,,,
53.0,8174272512.0,,,1.0,4096000.0,,,1039269888.0,2.0,224.0,0.006284944713115692,8267485184.0,1039269888.0,resnet50,126.0,25557032.0,0.0,53.0,88911872.0,1.0,204800.0,,,17.0,0.0,1.0,0.0,,,,,,
53.0,16348545024.0,,,1.0,8192000.0,,,1171390464.0,4.0,224.0,0.007784463837742806,16534970368.0,1171390464.0,resnet50,126.0,25557032.0,0.0,53.0,177823744.0,1.0,409600.0,,,17.0,0.0,1.0,0.0,,,,,,
53.0,32697090048.0,,,1.0,16384000.0,,,1290928128.0,8.0,224.0,0.013021454587578774,33069940736.0,1290928128.0,resnet50,126.0,25557032.0,0.0,53.0,355647488.0,1.0,819200.0,,,17.0,0.0,1.0,0.0,,,,,,
53.0,65394180096.0,,,1.0,32768000.0,,,1519517696.0,16.0,224.0,0.02496556080877781,66139881472.0,1519517696.0,resnet50,126.0,25557032.0,0.0,53.0,711294976.0,1.0,1638400.0,,,17.0,0.0,1.0,0.0,,,,,,
53.0,130788360192.0,,,1.0,65536000.0,,,1844576256.0,32.0,224.0,0.04610521048307418,132279762944.0,1844576256.0,resnet50,126.0,25557032.0,0.0,53.0,1422589952.0,1.0,3276800.0,,,17.0,0.0,1.0,0.0,,,,,,
53.0,261576720384.0,,,1.0,131072000.0,,,2461138944.0,64.0,224.0,0.08961777351796626,264559525888.0,2461138944.0,resnet50,126.0,25557032.0,0.0,53.0,2845179904.0,1.0,6553600.0,,,17.0,0.0,1.0,0.0,,,,,,
53.0,523153440768.0,,,1.0,262144000.0,,,3694264320.0,128.0,224.0,0.177184621617198,529119051776.0,3694264320.0,resnet50,126.0,25557032.0,0.0,53.0,5690359808.0,1.0,13107200.0,,,17.0,0.0,1.0,0.0,,,,,,
104.0,7799357440.0,,,1.0,2048000.0,,,991035392.0,1.0,224.0,0.009910303354263305,7866435584.0,991035392.0,resnet101,245.0,44549160.0,0.0,104.0,64927744.0,1.0,102400.0,,,34.0,0.0,1.0,0.0,,,,,,
104.0,15598714880.0,,,1.0,4096000.0,,,1196556288.0,2.0,224.0,0.011481433361768722,15732871168.0,1196556288.0,resnet101,245.0,44549160.0,0.0,104.0,129855488.0,1.0,204800.0,,,34.0,0.0,1.0,0.0,,,,,,
104.0,31197429760.0,,,1.0,8192000.0,,,1383202816.0,4.0,224.0,0.013175055757164955,31465742336.0,1383202816.0,resnet101,245.0,44549160.0,0.0,104.0,259710976.0,1.0,409600.0,,,34.0,0.0,1.0,0.0,,,,,,
104.0,62394859520.0,,,1.0,16384000.0,,,1410465792.0,8.0,224.0,0.022075553983449937,62931484672.0,1410465792.0,resnet101,245.0,44549160.0,0.0,104.0,519421952.0,1.0,819200.0,,,34.0,0.0,1.0,0.0,,,,,,
104.0,124789719040.0,,,1.0,32768000.0,,,1567752192.0,16.0,224.0,0.04045876450836658,125862969344.0,1567752192.0,resnet101,245.0,44549160.0,0.0,104.0,1038843904.0,1.0,1638400.0,,,34.0,0.0,1.0,0.0,,,,,,
104.0,249579438080.0,,,1.0,65536000.0,,,1930559488.0,32.0,224.0,0.07693647630512715,251725938688.0,1930559488.0,resnet101,245.0,44549160.0,0.0,104.0,2077687808.0,1.0,3276800.0,,,34.0,0.0,1.0,0.0,,,,,,
104.0,499158876160.0,,,1.0,131072000.0,,,2601648128.0,64.0,224.0,0.15095390602946282,503451877376.0,2601648128.0,resnet101,245.0,44549160.0,0.0,104.0,4155375616.0,1.0,6553600.0,,,34.0,0.0,1.0,0.0,,,,,,
104.0,998317752320.0,,,1.0,262144000.0,,,3834773504.0,128.0,224.0,0.2907810967415571,1006903754752.0,3834773504.0,resnet101,245.0,44549160.0,0.0,104.0,8310751232.0,1.0,13107200.0,,,34.0,0.0,1.0,0.0,,,,,,
155.0,11511578624.0,,,1.0,2048000.0,,,1064435712.0,1.0,224.0,0.015443964302539826,11603945472.0,1064435712.0,resnet152,364.0,60192808.0,0.0,155.0,90216448.0,1.0,102400.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,23023157248.0,,,1.0,4096000.0,,,1322385408.0,2.0,224.0,0.016389749571681024,23207890944.0,1322385408.0,resnet152,364.0,60192808.0,0.0,155.0,180432896.0,1.0,204800.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,46046314496.0,,,1.0,8192000.0,,,1322385408.0,4.0,224.0,0.01896094344556332,46415781888.0,1322385408.0,resnet152,364.0,60192808.0,0.0,155.0,360865792.0,1.0,409600.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,92092628992.0,,,1.0,16384000.0,,,1622278144.0,8.0,224.0,0.030870892852544782,92831563776.0,1622278144.0,resnet152,364.0,60192808.0,0.0,155.0,721731584.0,1.0,819200.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,184185257984.0,,,1.0,32768000.0,,,1980891136.0,16.0,224.0,0.056652488559484473,185663127552.0,1980891136.0,resnet152,364.0,60192808.0,0.0,155.0,1443463168.0,1.0,1638400.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,368370515968.0,,,1.0,65536000.0,,,2289172480.0,32.0,224.0,0.1102228421717882,371326255104.0,2289172480.0,resnet152,364.0,60192808.0,0.0,155.0,2886926336.0,1.0,3276800.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,736741031936.0,,,1.0,131072000.0,,,2905735168.0,64.0,224.0,0.2164347279816866,742652510208.0,2905735168.0,resnet152,364.0,60192808.0,0.0,155.0,5773852672.0,1.0,6553600.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,1473482063872.0,,,1.0,262144000.0,,,4138860544.0,128.0,224.0,0.41361311003565787,1485305020416.0,4138860544.0,resnet152,364.0,60192808.0,0.0,155.0,11547705344.0,1.0,13107200.0,,,51.0,0.0,1.0,0.0,,,,,,
5.0,655566528.0,2.0,0.0,3.0,58621952.0,,,1016201216.0,1.0,224.0,0.0012240316718816755,714206912.0,1016201216.0,alexnet,21.0,61100840.0,0.0,,,1.0,18432.0,,,7.0,0.0,3.0,0.0,,,,,,
5.0,1311133056.0,2.0,0.0,3.0,117243904.0,,,1272053760.0,2.0,224.0,0.0013103142380714414,1428413824.0,1272053760.0,alexnet,21.0,61100840.0,0.0,,,1.0,36864.0,,,7.0,0.0,3.0,0.0,,,,,,
5.0,2622266112.0,2.0,0.0,3.0,234487808.0,,,1527906304.0,4.0,224.0,0.0016131047159433365,2856827648.0,1527906304.0,alexnet,21.0,61100840.0,0.0,,,1.0,73728.0,,,7.0,0.0,3.0,0.0,,,,,,
