<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
37.0,0.0,73.0,10872225792.0,25.0,9830400.0,1564213248.0,1.0,128.0,0.0062086482532322405,10882056192.0,1564213248.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,21744451584.0,25.0,19660800.0,2038169600.0,2.0,128.0,0.006895444355905056,21764112384.0,2038169600.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,43488903168.0,25.0,39321600.0,2531000320.0,4.0,128.0,0.007315818965435028,43528224768.0,2531000320.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,86977806336.0,25.0,78643200.0,3023831040.0,8.0,128.0,0.013031762745231393,87056449536.0,3023831040.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,173955612672.0,25.0,157286400.0,3023831040.0,16.0,128.0,0.024786782264709473,174112899072.0,3023831040.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,347911225344.0,25.0,314572800.0,3074162688.0,32.0,128.0,0.0480219398625195,348225798144.0,3074162688.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,695822450688.0,25.0,629145600.0,3478913024.0,64.0,128.0,0.09113155798986554,696451596288.0,3478913024.0,bert,135.0,109482240.0,0.0,,,,
37.0,0.0,73.0,1391644901376.0,25.0,1258291200.0,4334551040.0,128.0,128.0,0.177280065510422,1392903192576.0,4334551040.0,bert,135.0,109482240.0,0.0,,,,
13.0,0.0,36.0,5435817984.0,13.0,5111808.0,1352400896.0,1.0,128.0,0.00337308906018734,5440929792.0,1352400896.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,10871635968.0,13.0,10223616.0,1660682240.0,2.0,128.0,0.003642141353338957,10881859584.0,1660682240.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,21743271936.0,13.0,20447232.0,1922826240.0,4.0,128.0,0.003995330724865197,21763719168.0,1922826240.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,43486543872.0,13.0,40894464.0,1922826240.0,8.0,128.0,0.006651682127267122,43527438336.0,1922826240.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,86973087744.0,13.0,81788928.0,1922826240.0,16.0,128.0,0.012631428334861994,87054876672.0,1922826240.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,173946175488.0,13.0,163577856.0,1973157888.0,32.0,128.0,0.024602220766246317,174109753344.0,1973157888.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,347892350976.0,13.0,327155712.0,2300313600.0,64.0,128.0,0.04625336639583112,348219506688.0,2300313600.0,distilbert,62.0,66362880.0,0.0,,,,
13.0,0.0,36.0,695784701952.0,13.0,654311424.0,3055288320.0,128.0,128.0,0.0910254430025816,696439013376.0,3055288320.0,distilbert,62.0,66362880.0,0.0,,,,
61.0,0.0,84.0,8266973184.0,29.0,7471104.0,1656487936.0,1.0,128.0,0.015072599425911904,8274444288.0,1656487936.0,funnel_transformer,174.0,130973184.0,0.0,,,,
