<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params
37.0,0.0,73.0,19025952768.0,25.0,17203200.0,1319108608.0,1.0,224.0,0.007652454101480544,19043155968.0,1319108608.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,38051905536.0,25.0,34406400.0,1811939328.0,2.0,224.0,0.010757294413633644,38086311936.0,1811939328.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,76103811072.0,25.0,68812800.0,2304770048.0,4.0,224.0,0.017756117694079875,76172623872.0,2304770048.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,152207622144.0,25.0,137625600.0,2864709632.0,8.0,224.0,0.031917717889882624,152345247744.0,2864709632.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,304415244288.0,25.0,275251200.0,2866806784.0,16.0,224.0,0.0588061431189999,304690495488.0,2866806784.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,608830488576.0,25.0,550502400.0,3198156800.0,32.0,224.0,0.1148033404024318,609380990976.0,3198156800.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,1217660977152.0,25.0,1101004800.0,3860856832.0,64.0,224.0,0.22782610110007226,1218761981952.0,3860856832.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,10872225792.0,25.0,9830400.0,1319108608.0,1.0,128.0,0.006432763091288507,10882056192.0,1319108608.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,21744451584.0,25.0,19660800.0,1793064960.0,2.0,128.0,0.007782891695387662,21764112384.0,1793064960.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,43488903168.0,25.0,39321600.0,2285895680.0,4.0,128.0,0.011422691680490971,43528224768.0,2285895680.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,86977806336.0,25.0,78643200.0,2791309312.0,8.0,128.0,0.020021322695538402,87056449536.0,2791309312.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,173955612672.0,25.0,157286400.0,2793406464.0,16.0,128.0,0.03383529209531844,174112899072.0,2793406464.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,347911225344.0,25.0,314572800.0,2843738112.0,32.0,128.0,0.0644199491944164,348225798144.0,2843738112.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,695822450688.0,25.0,629145600.0,3246391296.0,64.0,128.0,0.12508761710487307,696451596288.0,3246391296.0,bert,135.0,109482240.0,0.0
37.0,0.0,73.0,1391644901376.0,25.0,1258291200.0,4102029312.0,128.0,128.0,0.24589925210457295,1392903192576.0,4102029312.0,bert,135.0,109482240.0,0.0
