device,model,accelerator,batch_size,sequence_length,median,mean,std,min,max,5_pct,95_pct
herron_cpu,bert,0.0,1.0,1.0,0.011033296585083,0.0110510158538818,0.0001223140007133,0.0108888149261474,0.0118520259857177,0.0109128832817077,0.0112563252449035
herron_cpu,bert,0.0,1.0,2.0,0.0132575035095214,0.0124123907089233,0.0012034207853305,0.0107977390289306,0.0168824195861816,0.0109108567237854,0.0135650157928466
herron_cpu,bert,0.0,1.0,4.0,0.0154904127120971,0.0156442379951477,0.0006761343021107,0.015120506286621,0.0200860500335693,0.0152485847473144,0.0162059903144836
herron_cpu,bert,0.0,1.0,8.0,0.0173523426055908,0.0174070405960083,0.0001314787056547,0.0172502994537353,0.0180113315582275,0.0172821283340454,0.0176466107368469
herron_cpu,bert,0.0,1.0,16.0,0.0188391208648681,0.021521201133728,0.0046126388555334,0.0181026458740234,0.0500459671020507,0.0181620359420776,0.0260931849479675
herron_cpu,bert,0.0,1.0,32.0,0.0212066173553466,0.0226482319831848,0.0024260898881783,0.0204877853393554,0.0289092063903808,0.0207672834396362,0.0265038967132568
herron_cpu,bert,0.0,1.0,64.0,0.0266481637954711,0.0283373284339904,0.0031301922758987,0.0248589515686035,0.0352759361267089,0.0251655340194702,0.0321815490722656
herron_cpu,bert,0.0,1.0,128.0,0.0337100028991699,0.0345469212532043,0.0019892147416393,0.0328240394592285,0.0440483093261718,0.033318293094635,0.0389813661575317
herron_cpu,bert,0.0,1.0,256.0,0.0661526918411254,0.0658637189865112,0.0035973332903913,0.0533785820007324,0.0765571594238281,0.057508385181427,0.0703441381454467
herron_cpu,bert,0.0,1.0,512.0,0.1431448459625244,0.1466695857048034,0.0091716957281522,0.1304130554199218,0.1705975532531738,0.1352666497230529,0.1646491289138794
herron_cpu,roberta,0.0,1.0,1.0,0.0110132694244384,0.0108423447608947,0.0003408928605348,0.0101232528686523,0.0115325450897216,0.0102354049682617,0.0111601471900939
herron_cpu,roberta,0.0,1.0,2.0,0.0115560293197631,0.0115215921401977,0.0004692988431105,0.0107176303863525,0.0152866840362548,0.0108515381813049,0.0118291974067687
herron_cpu,roberta,0.0,1.0,4.0,0.0135465860366821,0.0135950851440429,0.0001223237076823,0.0134620666503906,0.0140130519866943,0.0134686946868896,0.0138296127319335
herron_cpu,roberta,0.0,1.0,8.0,0.0156792402267456,0.0161922597885131,0.0012652530573049,0.0152351856231689,0.0234465599060058,0.0152621269226074,0.0176372647285461
herron_cpu,roberta,0.0,1.0,16.0,0.0235031843185424,0.023541784286499,0.0010447157049289998,0.0189185142517089,0.0277433395385742,0.022071635723114,0.0251063585281372
herron_cpu,roberta,0.0,1.0,32.0,0.0266066789627075,0.0273403811454772,0.0013983715138468,0.0260071754455566,0.0329971313476562,0.0262715458869934,0.0298662066459655
herron_cpu,roberta,0.0,1.0,64.0,0.0321279764175415,0.0328264093399047,0.0017520773372088,0.0315144062042236,0.0440964698791503,0.0316949963569641,0.0351581454277038
herron_cpu,roberta,0.0,1.0,128.0,0.0405163764953613,0.0410055947303771,0.0014181214583834,0.0400538444519043,0.0478556156158447,0.0401533603668212,0.044183611869812005
herron_cpu,roberta,0.0,1.0,256.0,0.0668050050735473,0.0675275111198425,0.0021413889545183,0.0659382343292236,0.0786919593811035,0.0661564230918884,0.0717620015144348
herron_cpu,roberta,0.0,1.0,512.0,0.1615549325942993,0.1619581866264343,0.0110569427921114,0.1377632617950439,0.1903696060180664,0.1439805626869201,0.1777668476104736
herron_cpu,deberta,0.0,1.0,1.0,0.0154271125793457,0.0156627035140991,0.0014298369629493,0.0145044326782226,0.0214505195617675,0.0145915269851684,0.0193010926246643
herron_cpu,deberta,0.0,1.0,2.0,0.0186351537704467,0.0188090658187866,0.0018787967498609,0.0158288478851318,0.0248687267303466,0.0162214636802673,0.0221101999282836
herron_cpu,deberta,0.0,1.0,4.0,0.0210403203964233,0.0208062577247619,0.0016890355463211,0.0176129341125488,0.0312747955322265,0.0179576992988586,0.022506558895111
herron_cpu,deberta,0.0,1.0,8.0,0.0240557193756103,0.0237757277488708,0.0020249955602394,0.0208122730255126,0.0306348800659179,0.0215395808219909,0.0257842183113098
herron_cpu,deberta,0.0,1.0,16.0,0.0255831480026245,0.0272124862670898,0.0031666374825914,0.0240085124969482,0.0379064083099365,0.0244676232337951,0.0336259245872497
herron_cpu,deberta,0.0,1.0,32.0,0.0346457958221435,0.0336998414993286,0.0033450257051917,0.029017686843872,0.0483553409576416,0.0290626168251037,0.0388261079788208
herron_cpu,deberta,0.0,1.0,64.0,0.0457822084426879,0.046794581413269004,0.0025603728440198,0.0452051162719726,0.0584642887115478,0.0454275012016296,0.0527244329452514
herron_cpu,deberta,0.0,1.0,128.0,0.0669838190078735,0.0672622084617614,0.0047748074259616,0.0554707050323486,0.0855851173400878,0.0582796096801757,0.077612829208374
herron_cpu,deberta,0.0,1.0,256.0,0.1158183813095092,0.1174312019348144,0.0057691112956162,0.1081595420837402,0.1370012760162353,0.1088146805763244,0.1304261922836303
herron_cpu,deberta,0.0,1.0,512.0,0.3180986642837524,0.3270107102394104,0.0180932038282623,0.3089122772216797,0.3751227855682373,0.3125003576278686,0.3697895765304565
herron_cpu,distilbert,0.0,1.0,1.0,0.0049362182617187,0.0049563980102539,7.6903637850583e-05,0.004871129989624001,0.0052814483642578,0.0048809885978698,0.0051413536071777
herron_cpu,distilbert,0.0,1.0,2.0,0.0052398443222045,0.0053428292274475,0.0002366039993422,0.005141258239745999,0.0063831806182861,0.0051771402359008,0.0058145284652709
herron_cpu,distilbert,0.0,1.0,4.0,0.0066829919815063,0.00678156375885,0.0005307869243404,0.006505012512207,0.0114905834197998,0.0065441012382507,0.0071231842041015
herron_cpu,distilbert,0.0,1.0,8.0,0.0075463056564331,0.007517614364624,0.0002363436789913,0.0066947937011718,0.0078685283660888,0.0068593859672546,0.0077969074249267
herron_cpu,distilbert,0.0,1.0,16.0,0.0092794895172119,0.0095723366737365,0.0009342922042293,0.009134292602539,0.0158088207244873,0.0091567993164062,0.010525643825531
herron_cpu,distilbert,0.0,1.0,32.0,0.0147303342819213,0.0142873549461364,0.0012828335725924,0.0105421543121337,0.0185663700103759,0.0108272194862365,0.0149683475494384
herron_cpu,distilbert,0.0,1.0,64.0,0.0161280632019042,0.016188461780548,0.0010196272631115,0.0136244297027587,0.0201785564422607,0.014464521408081,0.0176643252372741
herron_cpu,distilbert,0.0,1.0,128.0,0.0213599205017089,0.0213279056549072,0.0013197873673393,0.0202722549438476,0.0305252075195312,0.0203058123588562,0.0226326704025268
herron_cpu,distilbert,0.0,1.0,256.0,0.0334340333938598,0.0338525390625,0.0010608189044577,0.0329828262329101,0.0405921936035156,0.0331210136413574,0.0358046770095825
herron_cpu,distilbert,0.0,1.0,512.0,0.0619018077850341,0.06278339624404901,0.001980303461447,0.0613420009613037,0.0733466148376464,0.0614014148712158,0.0655415892601013
herron_cpu,ibert,0.0,1.0,1.0,0.0125075578689575,0.0127733659744262,0.000775698160323,0.0123178958892822,0.0158026218414306,0.0124046921730041,0.014807391166687
herron_cpu,ibert,0.0,1.0,2.0,0.01592218875885,0.0151139593124389,0.0014143648205501,0.0130743980407714,0.019153356552124,0.0131412506103515,0.0167202115058898
herron_cpu,ibert,0.0,1.0,4.0,0.0167657136917114,0.015948576927185,0.0018602042627661,0.0136229991912841,0.0198512077331542,0.0136787772178649,0.0178529977798461
herron_cpu,ibert,0.0,1.0,8.0,0.0196110010147094,0.0197083711624145,0.00039776477668,0.0194640159606933,0.0224306583404541,0.0194886922836303,0.0199828028678894
herron_cpu,ibert,0.0,1.0,16.0,0.0284426212310791,0.0286159443855285,0.0006804554600992,0.0281379222869873,0.0330548286437988,0.0282578945159912,0.0301924467086792
herron_cpu,ibert,0.0,1.0,32.0,0.0318657159805297,0.0320329403877258,0.0007305948270698,0.0315139293670654,0.0369646549224853,0.0316542506217956,0.032359504699707
herron_cpu,ibert,0.0,1.0,64.0,0.0380675792694091,0.0383790612220764,0.0010775401715574,0.037471055984497,0.0436065196990966,0.0377271890640258,0.0409958958625793
herron_cpu,ibert,0.0,1.0,128.0,0.0472909212112426,0.0475599360466003,0.0008974075647108,0.0466642379760742,0.0511984825134277,0.0469180464744567,0.0500423073768615
herron_cpu,ibert,0.0,1.0,256.0,0.0765541791915893,0.0747834849357605,0.0058033957591413,0.0599079132080078,0.0868737697601318,0.0607229232788085,0.0801541209220886
herron_cpu,ibert,0.0,1.0,512.0,0.1545755863189697,0.1554512071609497,0.0075803247629416,0.1362106800079345,0.1785273551940918,0.1427669644355774,0.1679746747016906
herron_cpu,albert,0.0,1.0,1.0,0.0081677436828613,0.0083067965507507,0.0006871567624654,0.0077166557312011,0.0129120349884033,0.0080360293388366,0.0086268305778503
herron_cpu,albert,0.0,1.0,2.0,0.0084912776947021,0.0085223960876464,7.814423788266142e-05,0.0084202289581298,0.0088148117065429,0.0084478259086608,0.0086943864822387
herron_cpu,albert,0.0,1.0,4.0,0.0104154348373413,0.0104980540275573,0.0005368644558859,0.0102510452270507,0.0152411460876464,0.0102598071098327,0.0107244610786438
herron_cpu,albert,0.0,1.0,8.0,0.0122133493423461,0.0123948693275451,0.0005895608640174,0.0121083259582519,0.0169074535369873,0.0121411323547363,0.0128895998001098
herron_cpu,albert,0.0,1.0,16.0,0.0212914943695068,0.0214283633232116,0.0006212326824609999,0.0209650993347167,0.0260250568389892,0.0210303544998168,0.0218929529190063
herron_cpu,albert,0.0,1.0,32.0,0.0247426033020019,0.0251436686515808,0.0012024270146763,0.0243175029754638,0.0308649539947509,0.0243777990341186,0.027757441997528
herron_cpu,albert,0.0,1.0,64.0,0.030112862586975,0.0302329993247985,0.0004951886206158,0.0296525955200195,0.033174991607666,0.0297801494598388,0.031063961982727
herron_cpu,albert,0.0,1.0,128.0,0.0397825241088867,0.0400863194465637,0.0012950980300028,0.038649559020996,0.0488073825836181,0.0392246484756469,0.0414744973182678
herron_cpu,albert,0.0,1.0,256.0,0.0698722600936889,0.0705038332939148,0.002254839274224,0.0675911903381347,0.0797581672668457,0.0682073473930358,0.0747166633605957
herron_cpu,albert,0.0,1.0,512.0,0.1464772224426269,0.1476575398445129,0.0028578105998119,0.1457002162933349,0.158876895904541,0.145921778678894,0.1543909549713134
herron_cpu,longformer,0.0,1.0,1.0,0.1526848077774047,0.1607186722755432,0.0144348917932701,0.1459765434265136,0.1938209533691406,0.1469080924987792,0.1854018926620483
herron_cpu,longformer,0.0,1.0,2.0,0.1507949829101562,0.1530102467536926,0.0074927425760973,0.1428737640380859,0.1804025173187255,0.1461158514022827,0.1720577239990234
herron_cpu,longformer,0.0,1.0,4.0,0.1566849946975708,0.1637275958061218,0.0144123055983154,0.144683837890625,0.1946501731872558,0.1481721520423889,0.1870660185813903
herron_cpu,longformer,0.0,1.0,8.0,0.1652604341506958,0.1639133214950561,0.0149329765698623,0.1400542259216308,0.1948962211608886,0.1413697481155395,0.1862611651420593
herron_cpu,longformer,0.0,1.0,16.0,0.1842460632324218,0.1830297803878784,0.0067466924876404,0.1672446727752685,0.2013392448425293,0.1710687637329101,0.1947620034217834
herron_cpu,longformer,0.0,1.0,32.0,0.1538366079330444,0.1598188185691833,0.0130423726881517,0.1475636959075927,0.1970434188842773,0.1487274527549743,0.1885223507881164
herron_cpu,longformer,0.0,1.0,64.0,0.1498572826385498,0.1518955993652343,0.0069869301330191,0.1436860561370849,0.1766426563262939,0.1464450120925903,0.17037830352783198
herron_cpu,longformer,0.0,1.0,128.0,0.1840401887893676,0.1738756275177002,0.0153941624987816,0.151716947555542,0.1972465515136718,0.1528725028038025,0.1903216600418091
herron_cpu,longformer,0.0,1.0,256.0,0.18645548820495605,0.1879412174224853,0.0036059110096985,0.1844244003295898,0.1987764835357666,0.1848876237869262,0.1968216300010681
herron_cpu,longformer,0.0,1.0,512.0,0.1924539804458618,0.1936544036865234,0.004341989712597001,0.1846349239349365,0.2074654102325439,0.1893347382545471,0.2030397534370422
herron_cpu,mobile_bert,0.0,1.0,1.0,0.0231496095657348,0.0214346456527709,0.0029682462459503,0.0170309543609619,0.0320823192596435,0.0172027111053466,0.0234652400016784
herron_cpu,mobile_bert,0.0,1.0,2.0,0.0221567153930664,0.0223368382453918,0.0007250402996997,0.0217282772064209,0.0267002582550048,0.0218057036399841,0.023180866241455003
herron_cpu,mobile_bert,0.0,1.0,4.0,0.0183658599853515,0.0184589529037475,0.0004771662022884,0.0180902481079101,0.0222537517547607,0.0181419849395751,0.0188380002975463
herron_cpu,mobile_bert,0.0,1.0,8.0,0.0193004608154296,0.0194156432151794,0.0005992290168341,0.0187404155731201,0.0232458114624023,0.0188445210456848,0.0201433658599853
herron_cpu,mobile_bert,0.0,1.0,16.0,0.0223464965820312,0.0223599243164062,0.0001585073557166,0.0220584869384765,0.0228297710418701,0.0221124649047851,0.0226616382598876
herron_cpu,mobile_bert,0.0,1.0,32.0,0.0243169069290161,0.0252427053451538,0.0023316276313052,0.0240194797515869,0.0354938507080078,0.0240843772888183,0.0316565036773681
herron_cpu,mobile_bert,0.0,1.0,64.0,0.0360738039016723,0.0344154953956604,0.0039037982466048,0.0292069911956787,0.0456099510192871,0.0293232917785644,0.0388427138328552
herron_cpu,mobile_bert,0.0,1.0,128.0,0.0358228683471679,0.0379807567596435,0.0043126560573346,0.0353384017944335,0.0579090118408203,0.0354487061500549,0.0445682168006896
herron_cpu,mobile_bert,0.0,1.0,256.0,0.0497437715530395,0.0520935153961181,0.0038122707614076,0.0490355491638183,0.0626547336578369,0.0492623686790466,0.0590799212455749
herron_cpu,mobile_bert,0.0,1.0,512.0,0.0740748643875122,0.074418351650238,0.0037887900810806,0.0640716552734375,0.0835151672363281,0.0668202638626098,0.0810611486434936
herron_cpu,reformer,0.0,1.0,1.0,0.0170849561691284,0.0173435759544372,0.0007857965952906,0.0168688297271728,0.0205042362213134,0.0169095396995544,0.0195778965950012
herron_cpu,reformer,0.0,1.0,2.0,0.0170470476150512,0.0172073578834533,0.0004449361415102,0.0167779922485351,0.0195372104644775,0.0168394804000854,0.0180378437042236
herron_cpu,reformer,0.0,1.0,4.0,0.0233880281448364,0.0241515755653381,0.0020275086316898,0.0210311412811279,0.0318431854248046,0.0212507367134094,0.0284555196762084
