device,model,accelerator,requires_grad,batch_size,img_size,max_memory,avg_memory,trainable_params,total_params,macs,mean
herron_gpu,vit32,1.0,0.0,1.0,224.0,2859204608.0,2859204608.0,0.0,88224232.0,4363143936.0,0.0045808925002347
herron_gpu,vit32,1.0,0.0,1.0,384.0,2861301760.0,2861301760.0,0.0,88297192.0,12656142336.0,0.0059548373508732
herron_gpu,vit32,1.0,0.0,1.0,448.0,2861301760.0,2861301760.0,0.0,88337128.0,17195467776.0,0.0057302190980408
herron_gpu,vit32,1.0,0.0,1.0,512.0,3261857792.0,3261857792.0,0.0,88383208.0,22433150976.0,0.0070697463524993
herron_gpu,efficientnet,1.0,0.0,1.0,224.0,2764832768.0,2764832768.0,0.0,54139356.0,5400158668.0,0.0236446107504889
herron_gpu,efficientnet,1.0,0.0,1.0,384.0,2764832768.0,2764832768.0,0.0,54139356.0,15850654188.0,0.0242798660008702
herron_gpu,efficientnet,1.0,0.0,1.0,448.0,2764832768.0,2764832768.0,0.0,54139356.0,21570925420.0,0.0243579001515172
herron_gpu,efficientnet,1.0,0.0,1.0,512.0,2764832768.0,2764832768.0,0.0,54139356.0,28171238380.0,0.0250513276492711
herron_gpu,efficientnet_lite,1.0,0.0,1.0,224.0,2517368832.0,2517368832.0,0.0,5416680.0,518722336.0,0.0068922979524359
herron_gpu,efficientnet_lite,1.0,0.0,1.0,384.0,2532048896.0,2532048896.0,0.0,5416680.0,1524406016.0,0.0058219787490088
herron_gpu,efficientnet_lite,1.0,0.0,1.0,448.0,2553020416.0,2553020416.0,0.0,5416680.0,2074885504.0,0.0056995532475411
herron_gpu,efficientnet_lite,1.0,0.0,1.0,512.0,2603352064.0,2603352064.0,0.0,5416680.0,2710054144.0,0.0056113874481525
herron_gpu,gernet,1.0,0.0,1.0,224.0,2905341952.0,2905341952.0,0.0,21142920.0,3002076544.0,0.0058740384993143
herron_gpu,gernet,1.0,0.0,1.0,384.0,2905341952.0,2905341952.0,0.0,21142920.0,8822424064.0,0.0052786867483519
herron_gpu,gernet,1.0,0.0,1.0,448.0,2905341952.0,2905341952.0,0.0,21142920.0,12008298496.0,0.0059215152985416
herron_gpu,gernet,1.0,0.0,1.0,512.0,2905341952.0,2905341952.0,0.0,21142920.0,15684307456.0,0.0064360649499576
herron_gpu,resnet18,1.0,0.0,1.0,224.0,2557214720.0,2557214720.0,0.0,11689512.0,1819066368.0,0.0021190071012824
herron_gpu,resnet18,1.0,0.0,1.0,384.0,2557214720.0,2557214720.0,0.0,11689512.0,5344834048.0,0.0026586112508084
herron_gpu,resnet18,1.0,0.0,1.0,448.0,2557214720.0,2557214720.0,0.0,11689512.0,7274727936.0,0.0031943013542331
herron_gpu,resnet18,1.0,0.0,1.0,512.0,2573991936.0,2573991936.0,0.0,11689512.0,9501528576.0,0.002353474398842
herron_gpu,alexnet,1.0,0.0,1.0,224.0,2714501120.0,2714501120.0,0.0,61100840.0,714691904.0,0.0009134058549534
herron_gpu,alexnet,1.0,0.0,1.0,384.0,2737569792.0,2737569792.0,0.0,61100840.0,2079450944.0,0.0010459819983225
herron_gpu,alexnet,1.0,0.0,1.0,448.0,3385589760.0,3385589760.0,0.0,61100840.0,2834895680.0,0.0027441678976174
herron_gpu,alexnet,1.0,0.0,1.0,512.0,5887492096.0,5887492096.0,0.0,61100840.0,3710034752.0,0.0107251439476385
herron_gpu,squeezenet,1.0,0.0,1.0,224.0,2477522944.0,2477522944.0,0.0,1248424.0,823440824.0,0.0026376026973593
herron_gpu,squeezenet,1.0,0.0,1.0,384.0,2498494464.0,2498494464.0,0.0,1248424.0,2503203384.0,0.0019477001507766
herron_gpu,squeezenet,1.0,0.0,1.0,448.0,2498494464.0,2498494464.0,0.0,1248424.0,3430075064.0,0.0021976288466248
herron_gpu,squeezenet,1.0,0.0,1.0,512.0,2523660288.0,2523660288.0,0.0,1248424.0,4502641976.0,0.0023982898972462
herron_gpu,vgg16,1.0,0.0,1.0,224.0,3075211264.0,3075211264.0,0.0,138357544.0,15483862016.0,0.0041283074999228
herron_gpu,vgg16,1.0,0.0,1.0,384.0,3150708736.0,3150708736.0,0.0,138357544.0,45263799296.0,0.0072396403003949
herron_gpu,vgg16,1.0,0.0,1.0,448.0,3255566336.0,3255566336.0,0.0,138357544.0,61564471808.0,0.0099185067461803
herron_gpu,vgg16,1.0,0.0,1.0,512.0,3389784064.0,3389784064.0,0.0,138357544.0,80372853248.0,0.0132320893462747
herron_gpu,densenet,1.0,0.0,1.0,224.0,2706112512.0,2706112512.0,0.0,28681000.0,7787012832.0,0.0188849845028016
herron_gpu,densenet,1.0,0.0,1.0,384.0,2708209664.0,2708209664.0,0.0,28681000.0,22880001792.0,0.0207629738550167
