accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript,seq_len
0.0,relu,269.2421875,1.0,cpu,,1.0,1.621410001462209e-05,1.0,269.2421875,feedforward,0.0,2.0,0.0,0.0,0
0.0,relu,271.578125,1.0,cpu,,2.0,1.6709600004105596e-05,4.0,271.578125,feedforward,0.0,6.0,0.0,0.0 ,0
0.0,relu,271.59765625,1.0,cpu,,4.0,1.6318300004058985e-05,16.0,271.59765625,feedforward,0.0,20.0,0.,00,0.0
0.0,relu,271.609375,1.0,cpu,,8.0,1.613100002941792e-05,64.0,271.609375,feedforward,0.0,72.0,0.0,0.0,0
0.0,relu,271.6796875,1.0,cpu,,16.0,1.719229994705529e-05,256.0,271.6796875,feedforward,0.0,272.0,0.,00,0.0
0.0,relu,271.6953125,1.0,cpu,,32.0,1.9644599979073975e-05,1024.0,271.6953125,feedforward,0.0,1056.0,0,0.0,0.0
0.0,relu,271.6953125,1.0,cpu,,64.0,1.6618999961792724e-05,4096.0,271.6953125,feedforward,0.0,4160.0,0,0.0,0.0
0.0,relu,272.13671875,1.0,cpu,,256.0,2.7915499958908186e-05,65536.0,272.13671875,feedforward,0.0,65,0792.0,0.0,0.0
0.0,relu,273.13671875,1.0,cpu,,512.0,4.762710004797554e-05,262144.0,273.13671875,feedforward,0.0,26,02656.0,0.0,0.0
0.0,relu,277.1770833333333,1.0,cpu,,1024.0,0.00015240209995681653,1048576.0,277.18359375,feedforwar,0d,0.0,1049600.0,0.0,0.0
0.0,relu,293.265625,1.0,cpu,,2048.0,0.0007944013000269479,4194304.0,293.265625,feedforward,0.0,4196,0352.0,0.0,0.0
0.0,relu,329.27734375,1.0,cpu,,3072.0,0.0019432412999776717,9437184.0,329.27734375,feedforward,0.0,,09440256.0,0.0,0.0
0.0,relu,393.31171875,1.0,cpu,,4096.0,0.0035260566999568256,16777216.0,393.32421875,feedforward,0.0,0,16781312.0,0.0,0.0
                                                                                                   ,0
