model,batch_size,hidden_dim,bidirectional,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params
rnn,1.0,1.0,0.0,cuda,1.0,0.0,0.0,0.0,relu,41570533376.0,41570533376.0,0.0002603348344564438,24.0,16.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41012690944.0,41012690944.0,0.00010708319023251533,48.0,16.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0002943722531199455,96.0,16.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0003323810175061226,192.0,16.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.00042568854987621305,384.0,16.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0008443425409495831,768.0,16.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0016728967428207397,1536.0,16.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.003384649846702814,3072.0,16.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0002666972577571869,64.0,48.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0002734506502747536,128.0,48.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0003106703981757164,256.0,48.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.000375767145305872,512.0,48.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0007496977224946022,1024.0,48.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0012516624294221402,2048.0,48.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0025080525316298007,4096.0,48.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0047962842509150505,8192.0,48.0,0.0
rnn,1.0,4.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0002642865292727947,192.0,160.0,0.0
rnn,1.0,4.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0002719608135521412,384.0,160.0,0.0
rnn,1.0,4.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0003112313337624073,768.0,160.0,0.0
rnn,1.0,4.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.00037388624623417853,1536.0,160.0,0.0
rnn,1.0,4.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0003612448461353779,3072.0,160.0,0.0
rnn,1.0,4.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0005842557176947594,6144.0,160.0,0.0
rnn,1.0,4.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0007115283980965615,12288.0,160.0,0.0
rnn,1.0,4.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.004180432949215174,24576.0,160.0,0.0
rnn,1.0,8.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.00011047031730413437,640.0,576.0,0.0
rnn,1.0,8.0,False,cuda,True,False,False,0.0,relu,41459384320.0,41459384320.0,0.00011798562481999398,1280.0,576.0,0.0
rnn,1.0,8.0,False,cuda,True,False,False,0.0,relu,41471967232.0,41471967232.0,0.00015079546719789504,2560.0,576.0,0.0
rnn,1.0,8.0,False,cuda,True,False,False,0.0,relu,41482452992.0,41482452992.0,0.00018867030739784242,5120.0,576.0,0.0
rnn,1.0,8.0,False,cuda,True,False,False,0.0,relu,41492938752.0,41492938752.0,0.0002658819779753685,10240.0,576.0,0.0
rnn,1.0,8.0,False,cuda,True,False,False,0.0,relu,41505521664.0,41505521664.0,0.00047025224193930626,20480.0,576.0,0.0
rnn,1.0,8.0,False,cuda,True,False,False,0.0,relu,41522298880.0,41522298880.0,0.0006791843101382255,40960.0,576.0,0.0
rnn,1.0,8.0,False,cuda,True,False,False,0.0,relu,41534881792.0,41534881792.0,0.00127674862742424,81920.0,576.0,0.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,41549561856.0,41549561856.0,0.00011682985350489617,2304.0,2176.0,0.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,41560047616.0,41560047616.0,0.00011523989960551261,4608.0,2176.0,0.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00015868451446294786,9216.0,2176.0,0.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00018399599939584733,18432.0,2176.0,0.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0002610746771097183,36864.0,2176.0,0.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0004072494804859161,73728.0,2176.0,0.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0006845621392130852,147456.0,2176.0,0.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0012843730859458447,294912.0,2176.0,0.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00011604474857449532,8704.0,8448.0,0.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0001231352798640728,17408.0,8448.0,0.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00013780733570456505,34816.0,8448.0,0.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0001579446718096733,69632.0,8448.0,0.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00020730402320623398,139264.0,8448.0,0.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00031060324981808663,278528.0,8448.0,0.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0011113317683339118,557056.0,8448.0,0.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.003375412151217461,1114112.0,8448.0,0.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.000256428774446249,33792.0,33280.0,0.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00026477854698896407,67584.0,33280.0,0.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00031199892982840537,135168.0,33280.0,0.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.00039408095180988313,270336.0,33280.0,0.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0007415831089019776,540672.0,33280.0,0.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0012520034797489643,1081344.0,33280.0,0.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.0025235812179744245,2162688.0,33280.0,0.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,41570533376.0,41570533376.0,0.004779136925935745,4325376.0,33280.0,0.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,41593602048.0,41593602048.0,0.0002684997394680977,528384.0,526336.0,0.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,41593602048.0,41593602048.0,0.000290218647569418,1056768.0,526336.0,0.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,41593602048.0,41593602048.0,0.0003351191058754921,2113536.0,526336.0,0.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,39920074752.0,39920074752.0,0.00036014942452311516,4227072.0,526336.0,0.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,33662173184.0,33662173184.0,0.001158129796385765,8454144.0,526336.0,0.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,33662173184.0,33662173184.0,0.0016415410675108433,16908288.0,526336.0,0.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,33662173184.0,33662173184.0,0.0033210542052984236,33816576.0,526336.0,0.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,33662173184.0,33662173184.0,0.0036764081567525865,67633152.0,526336.0,0.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,33702019072.0,33702019072.0,0.00027058646082878113,2105344.0,2101248.0,0.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,33702019072.0,33702019072.0,0.0002895712852478027,4210688.0,2101248.0,0.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,33722990592.0,33722990592.0,0.0005803678184747695,8421376.0,2101248.0,0.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,33722990592.0,33722990592.0,0.000397075992077589,16842752.0,2101248.0,0.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,33722990592.0,33722990592.0,0.0007328247651457786,33685504.0,2101248.0,0.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,33681047552.0,33681047552.0,0.001166980341076851,67371008.0,2101248.0,0.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,33681047552.0,33681047552.0,0.0017102082259953023,134742016.0,2101248.0,0.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,33702019072.0,33702019072.0,0.0029904556460678576,269484032.0,2101248.0,0.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,33806876672.0,33806876672.0,0.0001361764036118984,8404992.0,8396800.0,0.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,33842528256.0,33842528256.0,0.00017512990161776542,16809984.0,8396800.0,0.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,33947385856.0,33947385856.0,0.00037281494587659836,33619968.0,8396800.0,0.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,34035466240.0,34035466240.0,0.0005738941021263599,67239936.0,8396800.0,0.0
