model,batch_size,hidden_dim,bidirectional,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params
rnn,1.0,1.0,0.0,cuda,1.0,0.0,0.0,0.0,relu,42170318848.0,42170318848.0,0.0002511870115995407,5.0,4.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,42170318848.0,42170318848.0,0.0002581464126706123,10.0,4.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,42170318848.0,42170318848.0,0.0002832151018083096,20.0,4.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,42170318848.0,42170318848.0,0.00037053115665912627,40.0,4.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41612476416.0,41612476416.0,0.00019921837374567986,80.0,4.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,40385642496.0,40385642496.0,0.00029303552582859993,160.0,4.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,40333213696.0,40333213696.0,0.0028764628805220127,320.0,4.0,0.0
rnn,1.0,1.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.004391817469149828,640.0,4.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0002563410438597202,14.0,12.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0002920067869126797,28.0,12.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.000311272032558918,56.0,12.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0004364222288131714,112.0,12.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.0008697509765625,224.0,12.0,0.0
rnn,1.0,2.0,False,cuda,True,False,False,0.0,relu,41448898560.0,41448898560.0,0.001628522388637066,448.0,12.0,0.0
