accelerator,act_fn,avg_memory,batch_size,bidirectional,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript,seq_len
0.0,relu,271.11328125,1.0,0.0,cpu,0.0,1.0,8.745120003368356e-05,5.0,271.11328125,rnn,0.0,4.0,0.0,0.0,1.0
0.0,relu,272.78515625,1.0,0.0,cpu,0.0,1.0,9.937770000760793e-05,10.0,272.78515625,rnn,0.0,4.0,0.0,0.0,2.0
0.0,relu,272.79296875,1.0,0.0,cpu,0.0,1.0,0.00013728079993597931,20.0,272.79296875,rnn,0.0,4.0,0.0,0.0,4.0
0.0,relu,272.80078125,1.0,0.0,cpu,0.0,1.0,0.00019597979999161908,40.0,272.80078125,rnn,0.0,4.0,0.0,0.0,8.0
0.0,relu,272.8046875,1.0,0.0,cpu,0.0,1.0,0.00025349769994136294,80.0,272.8046875,rnn,0.0,4.0,0.0,0.0,16.0
0.0,relu,272.8046875,1.0,0.0,cpu,0.0,1.0,0.0005335802000445255,160.0,272.8046875,rnn,0.0,4.0,0.0,0.0,32.0
0.0,relu,272.8046875,1.0,0.0,cpu,0.0,1.0,0.0007525607999923523,320.0,272.8046875,rnn,0.0,4.0,0.0,0.0,64.0
0.0,relu,272.8984375,1.0,0.0,cpu,0.0,1.0,0.0011070782000388135,640.0,272.8984375,rnn,0.0,4.0,0.0,0.0,128.0
0.0,relu,272.9453125,1.0,0.0,cpu,0.0,2.0,8.592529993620702e-05,14.0,272.9453125,rnn,0.0,12.0,0.0,0.0,1.0
0.0,relu,273.2890625,1.0,0.0,cpu,0.0,2.0,0.00010349549993406981,28.0,273.2890625,rnn,0.0,12.0,0.0,0.0,2.0
0.0,relu,273.2890625,1.0,0.0,cpu,0.0,2.0,0.00012589799998750096,56.0,273.2890625,rnn,0.0,12.0,0.0,0.0,4.0
0.0,relu,273.29296875,1.0,0.0,cpu,0.0,2.0,0.00017527039999549744,112.0,273.29296875,rnn,0.0,12.0,0.0,0.0,8.0
0.0,relu,273.42578125,1.0,0.0,cpu,0.0,2.0,0.0003010974999597238,224.0,273.42578125,rnn,0.0,12.0,0.0,0.0,16.0
0.0,relu,273.4453125,1.0,0.0,cpu,0.0,2.0,0.00041090289996645877,448.0,273.4453125,rnn,0.0,12.0,0.0,0.0,32.0
0.0,relu,273.4453125,1.0,0.0,cpu,0.0,2.0,0.0007950093999170349,896.0,273.4453125,rnn,0.0,12.0,0.0,0.0,64.0
0.0,relu,273.4765625,1.0,0.0,cpu,0.0,2.0,0.0012940051999976276,1792.0,273.4765625,rnn,0.0,12.0,0.0,0.0,128.0
0.0,relu,273.48046875,1.0,0.0,cpu,0.0,4.0,8.676749994265264e-05,44.0,273.48046875,rnn,0.0,40.0,0.0,0.0,1.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,4.0,0.00010262389996569254,88.0,273.4921875,rnn,0.0,40.0,0.0,0.0,2.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,4.0,0.00016992800001389697,176.0,273.4921875,rnn,0.0,40.0,0.0,0.0,4.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,4.0,0.00018423940000502625,352.0,273.4921875,rnn,0.0,40.0,0.0,0.0,8.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,4.0,0.0002446241000143345,704.0,273.4921875,rnn,0.0,40.0,0.0,0.0,16.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,4.0,0.0005431734000012512,1408.0,273.4921875,rnn,0.0,40.0,0.0,0.0,32.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,4.0,0.000713415999962308,2816.0,273.4921875,rnn,0.0,40.0,0.0,0.0,64.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,4.0,0.001324422899961064,5632.0,273.4921875,rnn,0.0,40.0,0.0,0.0,128.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,8.0,8.55121999848052e-05,152.0,273.4921875,rnn,0.0,144.0,0.0,0.0,1.0
0.0,relu,273.4921875,1.0,0.0,cpu,0.0,8.0,0.00010529099999985192,304.0,273.4921875,rnn,0.0,144.0,0.0,0.0,2.0
