model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,latency,avg_memory,max_memory,macs,total_params,trainable_params
feedforward,1.0,512.0,128.0,cpu,0.0,0.0,0.0,0.0,,relu,0.0006725845509208739,3599.703125,3599.765625,33554432.0,262656.0,0.0
feedforward,1.0,768.0,128.0,cpu,0.0,0.0,0.0,0.0,,relu,0.001462894695578143,3606.42578125,3606.42578125,75497472.0,590592.0,0.0
feedforward,1.0,1024.0,128.0,cpu,0.0,0.0,0.0,0.0,,relu,0.0027698738966137173,3616.3828125,3616.640625,134217728.0,1049600.0,0.0
feedforward,1.0,2048.0,128.0,cpu,0.0,0.0,0.0,0.0,,relu,0.00895657135406509,3645.7916666666665,3646.19921875,536870912.0,4196352.0,0.0
feedforward,1.0,4096.0,128.0,cpu,0.0,0.0,0.0,0.0,,relu,0.035726969997631385,3724.2421875,3724.2421875,2147483648.0,16781312.0,0.0
feedforward,1.0,512.0,256.0,cpu,0.0,0.0,0.0,0.0,,relu,0.0014281589537858963,3724.359375,3724.359375,67108864.0,262656.0,0.0
feedforward,1.0,768.0,256.0,cpu,0.0,0.0,0.0,0.0,,relu,0.002145930950064212,3724.94140625,3724.94140625,150994944.0,590592.0,0.0
feedforward,1.0,1024.0,256.0,cpu,0.0,0.0,0.0,0.0,,relu,0.0058074175496585665,3727.11328125,3727.11328125,268435456.0,1049600.0,0.0
feedforward,1.0,2048.0,256.0,cpu,0.0,0.0,0.0,0.0,,relu,0.015524770552292465,3749.185546875,3749.23046875,1073741824.0,4196352.0,0.0
feedforward,1.0,4096.0,256.0,cpu,0.0,0.0,0.0,0.0,,relu,0.05613785744644702,3864.078125,3864.078125,4294967296.0,16781312.0,0.0
feedforward,1.0,512.0,512.0,cpu,0.0,0.0,0.0,0.0,,relu,0.0022660244489088655,3864.08203125,3864.08203125,134217728.0,262656.0,0.0
feedforward,1.0,768.0,512.0,cpu,0.0,0.0,0.0,0.0,,relu,0.005988739099120721,3865.296875,3865.296875,301989888.0,590592.0,0.0
feedforward,1.0,1024.0,512.0,cpu,0.0,0.0,0.0,0.0,,relu,0.008618518203729764,3866.91796875,3866.91796875,536870912.0,1049600.0,0.0
feedforward,1.0,2048.0,512.0,cpu,0.0,0.0,0.0,0.0,,relu,0.026172144553856923,3875.680245535714,3876.66015625,2147483648.0,4196352.0,0.0
feedforward,1.0,4096.0,512.0,cpu,0.0,0.0,0.0,0.0,,relu,0.09909477105247788,4035.6848958333335,4039.53125,8589934592.0,16781312.0,0.0
feedforward,1.0,512.0,1024.0,cpu,0.0,0.0,0.0,0.0,,relu,0.004388595401542262,4039.58984375,4039.58984375,268435456.0,262656.0,0.0
feedforward,1.0,768.0,1024.0,cpu,0.0,0.0,0.0,0.0,,relu,0.008848644403042272,4039.59375,4039.59375,603979776.0,590592.0,0.0
feedforward,1.0,1024.0,1024.0,cpu,0.0,0.0,0.0,0.0,,relu,0.013946721347747371,4039.59375,4039.59375,1073741824.0,1049600.0,0.0
feedforward,1.0,2048.0,1024.0,cpu,0.0,0.0,0.0,0.0,,relu,0.04645167054841295,4055.450390625,4057.16796875,4294967296.0,4196352.0,0.0
feedforward,1.0,4096.0,1024.0,cpu,0.0,0.0,0.0,0.0,,relu,0.1855902295501437,4192.21484375,4197.39453125,17179869184.0,16781312.0,0.0
