model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,latency,avg_memory,max_memory,macs,total_params,trainable_params
feedforward,1.0,512.0,128.0,cuda,1.0,0.0,0.0,0.0,,relu,9.027469786815344e-05,1272709120.0,1272709120.0,33554432.0,262656.0,0.0
feedforward,1.0,768.0,128.0,cuda,1.0,0.0,0.0,0.0,,relu,4.165095160715282e-05,1293680640.0,1293680640.0,75497472.0,590592.0,0.0
feedforward,1.0,1024.0,128.0,cuda,1.0,0.0,0.0,0.0,,relu,4.979459918104112e-05,1293680640.0,1293680640.0,134217728.0,1049600.0,0.0
feedforward,1.0,2048.0,128.0,cuda,1.0,0.0,0.0,0.0,,relu,0.0001420150510966,1312555008.0,1312555008.0,536870912.0,4196352.0,0.0
feedforward,1.0,4096.0,128.0,cuda,1.0,0.0,0.0,0.0,,relu,0.0004461108997929,1377566720.0,1377566720.0,2147483648.0,16781312.0,0.0
rnn,1.0,512.0,128.0,cuda,True,False,False,False,0.0,relu,0.0040596657025162,1297874944.0,1297874944.0,67305472.0,525312.0,0.0
rnn,1.0,768.0,128.0,cuda,True,False,False,False,0.0,relu,0.0028663346020039,1295777792.0,1295777792.0,151289856.0,1181184.0,0.0
rnn,1.0,1024.0,128.0,cuda,True,False,False,False,0.0,relu,0.0028412383515387,1316749312.0,1316749312.0,268828672.0,2099200.0,0.0
rnn,1.0,2048.0,128.0,cuda,True,False,False,False,0.0,relu,0.0058449036499951,1423704064.0,1423704064.0,1074528256.0,8392704.0,0.0
rnn,1.0,4096.0,128.0,cuda,True,False,False,False,0.0,relu,0.0175432423013262,1761345536.0,1761345536.0,4296540160.0,33562624.0,0.0
lstm,1.0,512.0,128.0,cuda,True,False,False,False,0.0,relu,0.0040684934996534135,1316749312.0,1316749312.0,269484032.0,2101248.0,0.0
lstm,1.0,768.0,128.0,cuda,True,False,False,False,0.0,relu,0.0037018058996181936,1316749312.0,1316749312.0,605552640.0,4724736.0,0.0
lstm,1.0,1024.0,128.0,cuda,True,False,False,False,0.0,relu,0.005951634346274659,1400635392.0,1400635392.0,1075838976.0,8396800.0,0.0
lstm,1.0,2048.0,128.0,cuda,True,False,False,False,0.0,relu,0.017594059696421027,1742471168.0,1742471168.0,4299161600.0,33570816.0,0.0
lstm,1.0,4096.0,128.0,cuda,True,False,False,False,0.0,relu,0.06314603030332364,3107717120.0,3107717120.0,17188257792.0,134250496.0,0.0
