accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,seq_len,total_params,trainable_params,use_dquant,use_torchscript
0.0,relu,273.552734375,1.0,cpu,,512.0,0.0009839461999945345,33554432.0,273.5859375,feedforward,0.0,128.0,262656.0,0.0,0.0,0.0
0.0,relu,278.1796875,1.0,cpu,,768.0,0.0025338297000416787,75497472.0,278.1796875,feedforward,0.0,128.0,590592.0,0.0,0.0,0.0
0.0,relu,285.20234375,1.0,cpu,,1024.0,0.004778526000154671,134217728.0,285.43359375,feedforward,0.0,128.0,1049600.0,0.0,0.0,0.0
0.0,relu,309.849609375,1.0,cpu,,2048.0,0.018662545549887003,536870912.0,310.1484375,feedforward,0.0,128.0,4196352.0,0.0,0.0,0.0
0.0,relu,388.50455729166674,1.0,cpu,,4096.0,0.06959827860009682,2147483648.0,391.21875,feedforward,0.0,128.0,16781312.0,0.0,0.0,0.0
0.0,relu,396.07421875,1.0,cpu,,512.0,0.002393744700020761,67108864.0,396.07421875,feedforward,0.0,256.0,262656.0,0.0,0.0,0.0
0.0,relu,396.31640625,1.0,cpu,,768.0,0.005114941750071012,150994944.0,396.31640625,feedforward,0.0,256.0,590592.0,0.0,0.0,0.0
0.0,relu,396.41796875,1.0,cpu,,1024.0,0.008532471350190463,268435456.0,396.41796875,feedforward,0.0,256.0,1049600.0,0.0,0.0,0.0
0.0,relu,424.296875,1.0,cpu,,2048.0,0.0338967486997717,1073741824.0,424.734375,feedforward,0.0,256.0,4196352.0,0.0,0.0,0.0
0.0,relu,380.7530381944445,1.0,cpu,,4096.0,0.1252047420002782,4294967296.0,380.75390625,feedforward,0.0,256.0,16781312.0,0.0,0.0,0.0
0.0,relu,397.21484375,1.0,cpu,,512.0,0.0038614185501501205,134217728.0,397.21484375,feedforward,0.0,512.0,262656.0,0.0,0.0,0.0
0.0,relu,397.68359375,1.0,cpu,,768.0,0.008493886799988104,301989888.0,397.68359375,feedforward,0.0,512.0,590592.0,0.0,0.0,0.0
0.0,relu,398.515625,1.0,cpu,,1024.0,0.015153245000328754,536870912.0,398.515625,feedforward,0.0,512.0,1049600.0,0.0,0.0,0.0
0.0,relu,429.6796875,1.0,cpu,,2048.0,0.06094921295007225,2147483648.0,431.07421875,feedforward,0.0,512.0,4196352.0,0.0,0.0,0.0
0.0,relu,506.125,1.0,cpu,,4096.0,0.23584246789978355,8589934592.0,506.125,feedforward,0.0,512.0,16781312.0,0.0,0.0,0.0
0.0,relu,506.125,1.0,cpu,,512.0,0.00723705015006999,268435456.0,506.125,feedforward,0.0,1024.0,262656.0,0.0,0.0,0.0
0.0,relu,506.12890625,1.0,cpu,,768.0,0.019159192149891167,603979776.0,506.12890625,feedforward,0.0,1024.0,590592.0,0.0,0.0,0.0
0.0,relu,509.1697716346154,1.0,cpu,,1024.0,0.030416927499754817,1073741824.0,509.83984375,feedforward,0.0,1024.0,1049600.0,0.0,0.0,0.0
0.0,relu,540.1215277777778,1.0,cpu,,2048.0,0.12856516190004186,4294967296.0,541.890625,feedforward,0.0,1024.0,4196352.0,0.0,0.0,0.0
0.0,relu,643.3986672794118,1.0,cpu,,4096.0,0.40230137784965336,17179869184.0,645.62109375,feedforward,0.0,1024.0,16781312.0,0.0,0.0,0.0
0.0,relu,372.2063802083333,1.0,cpu,,4096.0,0.5176446133000354,17179869184.0,373.4453125,feedforward,0.0,1024.0,16781312.0,0.0,0.0,0.0
