model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
rnn,1.0,1.0,cpu,False,False,False,0.0,relu,1114.17578125,1114.17578125,5.597728304564953e-05,5.0,4.0,0.0,0.0,1.0
rnn,1.0,1.0,cpu,False,False,False,0.0,relu,3616.75,3616.75,6.590788252651692e-05,10.0,4.0,0.0,False,2.0
rnn,1.0,1.0,cpu,False,False,False,0.0,relu,3616.8125,3616.8125,9.175739251077176e-05,20.0,4.0,0.0,False,4.0
rnn,1.0,1.0,cpu,False,False,False,0.0,relu,3616.8203125,3616.8203125,0.0002476912923157,40.0,4.0,0.0,False,8.0
rnn,1.0,1.0,cpu,False,False,False,0.0,relu,3616.8828125,3616.8828125,0.0003810264635831,80.0,4.0,0.0,False,16.0
rnn,1.0,1.0,cpu,False,False,False,0.0,relu,3616.88671875,3616.88671875,0.0004449157044291,160.0,4.0,0.0,False,32.0
rnn,1.0,1.0,cpu,False,False,False,0.0,relu,3616.88671875,3616.88671875,0.0008532574865967,320.0,4.0,0.0,False,64.0
rnn,1.0,1.0,cpu,False,False,False,0.0,relu,3616.890625,3616.890625,0.0008506332058459,640.0,4.0,0.0,False,128.0
rnn,1.0,2.0,cpu,False,False,False,0.0,relu,3616.890625,3616.890625,0.00012122024782,14.0,12.0,0.0,False,1.0
rnn,1.0,2.0,cpu,False,False,False,0.0,relu,3617.21484375,3617.21484375,9.12447925657034e-05,28.0,12.0,0.0,False,2.0
rnn,1.0,2.0,cpu,False,False,False,0.0,relu,3617.21484375,3617.21484375,0.0002419855445623,56.0,12.0,0.0,False,4.0
rnn,1.0,2.0,cpu,False,False,False,0.0,relu,3617.21875,3617.21875,0.000179765978828,112.0,12.0,0.0,False,8.0
rnn,1.0,2.0,cpu,False,False,False,0.0,relu,3617.39453125,3617.39453125,0.0002052764873951,224.0,12.0,0.0,False,16.0
