model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
rnn,1.0,1.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0002496587578207,5.0,4.0,0.0,0.0,1.0
rnn,1.0,1.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0001451816409826,10.0,4.0,0.0,False,2.0
rnn,1.0,1.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0001760337501764,20.0,4.0,0.0,False,4.0
rnn,1.0,1.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0003437331411987,40.0,4.0,0.0,False,8.0
rnn,1.0,1.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0005604924634099,80.0,4.0,0.0,False,16.0
rnn,1.0,1.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0008586579002439,160.0,4.0,0.0,False,32.0
rnn,1.0,1.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0006968700326979,320.0,4.0,0.0,False,64.0
rnn,1.0,1.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0009276545140892,640.0,4.0,0.0,False,128.0
rnn,1.0,2.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,9.386739693582058e-05,14.0,12.0,0.0,False,1.0
rnn,1.0,2.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,9.961472824215888e-05,28.0,12.0,0.0,False,2.0
rnn,1.0,2.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0001243508886545,56.0,12.0,0.0,False,4.0
rnn,1.0,2.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.000159555952996,112.0,12.0,0.0,False,8.0
rnn,1.0,2.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0002451358363032,224.0,12.0,0.0,False,16.0
rnn,1.0,2.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0004320499952882,448.0,12.0,0.0,False,32.0
rnn,1.0,2.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0025503059849143,896.0,12.0,0.0,False,64.0
rnn,1.0,2.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0050071796867996,1792.0,12.0,0.0,False,128.0
rnn,1.0,4.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.000141716748476,44.0,40.0,0.0,False,1.0
rnn,1.0,4.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0001538842450827,88.0,40.0,0.0,False,2.0
rnn,1.0,4.0,cuda,True,False,False,0.0,relu,38586286080.0,38586286080.0,0.0002015309408307,176.0,40.0,0.0,False,4.0
