accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,seq_len,total_params,trainable_params,use_torchscript
0.0,relu,217.33203125,1.0,cpu,,1.0,0.00010233195207547397,1.0,217.33203125,feedforward,0.0,1.0,2.0,0.0,0.0
0.0,relu,2016.65625,1.0,cpu,,2.0,0.00017193174862768502,4.0,2016.65625,feedforward,0.0,1.0,6.0,0.0,0.0
0.0,relu,2016.72265625,1.0,cpu,,4.0,0.00015730659943073987,16.0,2016.72265625,feedforward,0.0,1.0,20.0,0.0,0.0
0.0,relu,2016.7265625,1.0,cpu,,8.0,0.00016716609825380148,64.0,2016.7265625,feedforward,0.0,1.0,72.0,0.0,0.0
0.0,relu,2016.85546875,1.0,cpu,,16.0,0.0001693145517492667,256.0,2016.85546875,feedforward,0.0,1.0,272.0,0.0,0.0
0.0,relu,2016.859375,1.0,cpu,,32.0,0.00017542140267323703,1024.0,2016.859375,feedforward,0.0,1.0,1056.0,0.0,0.0
0.0,relu,2016.86328125,1.0,cpu,,64.0,0.00018184594810009003,4096.0,2016.86328125,feedforward,0.0,1.0,4160.0,0.0,0.0
0.0,relu,2016.8671875,1.0,cpu,,256.0,0.000441291750757955,65536.0,2016.8671875,feedforward,0.0,1.0,65792.0,0.0,0.0
0.0,relu,2016.87109375,1.0,cpu,,512.0,0.001084106700727716,262144.0,2016.87109375,feedforward,0.0,1.0,262656.0,0.0,0.0
0.0,relu,2016.9375,1.0,cpu,,1024.0,0.003242090900312177,1048576.0,2016.9375,feedforward,0.0,1.0,1049600.0,0.0,0.0
0.0,relu,2032.94140625,1.0,cpu,,2048.0,0.011335745151154698,4194304.0,2032.94140625,feedforward,0.0,1.0,4196352.0,0.0,0.0
0.0,relu,2068.94921875,1.0,cpu,,3072.0,0.023507888399763033,9437184.0,2068.94921875,feedforward,0.0,1.0,9440256.0,0.0,0.0
0.0,relu,2132.953125,1.0,cpu,,4096.0,0.07933699204877484,16777216.0,2132.953125,feedforward,0.0,1.0,16781312.0,0.0,0.0
0.0,relu,2132.953125,1.0,cpu,,1.0,0.0001651764498092234,2.0,2132.953125,feedforward,0.0,2.0,2.0,0.0,0.0
0.0,relu,2132.95703125,1.0,cpu,,2.0,0.00016277534887194637,8.0,2132.95703125,feedforward,0.0,2.0,6.0,0.0,0.0
0.0,relu,2132.95703125,1.0,cpu,,4.0,0.00016970254946500063,32.0,2132.95703125,feedforward,0.0,2.0,20.0,0.0,0.0
0.0,relu,2132.95703125,1.0,cpu,,8.0,0.00016872859850991517,128.0,2132.95703125,feedforward,0.0,2.0,72.0,0.0,0.0
0.0,relu,2132.95703125,1.0,cpu,,16.0,0.00016183005063794554,512.0,2132.95703125,feedforward,0.0,2.0,272.0,0.0,0.0
0.0,relu,2132.95703125,1.0,cpu,,32.0,0.00016340820002369585,2048.0,2132.95703125,feedforward,0.0,2.0,1056.0,0.0,0.0
0.0,relu,2132.95703125,1.0,cpu,,64.0,0.00019012730044778436,8192.0,2132.95703125,feedforward,0.0,2.0,4160.0,0.0,0.0
