accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,seq_len,total_params,trainable_params,use_torchscript
1.0,relu,2099.734765625,1.0,cuda,,1.0,0.00029370659904088826,1.0,2243.125,feedforward,0.0,1.0,2.0,0.0,0.0
1.0,relu,2245.23828125,1.0,cuda,,2.0,0.000527162550133653,4.0,2245.23828125,feedforward,0.0,1.0,6.0,0.0,0.0
1.0,relu,2245.30078125,1.0,cuda,,4.0,0.0003876739006955177,16.0,2245.30078125,feedforward,0.0,1.0,20.0,0.0,0.0
1.0,relu,2245.3046875,1.0,cuda,,8.0,0.00037982740032020955,64.0,2245.3046875,feedforward,0.0,1.0,72.0,0.0,0.0
1.0,relu,2245.30859375,1.0,cuda,,16.0,0.0005116753978654742,256.0,2245.30859375,feedforward,0.0,1.0,272.0,0.0,0.0
1.0,relu,2245.3125,1.0,cuda,,32.0,0.0005226754990871995,1024.0,2245.3125,feedforward,0.0,1.0,1056.0,0.0,0.0
1.0,relu,2245.31640625,1.0,cuda,,64.0,0.0005047794489655644,4096.0,2245.31640625,feedforward,0.0,1.0,4160.0,0.0,0.0
1.0,relu,2245.3203125,1.0,cuda,,256.0,0.0005189879477256909,65536.0,2245.3203125,feedforward,0.0,1.0,65792.0,0.0,0.0
1.0,relu,2247.1953125,1.0,cuda,,512.0,0.0005476367514347658,262144.0,2247.1953125,feedforward,0.0,1.0,262656.0,0.0,0.0
1.0,relu,2250.32421875,1.0,cuda,,1024.0,0.0016906424978515133,1048576.0,2250.32421875,feedforward,0.0,1.0,1049600.0,0.0,0.0
1.0,relu,2262.328125,1.0,cuda,,2048.0,0.0027764497004682197,4194304.0,2262.328125,feedforward,0.0,1.0,4196352.0,0.0,0.0
1.0,relu,2262.20703125,1.0,cuda,,3072.0,0.003276546800043434,9437184.0,2262.20703125,feedforward,0.0,1.0,9440256.0,0.0,0.0
1.0,relu,2260.20703125,1.0,cuda,,4096.0,0.005361769499722868,16777216.0,2260.20703125,feedforward,0.0,1.0,16781312.0,0.0,0.0
1.0,relu,2260.20703125,1.0,cuda,,1.0,0.0006210412509972229,2.0,2260.20703125,feedforward,0.0,2.0,2.0,0.0,0.0
1.0,relu,2260.2734375,1.0,cuda,,2.0,0.0003898613998899236,8.0,2260.2734375,feedforward,0.0,2.0,6.0,0.0,0.0
1.0,relu,2260.2734375,1.0,cuda,,4.0,0.00038491605082526805,32.0,2260.2734375,feedforward,0.0,2.0,20.0,0.0,0.0
1.0,relu,2260.2734375,1.0,cuda,,8.0,0.00039171559910755605,128.0,2260.2734375,feedforward,0.0,2.0,72.0,0.0,0.0
1.0,relu,2260.2734375,1.0,cuda,,16.0,0.00038850980054121463,512.0,2260.2734375,feedforward,0.0,2.0,272.0,0.0,0.0
1.0,relu,2260.2734375,1.0,cuda,,32.0,0.00039781199884600935,2048.0,2260.2734375,feedforward,0.0,2.0,1056.0,0.0,0.0
1.0,relu,2260.2734375,1.0,cuda,,64.0,0.00039109060016926376,8192.0,2260.2734375,feedforward,0.0,2.0,4160.0,0.0,0.0
1.0,relu,2260.28125,1.0,cuda,,256.0,0.00038920255028642716,131072.0,2260.28125,feedforward,0.0,2.0,65792.0,0.0,0.0
1.0,relu,2260.28125,1.0,cuda,,512.0,0.000536475150147453,524288.0,2260.28125,feedforward,0.0,2.0,262656.0,0.0,0.0
1.0,relu,2260.28125,1.0,cuda,,1024.0,0.0010141110513359308,2097152.0,2260.28125,feedforward,0.0,2.0,1049600.0,0.0,0.0
1.0,relu,2260.28515625,1.0,cuda,,2048.0,0.002876989950891584,8388608.0,2260.28515625,feedforward,0.0,2.0,4196352.0,0.0,0.0
1.0,relu,2260.2890625,1.0,cuda,,3072.0,0.00398920894949697,18874368.0,2260.2890625,feedforward,0.0,2.0,9440256.0,0.0,0.0
1.0,relu,2258.29296875,1.0,cuda,,4096.0,0.005688098949030973,33554432.0,2258.29296875,feedforward,0.0,2.0,16781312.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,1.0,0.0005021830496843904,4.0,2258.296875,feedforward,0.0,4.0,2.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,2.0,0.0005012428999179974,16.0,2258.296875,feedforward,0.0,4.0,6.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,4.0,0.0003839551005512476,64.0,2258.296875,feedforward,0.0,4.0,20.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,8.0,0.00038165820005815477,256.0,2258.296875,feedforward,0.0,4.0,72.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,16.0,0.0003848847991321236,1024.0,2258.296875,feedforward,0.0,4.0,272.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,32.0,0.0003805253974860534,4096.0,2258.296875,feedforward,0.0,4.0,1056.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,64.0,0.00038134049973450603,16384.0,2258.296875,feedforward,0.0,4.0,4160.0,0.0,0.0
1.0,relu,2258.2981770833335,1.0,cuda,,256.0,0.0004224477510433644,262144.0,2258.30078125,feedforward,0.0,4.0,65792.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,512.0,0.0005528738023713231,1048576.0,2258.296875,feedforward,0.0,4.0,262656.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,1024.0,0.0016227953514317051,4194304.0,2258.296875,feedforward,0.0,4.0,1049600.0,0.0,0.0
1.0,relu,2258.296875,1.0,cuda,,2048.0,0.0028480807988671584,16777216.0,2258.296875,feedforward,0.0,4.0,4196352.0,0.0,0.0
1.0,relu,2258.30078125,1.0,cuda,,3072.0,0.0034857029473641886,37748736.0,2258.30078125,feedforward,0.0,4.0,9440256.0,0.0,0.0
1.0,relu,2254.30859375,1.0,cuda,,4096.0,0.005771303051733412,67108864.0,2254.30859375,feedforward,0.0,4.0,16781312.0,0.0,0.0
1.0,relu,2254.30859375,1.0,cuda,,1.0,0.00038503840041812507,8.0,2254.30859375,feedforward,0.0,8.0,2.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,2.0,0.0005017898482037708,32.0,2254.37109375,feedforward,0.0,8.0,6.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,4.0,0.000514542599557899,128.0,2254.37109375,feedforward,0.0,8.0,20.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,8.0,0.0003938979498343542,512.0,2254.37109375,feedforward,0.0,8.0,72.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,16.0,0.0005180061998544261,2048.0,2254.37109375,feedforward,0.0,8.0,272.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,32.0,0.0003929890488507226,8192.0,2254.37109375,feedforward,0.0,8.0,1056.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,64.0,0.0005188004492083564,32768.0,2254.37109375,feedforward,0.0,8.0,4160.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,256.0,0.0003859837510390207,524288.0,2254.37109375,feedforward,0.0,8.0,65792.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,512.0,0.000646622251952067,2097152.0,2254.37109375,feedforward,0.0,8.0,262656.0,0.0,0.0
1.0,relu,2254.37109375,1.0,cuda,,1024.0,0.0021266893483698366,8388608.0,2254.37109375,feedforward,0.0,8.0,1049600.0,0.0,0.0
1.0,relu,2254.375,1.0,cuda,,2048.0,0.0033986160007771103,33554432.0,2254.375,feedforward,0.0,8.0,4196352.0,0.0,0.0
1.0,relu,2252.37890625,1.0,cuda,,3072.0,0.003858960000798106,75497472.0,2252.37890625,feedforward,0.0,8.0,9440256.0,0.0,0.0
1.0,relu,2246.38671875,1.0,cuda,,4096.0,0.0063022677000844855,134217728.0,2246.38671875,feedforward,0.0,8.0,16781312.0,0.0,0.0
