model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,latency,avg_memory,max_memory,macs,total_params,trainable_params
feedforward,1.0,2048.0,1.0,cpu,0.0,0.0,0.0,0.0,,relu,5.178747233003378e-06,3588.078125,3588.078125,0.0,0.0,0.0
feedforward,1.0,2048.0,2.0,cpu,0.0,0.0,0.0,0.0,,relu,5.621451418846846e-06,3589.2890625,3589.2890625,0.0,0.0,0.0
feedforward,1.0,2048.0,4.0,cpu,0.0,0.0,0.0,0.0,,relu,9.04190819710493e-06,3589.2890625,3589.2890625,0.0,0.0,0.0
feedforward,1.0,2048.0,8.0,cpu,0.0,0.0,0.0,0.0,,relu,7.65104778110981e-06,3589.2890625,3589.2890625,0.0,0.0,0.0
feedforward,1.0,2048.0,16.0,cpu,0.0,0.0,0.0,0.0,,relu,4.632654599845409e-06,3589.2890625,3589.2890625,0.0,0.0,0.0
feedforward,1.0,2048.0,32.0,cpu,0.0,0.0,0.0,0.0,,relu,6.5472559072077274e-06,3589.2890625,3589.2890625,0.0,0.0,0.0
feedforward,1.0,2048.0,64.0,cpu,0.0,0.0,0.0,0.0,,relu,4.461559001356363e-06,3589.29296875,3589.29296875,0.0,0.0,0.0
feedforward,1.0,2048.0,128.0,cpu,0.0,0.0,0.0,0.0,,relu,6.22159568592906e-06,3589.29296875,3589.29296875,0.0,0.0,0.0
feedforward,1.0,2048.0,256.0,cpu,0.0,0.0,0.0,0.0,,relu,5.898310337215662e-06,3589.95703125,3589.95703125,0.0,0.0,0.0
feedforward,1.0,2048.0,512.0,cpu,0.0,0.0,0.0,0.0,,relu,4.100601654499769e-06,3591.95703125,3591.95703125,0.0,0.0,0.0
feedforward,1.0,2048.0,1024.0,cpu,0.0,0.0,0.0,0.0,,relu,3.807898610830307e-06,3595.9609375,3595.9609375,0.0,0.0,0.0
feedforward,1.0,2048.0,2048.0,cpu,0.0,0.0,0.0,0.0,,relu,3.9317412301898004e-06,3603.9609375,3603.9609375,0.0,0.0,0.0
feedforward,1.0,2048.0,4096.0,cpu,0.0,0.0,0.0,0.0,,relu,4.363490734249353e-06,3635.96875,3635.96875,0.0,0.0,0.0
