model,device,batch_size,hidden_dim,seq_len,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,latency,avg_memory,max_memory,macs,total_params,trainable_params
feedforward,herron_gpu,1.0,2048.0,1.0,1.0,0.0,0.0,0.0,,relu,3.8380199111998084e-05,14810873856.0,14810873856.0,4194304.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,2.0,1.0,0.0,0.0,0.0,,relu,5.333019653335214e-05,14810873856.0,14810873856.0,8388608.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,4.0,1.0,0.0,0.0,0.0,,relu,5.371595034375787e-05,14827651072.0,14827651072.0,16777216.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,8.0,1.0,0.0,0.0,0.0,,relu,5.360899958759546e-05,14844428288.0,14844428288.0,33554432.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,16.0,1.0,0.0,0.0,0.0,,relu,5.4567353799939156e-05,14861205504.0,14861205504.0,67108864.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,32.0,1.0,0.0,0.0,0.0,,relu,6.626620888710022e-05,14877982720.0,14877982720.0,134217728.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,64.0,1.0,0.0,0.0,0.0,,relu,0.0001136858481913805,14894759936.0,14894759936.0,268435456.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,128.0,1.0,0.0,0.0,0.0,,relu,0.00014031034661456942,14913634304.0,14913634304.0,536870912.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,256.0,1.0,0.0,0.0,0.0,,relu,0.0002332346048206091,14932508672.0,14932508672.0,1073741824.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,512.0,1.0,0.0,0.0,0.0,,relu,0.00041186049347743394,14974451712.0,14974451712.0,2147483648.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,1024.0,1.0,0.0,0.0,0.0,,relu,0.0006643689004704357,14991228928.0,14991228928.0,4294967296.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,2048.0,1.0,0.0,0.0,0.0,,relu,0.001459860650356859,15020589056.0,15020589056.0,8589934592.0,4196352.0,0.0
feedforward,herron_gpu,1.0,2048.0,4096.0,1.0,0.0,0.0,0.0,,relu,0.002995949797332287,15070920704.0,15070920704.0,17179869184.0,4196352.0,0.0
