img_size,in_channel,input_size,kernel_size,macs,out_channel,stride
7.0,32.0,"torch.Size([1, 32, 7, 7])",1.0,51744.0,32.0,1.0
14.0,32.0,"torch.Size([1, 32, 14, 14])",1.0,206976.0,32.0,1.0
28.0,32.0,"torch.Size([1, 32, 28, 28])",1.0,827904.0,32.0,1.0
56.0,32.0,"torch.Size([1, 32, 56, 56])",1.0,3311616.0,32.0,1.0
112.0,32.0,"torch.Size([1, 32, 112, 112])",1.0,13246464.0,32.0,1.0
224.0,32.0,"torch.Size([1, 32, 224, 224])",1.0,52985856.0,32.0,1.0
7.0,32.0,"torch.Size([1, 32, 7, 7])",1.0,16896.0,32.0,2.0
14.0,32.0,"torch.Size([1, 32, 14, 14])",1.0,51744.0,32.0,2.0
28.0,32.0,"torch.Size([1, 32, 28, 28])",1.0,206976.0,32.0,2.0
56.0,32.0,"torch.Size([1, 32, 56, 56])",1.0,827904.0,32.0,2.0
112.0,32.0,"torch.Size([1, 32, 112, 112])",1.0,3311616.0,32.0,2.0
224.0,32.0,"torch.Size([1, 32, 224, 224])",1.0,13246464.0,32.0,2.0
7.0,32.0,"torch.Size([1, 32, 7, 7])",1.0,4224.0,32.0,5.0
14.0,32.0,"torch.Size([1, 32, 14, 14])",1.0,9504.0,32.0,5.0
28.0,32.0,"torch.Size([1, 32, 28, 28])",1.0,38016.0,32.0,5.0
56.0,32.0,"torch.Size([1, 32, 56, 56])",1.0,152064.0,32.0,5.0
112.0,32.0,"torch.Size([1, 32, 112, 112])",1.0,558624.0,32.0,5.0
224.0,32.0,"torch.Size([1, 32, 224, 224])",1.0,2138400.0,32.0,5.0
7.0,32.0,"torch.Size([1, 32, 7, 7])",3.0,231200.0,32.0,1.0
14.0,32.0,"torch.Size([1, 32, 14, 14])",3.0,1331712.0,32.0,1.0
28.0,32.0,"torch.Size([1, 32, 28, 28])",3.0,6251648.0,32.0,1.0
56.0,32.0,"torch.Size([1, 32, 56, 56])",3.0,26967168.0,32.0,1.0
