avg_memory,img_size,in_channel,input_size,kernel_size,latency,macs,max_memory,out_channel,stride,total_params,trainable_params
268.1015625,7,32,"torch.Size([1, 32, 7, 7])",1,3.40530998073518E-05,51744,268.1015625,32,1,1056,0
270.2578125,14,32,"torch.Size([1, 32, 14, 14])",1,3.44004998623859E-05,206976,270.2734375,32,1,1056,0
273.32421875,28,32,"torch.Size([1, 32, 28, 28])",1,4.55858003988396E-05,827904,273.33984375,32,1,1056,0
275.82421875,56,32,"torch.Size([1, 32, 56, 56])",1,0.000106952699570684,3311616,275.82421875,32,1,1056,0
285.41953125,112,32,"torch.Size([1, 32, 112, 112])",1,0.000408869350212626,13246464,286.18359375,32,1,1056,0
327.503551136364,224,32,"torch.Size([1, 32, 224, 224])",1,0.00306516930068028,52985856,327.546875,32,1,1056,0
303.109375,7,32,"torch.Size([1, 32, 7, 7])",1,4.03256497520488E-05,16896,303.109375,32,2,1056,0
303.1171875,14,32,"torch.Size([1, 32, 14, 14])",1,3.07983500533737E-05,51744,303.1171875,32,2,1056,0
303.234375,28,32,"torch.Size([1, 32, 28, 28])",1,8.91273004526738E-05,206976,303.234375,32,2,1056,0
303.26953125,56,32,"torch.Size([1, 32, 56, 56])",1,0.000122689900308615,827904,303.26953125,32,2,1056,0
303.30859375,112,32,"torch.Size([1, 32, 112, 112])",1,0.000534561349923024,3311616,303.30859375,32,2,1056,0
298.833147321429,224,32,"torch.Size([1, 32, 224, 224])",1,0.00228581664996454,13246464,303.54296875,32,2,1056,0
297.19921875,7,32,"torch.Size([1, 32, 7, 7])",1,3.17085003189277E-05,4224,297.19921875,32,5,1056,0
297.3515625,14,32,"torch.Size([1, 32, 14, 14])",1,2.57864994637202E-05,9504,297.3515625,32,5,1056,0
297.57421875,28,32,"torch.Size([1, 32, 28, 28])",1,8.62361004692502E-05,38016,297.57421875,32,5,1056,0
297.59375,56,32,"torch.Size([1, 32, 56, 56])",1,0.000119353349873563,152064,297.59375,32,5,1056,0
297.609375,112,32,"torch.Size([1, 32, 112, 112])",1,0.000169139450008515,558624,297.609375,32,5,1056,0
303.6328125,224,32,"torch.Size([1, 32, 224, 224])",1,0.00267494205036201,2138400,303.6328125,32,5,1056,0
303.641927083333,7,32,"torch.Size([1, 32, 7, 7])",3,7.39410497772042E-05,231200,303.64453125,32,1,9248,0
303.6484375,14,32,"torch.Size([1, 32, 14, 14])",3,0.000104751950129867,1331712,303.6484375,32,1,9248,0
303.6796875,28,32,"torch.Size([1, 32, 28, 28])",3,0.000351310450059827,6251648,303.6796875,32,1,9248,0
303.6953125,56,32,"torch.Size([1, 32, 56, 56])",3,0.00106136589965899,26967168,303.6953125,32,1,9248,0
303.71875,112,32,"torch.Size([1, 32, 112, 112])",3,0.00246320070000365,111900800,303.71875,32,1,9248,0
307.814302884615,224,32,"torch.Size([1, 32, 224, 224])",3,0.0102152242499869,455778432,309.75,32,1,9248,0
303.73828125,7,32,"torch.Size([1, 32, 7, 7])",3,5.06315496750176E-05,83232,303.73828125,32,2,9248,0
303.73828125,14,32,"torch.Size([1, 32, 14, 14])",3,8.17074505903292E-05,332928,303.73828125,32,2,9248,0
303.76171875,28,32,"torch.Size([1, 32, 28, 28])",3,0.000140245700458763,1562912,303.76171875,32,2,9248,0
