latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,batch_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,in_channel,out_channel,kernel_size,stride,img_size
4.0033087134361264e-05,1274806272.0,1274806272.0,50176.0,50176.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,7.0
5.9602409601211546e-05,1295777792.0,1295777792.0,200704.0,200704.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,14.0
3.92325222492218e-05,1274806272.0,1274806272.0,802816.0,802816.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,28.0
4.034265875816345e-05,1274806272.0,1274806272.0,3211264.0,3211264.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,56.0
6.127357482910156e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,112.0
5.9042498469352724e-05,1295777792.0,1295777792.0,51380224.0,51380224.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,1.0,224.0
4.0199607610702515e-05,1274806272.0,1274806272.0,16384.0,16384.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,7.0
0.00011795349419116974,1274806272.0,1274806272.0,50176.0,50176.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,14.0
4.0891766548156736e-05,1274806272.0,1274806272.0,200704.0,200704.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,28.0
3.922395408153534e-05,1274806272.0,1274806272.0,802816.0,802816.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,56.0
5.959533154964447e-05,1295777792.0,1295777792.0,3211264.0,3211264.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,112.0
5.939416587352753e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,2.0,224.0
3.943182528018951e-05,1274806272.0,1274806272.0,4096.0,4096.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,7.0
0.00011319853365421295,1274806272.0,1274806272.0,9216.0,9216.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,14.0
3.829300403594971e-05,1274806272.0,1274806272.0,36864.0,36864.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,28.0
3.939494490623474e-05,1274806272.0,1274806272.0,147456.0,147456.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,56.0
5.9540197253227237e-05,1295777792.0,1295777792.0,541696.0,541696.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,112.0
5.884096026420593e-05,1295777792.0,1295777792.0,2073600.0,2073600.0,1056.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,1.0,5.0,224.0
4.017166793346405e-05,1274806272.0,1274806272.0,230400.0,230400.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,7.0
5.728378891944885e-05,1295777792.0,1295777792.0,1327104.0,1327104.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,14.0
4.0401145815849306e-05,1274806272.0,1274806272.0,6230016.0,6230016.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,28.0
3.9324164390563965e-05,1274806272.0,1274806272.0,26873856.0,26873856.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,56.0
5.453899502754212e-05,1295777792.0,1295777792.0,111513600.0,111513600.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,112.0
5.940981209278107e-05,1295777792.0,1295777792.0,454201344.0,454201344.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,1.0,224.0
3.950372338294983e-05,1274806272.0,1274806272.0,82944.0,82944.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,7.0
6.471015512943268e-05,1295777792.0,1295777792.0,331776.0,331776.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,14.0
3.9177760481834414e-05,1274806272.0,1274806272.0,1557504.0,1557504.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,28.0
3.9795786142349245e-05,1274806272.0,1274806272.0,6718464.0,6718464.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,56.0
3.95704060792923e-05,1295777792.0,1295777792.0,27878400.0,27878400.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,112.0
6.129555404186249e-05,1295777792.0,1295777792.0,113550336.0,113550336.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,224.0
3.8187205791473386e-05,1274806272.0,1274806272.0,9216.0,9216.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,7.0
0.00012051612138748169,1274806272.0,1274806272.0,82944.0,82944.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,14.0
4.1050463914871214e-05,1274806272.0,1274806272.0,331776.0,331776.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,28.0
3.944188356399536e-05,1274806272.0,1274806272.0,1115136.0,1115136.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,56.0
3.965497016906738e-05,1295777792.0,1295777792.0,4460544.0,4460544.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,112.0
5.9077516198158264e-05,1295777792.0,1295777792.0,18662400.0,18662400.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,224.0
3.8984417915344236e-05,1274806272.0,1274806272.0,100352.0,100352.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,7.0
4.2469426989555356e-05,1274806272.0,1274806272.0,401408.0,401408.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,14.0
3.9322301745414734e-05,1274806272.0,1274806272.0,1605632.0,1605632.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,28.0
4.060231149196625e-05,1274806272.0,1274806272.0,6422528.0,6422528.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,56.0
6.009824573993683e-05,1295777792.0,1295777792.0,25690112.0,25690112.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,112.0
5.877315998077392e-05,1295777792.0,1295777792.0,102760448.0,102760448.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,1.0,224.0
3.897771239280701e-05,1274806272.0,1274806272.0,32768.0,32768.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,7.0
4.2259320616722106e-05,1274806272.0,1274806272.0,100352.0,100352.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,14.0
3.999285399913788e-05,1274806272.0,1274806272.0,401408.0,401408.0,2112.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,64.0,1.0,2.0,28.0
