model,batch,latency,macs,dtype
vit32,1.0,0.002138114422559738,4366946304.0,fp16
vit32,2.0,0.001942751556634903,8733892608.0,fp16
vit32,3.0,0.0021017132699489593,13100838912.0,fp16
vit32,4.0,0.0022393204644322396,17467785216.0,fp16
vit32,6.0,0.0026418310776352883,26201677824.0,fp16
vit32,8.0,0.00314618032425642,34935570432.0,fp16
vit32,16.0,0.005388277657330036,69871140864.0,fp16
vit32,32.0,0.009461767263710499,139742281728.0,fp16
vit32,64.0,0.01751048382371664,279484563456.0,fp16
efficientnet,1.0,0.0074801545590162275,5439190496.0,fp16
efficientnet,2.0,0.007719552144408226,10878380992.0,fp16
efficientnet,3.0,0.007962471693754197,16317571488.0,fp16
efficientnet,4.0,0.00833542924374342,21756761984.0,fp16
efficientnet,6.0,0.00928498774766922,32635142976.0,fp16
efficientnet,8.0,0.011911904960870743,43513523968.0,fp16
efficientnet,16.0,0.02157926857471466,87027047936.0,fp16
efficientnet,32.0,0.043638837821781636,174054095872.0,fp16
efficientnet,64.0,0.09163339842110872,348108191744.0,fp16
efficientnet_lite,1.0,0.04531587954610586,536192992.0,fp16
efficientnet_lite,2.0,0.08518408838659525,1072385984.0,fp16
efficientnet_lite,3.0,0.12568891178816557,1608578976.0,fp16
efficientnet_lite,4.0,0.16608765918761492,2144771968.0,fp16
efficientnet_lite,6.0,0.24773317128419875,3217157952.0,fp16
efficientnet_lite,8.0,0.3289572264254093,4289543936.0,fp16
efficientnet_lite,16.0,0.6566468896716833,8579087872.0,fp16
efficientnet_lite,32.0,1.3285501147061587,17158175744.0,fp16
efficientnet_lite,64.0,2.6868547336384654,34316351488.0,fp16
gernet,1.0,0.0020292992517352104,3002076544.0,fp16
gernet,2.0,0.0023223219811916353,6004153088.0,fp16
gernet,3.0,0.0020394479855895043,9006229632.0,fp16
gernet,4.0,0.0025387434288859367,12008306176.0,fp16
gernet,6.0,0.002738662734627724,18012459264.0,fp16
gernet,8.0,0.0028398339077830314,24016612352.0,fp16
gernet,16.0,0.004887918904423714,48033224704.0,fp16
gernet,32.0,0.011611696518957614,96066449408.0,fp16
gernet,64.0,0.03414178386330605,192132898816.0,fp16
resnet18,1.0,0.0010052289068698884,1824033792.0,fp16
resnet18,2.0,0.0010903874412178994,3648067584.0,fp16
resnet18,3.0,0.0011148329824209214,5472101376.0,fp16
resnet18,4.0,0.0011915431544184684,7296135168.0,fp16
resnet18,6.0,0.0015246057137846946,10944202752.0,fp16
resnet18,8.0,0.0017034685239195823,14592270336.0,fp16
resnet18,16.0,0.0029251958802342416,29184540672.0,fp16
resnet18,32.0,0.005505903288722038,58369081344.0,fp16
resnet18,64.0,0.013821600079536438,116738162688.0,fp16
resnet50,1.0,0.002288430705666542,4133742592.0,fp16
resnet50,2.0,0.002478632591664791,8267485184.0,fp16
resnet50,3.0,0.00312565628439188,12401227776.0,fp16
resnet50,4.0,0.0027835768461227416,16534970368.0,fp16
resnet50,6.0,0.003990038298070431,24802455552.0,fp16
resnet50,8.0,0.004497849270701408,33069940736.0,fp16
resnet50,16.0,0.008424773663282394,66139881472.0,fp16
resnet50,32.0,0.01765391170978546,132279762944.0,fp16
resnet50,64.0,0.039886624962091444,264559525888.0,fp16
resnet101,1.0,0.004052745886147022,7866435584.0,fp16
resnet101,2.0,0.004911043867468834,15732871168.0,fp16
resnet101,3.0,0.004943670965731144,23599306752.0,fp16
resnet101,4.0,0.004714466668665409,31465742336.0,fp16
resnet101,6.0,0.006609983071684838,47198613504.0,fp16
resnet101,8.0,0.008535667061805726,62931484672.0,fp16
resnet101,16.0,0.014071274362504483,125862969344.0,fp16
resnet101,32.0,0.03039653480052948,251725938688.0,fp16
resnet101,64.0,0.06505992867052555,503451877376.0,fp16
resnet152,1.0,0.005702973678708077,11603945472.0,fp16
resnet152,2.0,0.006843000836670399,23207890944.0,fp16
resnet152,3.0,0.007189588658511639,34811836416.0,fp16
resnet152,4.0,0.007176515385508537,46415781888.0,fp16
resnet152,6.0,0.009626995995640755,69623672832.0,fp16
resnet152,8.0,0.013602138347923756,92831563776.0,fp16
resnet152,16.0,0.0199790857732296,185663127552.0,fp16
resnet152,32.0,0.0431297605484724,371326255104.0,fp16
resnet152,64.0,0.08986872922629117,742652510208.0,fp16
alexnet,1.0,0.000535838007926941,714206912.0,fp16
alexnet,2.0,0.0006907997652888298,1428413824.0,fp16
alexnet,3.0,0.0006494869291782379,2142620736.0,fp16
alexnet,4.0,0.0007210931181907654,2856827648.0,fp16
alexnet,6.0,0.000852457843720913,4285241472.0,fp16
alexnet,8.0,0.0008065167069435119,5713655296.0,fp16
alexnet,16.0,0.0012410375848412513,11427310592.0,fp16
alexnet,32.0,0.0018747877329587936,22854621184.0,fp16
alexnet,64.0,0.00324209600687027,45709242368.0,fp16
squeezenet,1.0,0.0009509481489658356,819094576.0,fp16
squeezenet,2.0,0.0010148657858371735,1638189152.0,fp16
squeezenet,3.0,0.0011660100892186165,2457283728.0,fp16
squeezenet,4.0,0.0015487826243042945,3276378304.0,fp16
squeezenet,6.0,0.0019960998371243476,4914567456.0,fp16
squeezenet,8.0,0.0022720246016979216,6552756608.0,fp16
squeezenet,16.0,0.004060581438243389,13105513216.0,fp16
squeezenet,32.0,0.007692898809909821,26211026432.0,fp16
squeezenet,64.0,0.0162715632468462,52422052864.0,fp16
vgg16,1.0,0.0018223842233419418,15470314496.0,fp16
vgg16,2.0,0.0030418724566698076,30940628992.0,fp16
vgg16,3.0,0.004509532153606415,46410943488.0,fp16
vgg16,4.0,0.005070634074509144,61881257984.0,fp16
vgg16,6.0,0.008964840322732925,92821886976.0,fp16
vgg16,8.0,0.012273352257907391,123762515968.0,fp16
