accelerator,avg_memory,batch_size,device,max_memory,model,sequence_length
0.0,1124.7389322916667,1.0,laptop_cpu,1124.91015625,bert,8.0
0.0,1126.640625,1.0,laptop_cpu,1126.640625,bert,16.0
0.0,1128.127232142857,1.0,laptop_cpu,1128.2578125,bert,32.0
0.0,1131.8059895833333,1.0,laptop_cpu,1132.609375,bert,64.0
0.0,1136.5234375,1.0,laptop_cpu,1137.28515625,bert,128.0
0.0,1148.14453125,1.0,laptop_cpu,1149.9375,bert,256.0
0.0,1179.8893229166667,1.0,laptop_cpu,1190.92578125,bert,512.0
0.0,1693.153645833333,1.0,laptop_cpu,1693.19921875,roberta,8.0
0.0,1693.23828125,1.0,laptop_cpu,1693.23828125,roberta,16.0
0.0,1693.23828125,1.0,laptop_cpu,1693.23828125,roberta,32.0
0.0,1693.2421875,1.0,laptop_cpu,1693.2421875,roberta,64.0
0.0,1696.814208984375,1.0,laptop_cpu,1697.0859375,roberta,128.0
0.0,1711.834375,1.0,laptop_cpu,1712.0,roberta,256.0
0.0,1731.196614583333,1.0,laptop_cpu,1766.87109375,roberta,512.0
0.0,1808.76171875,1.0,laptop_cpu,1808.76171875,deberta,8.0
0.0,1808.76171875,1.0,laptop_cpu,1808.76171875,deberta,16.0
0.0,1808.765625,1.0,laptop_cpu,1808.765625,deberta,32.0
0.0,1808.765625,1.0,laptop_cpu,1808.765625,deberta,64.0
0.0,1817.088541666667,1.0,laptop_cpu,1818.73046875,deberta,128.0
0.0,1844.446986607143,1.0,laptop_cpu,1850.08203125,deberta,256.0
0.0,1894.8552083333327,1.0,laptop_cpu,1940.34375,deberta,512.0
0.0,1687.384548611111,1.0,laptop_cpu,1687.39453125,distilbert,8.0
0.0,1687.4375,1.0,laptop_cpu,1687.4375,distilbert,16.0
0.0,1687.4375,1.0,laptop_cpu,1687.4375,distilbert,32.0
0.0,1687.44140625,1.0,laptop_cpu,1687.44140625,distilbert,64.0
0.0,1687.44140625,1.0,laptop_cpu,1687.44140625,distilbert,128.0
0.0,1687.44140625,1.0,laptop_cpu,1687.44140625,distilbert,256.0
0.0,1687.44140625,1.0,laptop_cpu,1687.44140625,distilbert,512.0
0.0,2176.9296875,1.0,laptop_cpu,2176.9296875,ibert,8.0
0.0,2177.125,1.0,laptop_cpu,2177.125,ibert,16.0
0.0,2177.125,1.0,laptop_cpu,2177.125,ibert,32.0
0.0,2177.125,1.0,laptop_cpu,2177.125,ibert,64.0
0.0,2178.5930606617653,1.0,laptop_cpu,2178.62890625,ibert,128.0
0.0,2194.38359375,1.0,laptop_cpu,2197.94140625,ibert,256.0
0.0,2221.2604166666665,1.0,laptop_cpu,2246.18359375,ibert,512.0
0.0,1394.46484375,1.0,laptop_cpu,1394.4765625,albert,8.0
0.0,1394.4765625,1.0,laptop_cpu,1394.4765625,albert,16.0
0.0,1394.4765625,1.0,laptop_cpu,1394.4765625,albert,32.0
0.0,1394.4765625,1.0,laptop_cpu,1394.4765625,albert,64.0
0.0,1394.4765625,1.0,laptop_cpu,1394.4765625,albert,128.0
0.0,1394.4765625,1.0,laptop_cpu,1394.4765625,albert,256.0
0.0,1394.7265625,1.0,laptop_cpu,1394.7265625,albert,512.0
0.0,1963.91953125,1.0,laptop_cpu,1989.3515625,longformer,8.0
0.0,1999.569010416667,1.0,laptop_cpu,2001.609375,longformer,16.0
0.0,2001.609375,1.0,laptop_cpu,2001.609375,longformer,32.0
0.0,2001.609375,1.0,laptop_cpu,2001.609375,longformer,64.0
0.0,2021.2698863636365,1.0,laptop_cpu,2024.1328125,longformer,128.0
0.0,2020.131510416667,1.0,laptop_cpu,2024.1328125,longformer,256.0
0.0,2026.62109375,1.0,laptop_cpu,2030.109375,longformer,512.0
0.0,1875.26171875,1.0,laptop_cpu,1875.31640625,mobile_bert,8.0
0.0,1875.43359375,1.0,laptop_cpu,1875.43359375,mobile_bert,16.0
0.0,1875.4375,1.0,laptop_cpu,1875.4375,mobile_bert,32.0
0.0,1875.451171875,1.0,laptop_cpu,1875.453125,mobile_bert,64.0
0.0,1875.453125,1.0,laptop_cpu,1875.453125,mobile_bert,128.0
0.0,1875.765625,1.0,laptop_cpu,1875.765625,mobile_bert,256.0
0.0,1875.890625,1.0,laptop_cpu,1875.890625,mobile_bert,512.0
0.0,1960.3125,1.0,laptop_cpu,1960.3125,reformer,8.0
0.0,1960.3125,1.0,laptop_cpu,1960.3125,reformer,16.0
0.0,1960.3125,1.0,laptop_cpu,1960.3125,reformer,32.0
0.0,1960.390625,1.0,laptop_cpu,1960.390625,reformer,64.0
0.0,1960.39453125,1.0,laptop_cpu,1960.39453125,reformer,128.0
0.0,1968.8447265625,1.0,laptop_cpu,1970.24609375,reformer,256.0
0.0,2159.5308779761904,1.0,laptop_cpu,2263.109375,reformer,512.0
0.0,2091.61328125,1.0,laptop_cpu,2091.61328125,squeeze_bert,8.0
0.0,2091.640625,1.0,laptop_cpu,2091.640625,squeeze_bert,16.0
0.0,2091.7421875,1.0,laptop_cpu,2091.7421875,squeeze_bert,32.0
0.0,2091.77734375,1.0,laptop_cpu,2091.77734375,squeeze_bert,64.0
0.0,2091.8125,1.0,laptop_cpu,2091.8125,squeeze_bert,128.0
0.0,2092.09765625,1.0,laptop_cpu,2092.09765625,squeeze_bert,256.0
0.0,2092.30859375,1.0,laptop_cpu,2092.30859375,squeeze_bert,512.0
