accelerator,batch_size,device,macs,model,max_memory,avg_memory
0.0,1.0,laptop_cpu,1819066368.0,resnet18,,
0.0,1.0,laptop_cpu,1819066368.0,resnet18,,
0.0,1.0,laptop_cpu,714691904.0,alexnet,,
0.0,1.0,laptop_cpu,823440824.0,squeezenet,,
0.0,1.0,laptop_cpu,15483862016.0,vgg16,,
0.0,1.0,laptop_cpu,7787012832.0,densenet,,
0.0,1.0,laptop_cpu,2847271040.0,inception,,
0.0,1.0,laptop_cpu,1504879712.0,googlenet,,
0.0,1.0,laptop_cpu,148808392.0,shufflenet,,
0.0,1.0,laptop_cpu,314130496.0,mobilenet_v2,,
0.0,1.0,laptop_cpu,225442456.0,mobilenet_v3_large,,
0.0,1.0,laptop_cpu,59367624.0,mobilenet_v3_small,,
0.0,1.0,laptop_cpu,4259383296.0,resnext50_32x4d,,
0.0,1.0,laptop_cpu,11426924544.0,wide_resnet50_2,,
0.0,1.0,laptop_cpu,325329152.0,mnasnet,,
0.0,1.0,laptop_cpu,,resnet18,375.66796875,
0.0,1.0,laptop_cpu,,alexnet,618.1875,
0.0,1.0,laptop_cpu,,squeezenet,583.12109375,
0.0,1.0,laptop_cpu,,vgg16,917.2578125,
0.0,1.0,laptop_cpu,,resnet18,374.3984375,374.39787946428567
0.0,1.0,laptop_cpu,,resnet18,376.171875,376.171875
0.0,1.0,laptop_cpu,,alexnet,575.9765625,575.9765625
0.0,1.0,laptop_cpu,,squeezenet,371.8203125,371.8203125
0.0,1.0,laptop_cpu,,vgg16,909.296875,909.296875
0.0,1.0,laptop_cpu,,densenet,513.5859375,513.5484375
0.0,1.0,laptop_cpu,,inception,515.18359375,515.18359375
0.0,1.0,laptop_cpu,,googlenet,515.81640625,515.81640625
0.0,1.0,laptop_cpu,,shufflenet,516.640625,516.640625
0.0,1.0,laptop_cpu,,mobilenet_v2,517.01953125,517.01953125
0.0,1.0,laptop_cpu,,mobilenet_v3_large,517.56640625,517.56640625
0.0,1.0,laptop_cpu,,mobilenet_v3_small,517.84375,517.84375
0.0,1.0,laptop_cpu,,resnext50_32x4d,525.83203125,525.83203125
0.0,1.0,laptop_cpu,,wide_resnet50_2,708.18359375,676.7563308189656
0.0,1.0,laptop_cpu,,mnasnet,600.765625,600.765625
