<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_size,latency,macs,max_memory,model,requires_grad,total_nn_calls,total_params,trainable_params,use_dquant,use_torchscript,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,1.0,relu,1091698688.0,1.0,,224.0,0.0064799319952726355,4366946304.0,1091698688.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,339738624.0,37.0,0.0,49.0,12316293120.0,25.0,11136000.0,1.0,relu,1492254720.0,1.0,,384.0,0.009276289865374564,12667167744.0,1492254720.0,vit32,0.0,112.0,88297192.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,603979776.0,37.0,0.0,49.0,21828974592.0,25.0,19737600.0,1.0,relu,1494351872.0,1.0,,512.0,0.012800901010632516,22452691968.0,1494351872.0,vit32,0.0,112.0,88383208.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,1.0,relu,1494351872.0,2.0,,224.0,0.007470614463090897,8733892608.0,1494351872.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,679477248.0,37.0,0.0,49.0,24632586240.0,25.0,22272000.0,1.0,relu,1892810752.0,2.0,,384.0,0.012314800173044205,25334335488.0,1892810752.0,vit32,0.0,112.0,88297192.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,1207959552.0,37.0,0.0,49.0,43657949184.0,25.0,39475200.0,1.0,relu,1892810752.0,2.0,,512.0,0.01937681399285793,44905383936.0,1892810752.0,vit32,0.0,112.0,88383208.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,1.0,relu,1892810752.0,4.0,,224.0,0.008966565132141113,17467785216.0,1892810752.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,1358954496.0,37.0,0.0,49.0,49265172480.0,25.0,44544000.0,1.0,relu,1913782272.0,4.0,,384.0,0.02008775100111961,50668670976.0,1913782272.0,vit32,0.0,112.0,88297192.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,2415919104.0,37.0,0.0,49.0,87315898368.0,25.0,78950400.0,1.0,relu,1913782272.0,4.0,,512.0,0.033448386564850816,89810767872.0,1913782272.0,vit32,0.0,112.0,88383208.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,1.0,relu,1913782272.0,8.0,,224.0,0.014544156193733216,34935570432.0,1913782272.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,2717908992.0,37.0,0.0,49.0,98530344960.0,25.0,89088000.0,1.0,relu,1949433856.0,8.0,,384.0,0.0375841535627842,101337341952.0,1949433856.0,vit32,0.0,112.0,88297192.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,4831838208.0,37.0,0.0,49.0,174631796736.0,25.0,157900800.0,1.0,relu,2029125632.0,8.0,,512.0,0.06117426082491875,179621535744.0,2029125632.0,vit32,0.0,112.0,88383208.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1.0,relu,928120832.0,1.0,,224.0,0.02918452955782413,5439190496.0,928120832.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
245.0,15735495680.0,,,,,,,1.0,relu,1179779072.0,1.0,,384.0,0.02918368950486183,15965491456.0,1179779072.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,229810176.0,1.0,185600.0,,,,,,,,,,,,
245.0,27966565888.0,,,,,,,1.0,relu,1368522752.0,1.0,,512.0,0.03132353015244007,28375446272.0,1368522752.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,408551424.0,1.0,328960.0,,,,,,,,,,,,
245.0,10721854400.0,,,,,,,1.0,relu,1368522752.0,2.0,,224.0,0.027622662112116808,10878380992.0,1368522752.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
245.0,31470991360.0,,,,,,,1.0,relu,1444020224.0,2.0,,384.0,0.03299962393939495,31930982912.0,1444020224.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,459620352.0,1.0,371200.0,,,,,,,,,,,,
245.0,55933131776.0,,,,,,,1.0,relu,1639055360.0,2.0,,512.0,0.04523753561079502,56750892544.0,1639055360.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,817102848.0,1.0,657920.0,,,,,,,,,,,,
245.0,21443708800.0,,,,,,,1.0,relu,1639055360.0,4.0,,224.0,0.027235358580946924,21756761984.0,1639055360.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
245.0,62941982720.0,,,,,,,1.0,relu,1729232896.0,4.0,,384.0,0.047134680673480034,63861965824.0,1729232896.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,919240704.0,1.0,742400.0,,,,,,,,,,,,
245.0,111866263552.0,,,,,,,1.0,relu,2014445568.0,4.0,,512.0,0.07190465591847897,113501785088.0,2014445568.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,1634205696.0,1.0,1315840.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,1.0,relu,2014445568.0,8.0,,224.0,0.039336218312382695,43513523968.0,2014445568.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,125883965440.0,,,,,,,1.0,relu,2127691776.0,8.0,,384.0,0.07809951715171337,127723931648.0,2127691776.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,1838481408.0,1.0,1484800.0,,,,,,,,,,,,
245.0,223732527104.0,,,,,,,1.0,relu,2329018368.0,8.0,,512.0,0.12958397530019286,227003570176.0,2329018368.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,3268411392.0,1.0,2631680.0,,,,,,,,,,,,
64.0,501187680.0,,,,,,,1.0,relu,749862912.0,1.0,,224.0,0.007539626955986024,536192992.0,749862912.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
64.0,1472878080.0,,,,,,,1.0,relu,775028736.0,1.0,,384.0,0.007055554166436195,1575748352.0,775028736.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,102684672.0,1.0,185600.0,43.0,0.0,,,,,,,,,,
64.0,2618449920.0,,,,,,,1.0,relu,827457536.0,1.0,,512.0,0.007509496435523034,2801329408.0,827457536.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,182550528.0,1.0,328960.0,43.0,0.0,,,,,,,,,,
64.0,1002375360.0,,,,,,,1.0,relu,827457536.0,2.0,,224.0,0.007142305001616479,1072385984.0,827457536.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
