<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_size,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_dquant,use_torchscript,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
115605504.0,0.0,4247500800.0,3840000.0,0.0,relu,1000.1909722222224,1.0,,224.0,0.12598904710030184,4366946304.0,1000.19140625,vit32,0.0,88224232.0,0.0,0.0,0.0,,,,,,
339738624.0,0.0,12316293120.0,11136000.0,0.0,relu,1353.46630859375,1.0,,384.0,0.3179950197983999,12667167744.0,1353.5078125,vit32,0.0,88297192.0,0.0,0.0,0.0,,,,,,
603979776.0,0.0,21828974592.0,19737600.0,0.0,relu,1678.7484375,1.0,,512.0,0.5718495801003882,22452691968.0,1679.6171875,vit32,0.0,88383208.0,0.0,0.0,0.0,,,,,,
5360927200.0,,,,0.0,relu,875.890625,1.0,,224.0,0.2838425595982699,5439190496.0,878.109375,efficientnet,0.0,54139356.0,0.0,0.0,0.0,78199296.0,64000.0,,,,
15735495680.0,,,,0.0,relu,1042.1569010416667,1.0,,384.0,0.7195877910999116,15965491456.0,1044.59375,efficientnet,0.0,54139356.0,0.0,0.0,0.0,229810176.0,185600.0,,,,
27966565888.0,,,,0.0,relu,1150.806640625,1.0,,512.0,1.3895251904992618,28375446272.0,1172.25390625,efficientnet,0.0,54139356.0,0.0,0.0,0.0,408551424.0,328960.0,,,,
501187680.0,,,,0.0,relu,691.1796875,1.0,,224.0,0.027587141701951624,536192992.0,692.2734375,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,34941312.0,64000.0,0.0,,,
1472878080.0,,,,0.0,relu,738.4322916666665,1.0,,384.0,0.07868932470155414,1575748352.0,762.44140625,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,102684672.0,185600.0,0.0,,,
2618449920.0,,,,0.0,relu,774.2867647058823,1.0,,512.0,0.17183977459790184,2801329408.0,818.73046875,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,182550528.0,328960.0,0.0,,,
3001948544.0,,,,0.0,relu,755.1005859375,1.0,,224.0,0.08356416010065004,3002076544.0,756.22265625,gernet,0.0,21142920.0,0.0,0.0,0.0,,128000.0,,0.0,,
8822052864.0,,,,0.0,relu,871.158203125,1.0,,384.0,0.21000379099859856,8822424064.0,888.375,gernet,0.0,21142920.0,0.0,0.0,0.0,,371200.0,,0.0,,
15683649536.0,,,,0.0,relu,960.2835582386364,1.0,,512.0,0.4053668964013923,15684307456.0,980.59765625,gernet,0.0,21142920.0,0.0,0.0,0.0,,657920.0,,0.0,,
1813561344.0,,512000.0,,0.0,relu,712.6322544642858,1.0,,224.0,0.06342501940089278,1824033792.0,712.65234375,resnet18,0.0,11689512.0,0.0,0.0,0.0,9934848.0,25600.0,,0.0,0.0,
5329649664.0,,512000.0,,0.0,relu,728.100390625,1.0,,384.0,0.16058936380140948,5359432192.0,743.98046875,resnet18,0.0,11689512.0,0.0,0.0,0.0,29196288.0,74240.0,,0.0,0.0,
9474932736.0,,512000.0,,0.0,relu,767.1526041666667,1.0,,512.0,0.26173879239941017,9527480832.0,767.16015625,resnet18,0.0,11689512.0,0.0,0.0,0.0,51904512.0,131584.0,,0.0,0.0,
655566528.0,0.0,58621952.0,,0.0,relu,888.40703125,1.0,,224.0,0.04149813380208798,714206912.0,888.41015625,alexnet,0.0,61100840.0,0.0,0.0,0.0,,18432.0,,0.0,0.0,
2019334848.0,0.0,58621952.0,,0.0,relu,1131.765625,1.0,,384.0,0.06916178129904438,2077996992.0,1132.53515625,alexnet,0.0,61100840.0,0.0,0.0,0.0,,40192.0,,0.0,0.0,
3648711360.0,0.0,58621952.0,,0.0,relu,915.421875,1.0,,512.0,0.11768707029987127,3707400128.0,917.390625,alexnet,0.0,61100840.0,0.0,0.0,0.0,,66816.0,,0.0,0.0,
818924576.0,0.0,,,0.0,relu,669.33984375,1.0,,224.0,0.04058407959819306,819094576.0,671.2421875,squeezenet,0.0,1248424.0,0.0,0.0,0.0,,170000.0,,0.0,0.0,
2489503776.0,0.0,,,0.0,relu,697.305078125,1.0,,384.0,0.11318795740080533,2490033776.0,708.3828125,squeezenet,0.0,1248424.0,0.0,0.0,0.0,,530000.0,,0.0,0.0,
4478017568.0,0.0,,,0.0,relu,751.1512276785713,1.0,,512.0,0.21239286950149108,4478979568.0,764.8828125,squeezenet,0.0,1248424.0,0.0,0.0,0.0,,962000.0,,0.0,0.0,
15346630656.0,0.0,123633664.0,,0.0,relu,1244.6340460526314,1.0,,224.0,0.4045185527007561,15470314496.0,1246.94140625,vgg16,0.0,138357544.0,0.0,0.0,0.0,,50176.0,,0.0,0.0,
45100302336.0,0.0,123633664.0,,0.0,relu,1267.2622767857142,1.0,,384.0,1.1244253012002443,45224034816.0,1286.61328125,vgg16,0.0,138357544.0,0.0,0.0,0.0,,98816.0,,0.0,0.0,
80178315264.0,0.0,123633664.0,,0.0,relu,1351.984375,1.0,,512.0,2.11805205020064,80302105088.0,1451.984375,vgg16,0.0,138357544.0,0.0,0.0,0.0,,156160.0,,0.0,0.0,
7725699072.0,,2208000.0,,0.0,relu,804.6714154411765,1.0,,224.0,0.2311892931000329,7845841056.0,815.5,densenet,0.0,28681000.0,0.0,0.0,0.0,117656448.0,,,0.0,0.0,277536.0
22704095232.0,,2208000.0,,0.0,relu,962.0290178571428,1.0,,384.0,0.669563517800998,23052884736.0,965.703125,densenet,0.0,28681000.0,0.0,0.0,0.0,345765888.0,,,0.0,0.0,815616.0
40362835968.0,,2208000.0,,0.0,relu,1039.0220170454545,1.0,,512.0,1.2043162063986528,40981188864.0,1059.0703125,densenet,0.0,28681000.0,0.0,0.0,0.0,614694912.0,,,0.0,0.0,1449984.0
2835873120.0,0.0,2048000.0,,0.0,relu,809.2249348958335,1.0,,224.0,0.12982255419774447,2856567712.0,809.2265625,inception,0.0,27161264.0,0.0,0.0,0.0,18593344.0,53248.0,,,0.0,
9443934560.0,0.0,2048000.0,,0.0,relu,879.109375,1.0,,384.0,0.3821991056000115,9505607072.0,879.63671875,inception,0.0,27161264.0,0.0,0.0,0.0,59417664.0,206848.0,,,0.0,
17519808864.0,0.0,2048000.0,,0.0,relu,906.6927083333336,1.0,,512.0,0.5395400523993885,17630999968.0,907.125,inception,0.0,27161264.0,0.0,0.0,0.0,108739648.0,403456.0,,,0.0,
1497352192.0,0.0,1024000.0,,0.0,relu,756.94140625,1.0,,224.0,0.07431831530120689,1511332032.0,757.02734375,googlenet,0.0,13004888.0,0.0,0.0,0.0,12904640.0,51200.0,,,0.0,
4400381952.0,0.0,1024000.0,,0.0,relu,790.4497767857142,1.0,,384.0,0.20328228669823148,4439478272.0,791.1015625,googlenet,0.0,13004888.0,0.0,0.0,0.0,37923840.0,148480.0,,,0.0,
