<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_size,latency,macs,max_memory,model,requires_grad,total_nn_calls,total_params,trainable_params,use_dquant,use_torchscript,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,1.0,relu,2216427520.0,1.0,,224.0,0.005171766690909864,4366946304.0,2216427520.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,1.0,relu,2616983552.0,2.0,,224.0,0.006644489988684654,8733892608.0,2616983552.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,1.0,relu,3017539584.0,4.0,,224.0,0.006718516908586025,17467785216.0,3017539584.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,1.0,relu,3017539584.0,8.0,,224.0,0.006666738912463189,34935570432.0,3017539584.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,1.0,relu,3436969984.0,16.0,,224.0,0.010374344140291213,69871140864.0,3436969984.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,1.0,relu,3436969984.0,32.0,,224.0,0.019849773682653903,139742281728.0,3436969984.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,1.0,relu,3587964928.0,64.0,,224.0,0.03770151864737272,279484563456.0,3587964928.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,1.0,relu,4175167488.0,128.0,,224.0,0.07245393581688404,558969126912.0,4175167488.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1.0,relu,2052849664.0,1.0,,224.0,0.022556030377745628,5439190496.0,2052849664.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
245.0,10721854400.0,,,,,,,1.0,relu,2281439232.0,2.0,,224.0,0.023851986788213254,10878380992.0,2281439232.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
