<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_size,latency,macs,max_memory,model,requires_grad,total_nn_calls,total_params,trainable_params,use_dquant,use_torchscript,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,1.0,relu,1263665152.0,1.0,,224.0,0.006753186881542206,4366946304.0,1263665152.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,1.0,relu,1664221184.0,2.0,,224.0,0.009478706866502762,8733892608.0,1664221184.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,1.0,relu,2064777216.0,4.0,,224.0,0.009466110169887543,17467785216.0,2064777216.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,1.0,relu,2064777216.0,8.0,,224.0,0.015046491846442222,34935570432.0,2064777216.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,1.0,relu,2484207616.0,16.0,,224.0,0.02498997189104557,69871140864.0,2484207616.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,1.0,relu,2484207616.0,32.0,,224.0,0.0447858277708292,139742281728.0,2484207616.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,1.0,relu,2635202560.0,64.0,,224.0,0.08416896946728229,279484563456.0,2635202560.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,1.0,relu,3222405120.0,128.0,,224.0,0.16104973666369915,558969126912.0,3222405120.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1.0,relu,1100087296.0,1.0,,224.0,0.03144216760993004,5439190496.0,1100087296.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
245.0,10721854400.0,,,,,,,1.0,relu,1328676864.0,2.0,,224.0,0.031130950525403024,10878380992.0,1328676864.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
245.0,21443708800.0,,,,,,,1.0,relu,1328676864.0,4.0,,224.0,0.03175107128918171,21756761984.0,1328676864.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,1.0,relu,1416757248.0,8.0,,224.0,0.0329318817704916,43513523968.0,1416757248.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,85774835200.0,,,,,,,1.0,relu,1733427200.0,16.0,,224.0,0.05104875676333905,87027047936.0,1733427200.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
245.0,171549670400.0,,,,,,,1.0,relu,2068971520.0,32.0,,224.0,0.09411651343107223,174054095872.0,2068971520.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
245.0,343099340800.0,,,,,,,1.0,relu,2419195904.0,64.0,,224.0,0.18907056413590909,348108191744.0,2419195904.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
245.0,686198681600.0,,,,,,,1.0,relu,3589406720.0,128.0,,224.0,0.3641329057514667,696216383488.0,3589406720.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
64.0,501187680.0,,,,,,,1.0,relu,921829376.0,1.0,,224.0,0.008059196174144745,536192992.0,921829376.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
64.0,1002375360.0,,,,,,,1.0,relu,955383808.0,2.0,,224.0,0.008178145065903664,1072385984.0,955383808.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
64.0,2004750720.0,,,,,,,1.0,relu,976355328.0,4.0,,224.0,0.008177780732512473,2144771968.0,976355328.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,139765248.0,1.0,256000.0,43.0,0.0,,,,,,,,,,
64.0,4009501440.0,,,,,,,1.0,relu,1066532864.0,8.0,,224.0,0.009569976106286049,4289543936.0,1066532864.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,279530496.0,1.0,512000.0,43.0,0.0,,,,,,,,,,
64.0,8019002880.0,,,,,,,1.0,relu,1253179392.0,16.0,,224.0,0.016811417788267134,8579087872.0,1253179392.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,559060992.0,1.0,1024000.0,43.0,0.0,,,,,,,,,,
64.0,16038005760.0,,,,,,,1.0,relu,1615986688.0,32.0,,224.0,0.03187734186649323,17158175744.0,1615986688.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,1118121984.0,1.0,2048000.0,43.0,0.0,,,,,,,,,,
64.0,32076011520.0,,,,,,,1.0,relu,2335309824.0,64.0,,224.0,0.06360535584390163,34316351488.0,2335309824.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,2236243968.0,1.0,4096000.0,43.0,0.0,,,,,,,,,,
64.0,64152023040.0,,,,,,,1.0,relu,3773956096.0,128.0,,224.0,0.1263784147799015,68632702976.0,3773956096.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,4472487936.0,1.0,8192000.0,43.0,0.0,,,,,,,,,,
45.0,3001948544.0,,,,,,,1.0,relu,984743936.0,1.0,,224.0,0.007291865721344949,3002076544.0,984743936.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,128000.0,,,41.0,0.0,,,,,,,,
45.0,6003897088.0,,,,,,,1.0,relu,1062338560.0,2.0,,224.0,0.007387129217386245,6004153088.0,1062338560.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,256000.0,,,41.0,0.0,,,,,,,,
45.0,12007794176.0,,,,,,,1.0,relu,1083310080.0,4.0,,224.0,0.007419965043663978,12008306176.0,1083310080.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,512000.0,,,41.0,0.0,,,,,,,,
45.0,24015588352.0,,,,,,,1.0,relu,1165099008.0,8.0,,224.0,0.008863495290279388,24016612352.0,1165099008.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,1024000.0,,,41.0,0.0,,,,,,,,
45.0,48031176704.0,,,,,,,1.0,relu,1393688576.0,16.0,,224.0,0.01618775203824043,48033224704.0,1393688576.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,2048000.0,,,41.0,0.0,,,,,,,,
45.0,96062353408.0,,,,,,,1.0,relu,1733427200.0,32.0,,224.0,0.02908518724143505,96066449408.0,1733427200.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,4096000.0,,,41.0,0.0,,,,,,,,
45.0,192124706816.0,,,,,,,1.0,relu,2050097152.0,64.0,,224.0,0.05670125782489776,192132898816.0,2050097152.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,8192000.0,,,41.0,0.0,,,,,,,,
45.0,384249413632.0,,,,,,,1.0,relu,3193044992.0,128.0,,224.0,0.11119614578783513,384265797632.0,3193044992.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,16384000.0,,,41.0,0.0,,,,,,,,
20.0,1813561344.0,,,1.0,512000.0,,,1.0,relu,961675264.0,1.0,,224.0,0.003470071032643318,1824033792.0,961675264.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,9934848.0,1.0,25600.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,3627122688.0,,,1.0,1024000.0,,,1.0,relu,1009909760.0,2.0,,224.0,0.003477379307150841,3648067584.0,1009909760.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,19869696.0,1.0,51200.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,7254245376.0,,,1.0,2048000.0,,,1.0,relu,1009909760.0,4.0,,224.0,0.0035490490496158603,7296135168.0,1009909760.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,39739392.0,1.0,102400.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,14508490752.0,,,1.0,4096000.0,,,1.0,relu,1037172736.0,8.0,,224.0,0.0041150830686092375,14592270336.0,1037172736.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,79478784.0,1.0,204800.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,29016981504.0,,,1.0,8192000.0,,,1.0,relu,1142030336.0,16.0,,224.0,0.008222841843962669,29184540672.0,1142030336.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,158957568.0,1.0,409600.0,,,9.0,0.0,1.0,0.0,,,,,,
20.0,58033963008.0,,,1.0,16384000.0,,,1.0,relu,1347551232.0,32.0,,224.0,0.014492361992597581,58369081344.0,1347551232.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,317915136.0,1.0,819200.0,,,9.0,0.0,1.0,0.0,,,,,,
