<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_size,latency,macs,max_memory,model,requires_grad,total_nn_calls,total_params,trainable_params,use_dquant,use_torchscript,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,1.0,relu,1442840576.0,1.0,,224.0,0.007932471111416817,4366946304.0,1442840576.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,1.0,relu,1843396608.0,2.0,,224.0,0.008574395254254342,8733892608.0,1843396608.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,1.0,relu,1843396608.0,4.0,,224.0,0.008352060243487358,17467785216.0,1843396608.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,1.0,relu,1843396608.0,8.0,,224.0,0.011574942618608476,34935570432.0,1843396608.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,1.0,relu,2283798528.0,16.0,,224.0,0.016961849853396417,69871140864.0,2283798528.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,1.0,relu,2283798528.0,32.0,,224.0,0.03246937319636345,139742281728.0,2283798528.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,1.0,relu,2434793472.0,64.0,,224.0,0.06006333082914352,279484563456.0,2434793472.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,1.0,relu,2732589056.0,128.0,,224.0,0.11545115299522875,558969126912.0,2732589056.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1.0,relu,1279262720.0,1.0,,224.0,0.028377391025424005,5439190496.0,1279262720.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
245.0,10721854400.0,,,,,,,1.0,relu,1509949440.0,2.0,,224.0,0.02836932241916656,10878380992.0,1509949440.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
245.0,21443708800.0,,,,,,,1.0,relu,1719664640.0,4.0,,224.0,0.028399979323148725,21756761984.0,1719664640.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,1.0,relu,1769996288.0,8.0,,224.0,0.028834682330489164,43513523968.0,1769996288.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,85774835200.0,,,,,,,1.0,relu,1965031424.0,16.0,,224.0,0.03736599683761597,87027047936.0,1965031424.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
245.0,171549670400.0,,,,,,,1.0,relu,2403336192.0,32.0,,224.0,0.07020747438073158,174054095872.0,2403336192.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
245.0,343099340800.0,,,,,,,1.0,relu,2839543808.0,64.0,,224.0,0.12486586347222328,348108191744.0,2839543808.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
245.0,686198681600.0,,,,,,,1.0,relu,4175429632.0,128.0,,224.0,0.2497168879956007,696216383488.0,4175429632.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
64.0,501187680.0,,,,,,,1.0,relu,1101004800.0,1.0,,224.0,0.007835593447089196,536192992.0,1101004800.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
64.0,1002375360.0,,,,,,,1.0,relu,1111490560.0,2.0,,224.0,0.0076512757688760764,1072385984.0,1111490560.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
64.0,2004750720.0,,,,,,,1.0,relu,1155530752.0,4.0,,224.0,0.00773218013346195,2144771968.0,1155530752.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,139765248.0,1.0,256000.0,43.0,0.0,,,,,,,,,,
64.0,4009501440.0,,,,,,,1.0,relu,1235222528.0,8.0,,224.0,0.007724788784980774,4289543936.0,1235222528.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,279530496.0,1.0,512000.0,43.0,0.0,,,,,,,,,,
64.0,8019002880.0,,,,,,,1.0,relu,1417674752.0,16.0,,224.0,0.010494372993707656,8579087872.0,1417674752.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,559060992.0,1.0,1024000.0,43.0,0.0,,,,,,,,,,
64.0,16038005760.0,,,,,,,1.0,relu,1780482048.0,32.0,,224.0,0.017365915700793266,17158175744.0,1780482048.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,1118121984.0,1.0,2048000.0,43.0,0.0,,,,,,,,,,
64.0,32076011520.0,,,,,,,1.0,relu,2499805184.0,64.0,,224.0,0.03396434187889099,34316351488.0,2499805184.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,2236243968.0,1.0,4096000.0,43.0,0.0,,,,,,,,,,
64.0,64152023040.0,,,,,,,1.0,relu,3938451456.0,128.0,,224.0,0.0672254778444767,68632702976.0,3938451456.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,4472487936.0,1.0,8192000.0,43.0,0.0,,,,,,,,,,
45.0,3001948544.0,,,,,,,1.0,relu,1142947840.0,1.0,,224.0,0.00622352547943592,3002076544.0,1142947840.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,128000.0,,,41.0,0.0,,,,,,,,
45.0,6003897088.0,,,,,,,1.0,relu,1237319680.0,2.0,,224.0,0.0062631964683532715,6004153088.0,1237319680.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,256000.0,,,41.0,0.0,,,,,,,,
45.0,12007794176.0,,,,,,,1.0,relu,1260388352.0,4.0,,224.0,0.006343991681933403,12008306176.0,1260388352.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,512000.0,,,41.0,0.0,,,,,,,,
45.0,24015588352.0,,,,,,,1.0,relu,1379926016.0,8.0,,224.0,0.00854058489203453,24016612352.0,1379926016.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,1024000.0,,,41.0,0.0,,,,,,,,
45.0,48031176704.0,,,,,,,1.0,relu,1652555776.0,16.0,,224.0,0.012702373042702674,48033224704.0,1652555776.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,2048000.0,,,41.0,0.0,,,,,,,,
