<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_size,latency,macs,max_memory,model,requires_grad,total_nn_calls,total_params,trainable_params,use_dquant,use_torchscript,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,1.0,relu,1091698688.0,1.0,,224.0,0.006305588781833649,4366946304.0,1091698688.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,1.0,relu,1492254720.0,2.0,,224.0,0.00766194202005863,8733892608.0,1492254720.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,1.0,relu,1492254720.0,4.0,,224.0,0.009340263530611992,17467785216.0,1492254720.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,1.0,relu,1492254720.0,8.0,,224.0,0.01458004042506218,34935570432.0,1492254720.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,1.0,relu,1932656640.0,16.0,,224.0,0.02414129450917244,69871140864.0,1932656640.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,1.0,relu,1932656640.0,32.0,,224.0,0.04403373897075653,139742281728.0,1932656640.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,1.0,relu,2083651584.0,64.0,,224.0,0.0826443862169981,279484563456.0,2083651584.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,1.0,relu,2381447168.0,128.0,,224.0,0.15770129598677154,558969126912.0,2381447168.0,vit32,0.0,112.0,88224232.0,0.0,0.0,0.0,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1.0,relu,928120832.0,1.0,,224.0,0.028178337961435318,5439190496.0,928120832.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,
245.0,10721854400.0,,,,,,,1.0,relu,1158807552.0,2.0,,224.0,0.02700300663709641,10878380992.0,1158807552.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,
245.0,21443708800.0,,,,,,,1.0,relu,1368522752.0,4.0,,224.0,0.027883848175406456,21756761984.0,1368522752.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,
245.0,42887417600.0,,,,,,,1.0,relu,1368522752.0,8.0,,224.0,0.03909209258854389,43513523968.0,1368522752.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,
245.0,85774835200.0,,,,,,,1.0,relu,1534197760.0,16.0,,224.0,0.05972127057611942,87027047936.0,1534197760.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,
245.0,171549670400.0,,,,,,,1.0,relu,2006056960.0,32.0,,224.0,0.10507536791265012,174054095872.0,2006056960.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,
245.0,343099340800.0,,,,,,,1.0,relu,2578579456.0,64.0,,224.0,0.19837634451687336,348108191744.0,2578579456.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,
245.0,686198681600.0,,,,,,,1.0,relu,3719430144.0,128.0,,224.0,0.3877005007117987,696216383488.0,3719430144.0,efficientnet,0.0,403.0,54139356.0,0.0,0.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,
64.0,501187680.0,,,,,,,1.0,relu,749862912.0,1.0,,224.0,0.0067345499992370605,536192992.0,749862912.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,
64.0,1002375360.0,,,,,,,1.0,relu,760348672.0,2.0,,224.0,0.006573109701275825,1072385984.0,760348672.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,
64.0,2004750720.0,,,,,,,1.0,relu,804388864.0,4.0,,224.0,0.006665468961000442,2144771968.0,804388864.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,139765248.0,1.0,256000.0,43.0,0.0,,,,,,
64.0,4009501440.0,,,,,,,1.0,relu,884080640.0,8.0,,224.0,0.00958041734993458,4289543936.0,884080640.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,279530496.0,1.0,512000.0,43.0,0.0,,,,,,
64.0,8019002880.0,,,,,,,1.0,relu,1066532864.0,16.0,,224.0,0.017388518154621124,8579087872.0,1066532864.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,559060992.0,1.0,1024000.0,43.0,0.0,,,,,,
64.0,16038005760.0,,,,,,,1.0,relu,1429340160.0,32.0,,224.0,0.03295709639787674,17158175744.0,1429340160.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,1118121984.0,1.0,2048000.0,43.0,0.0,,,,,,
64.0,32076011520.0,,,,,,,1.0,relu,2148663296.0,64.0,,224.0,0.06452250070869922,34316351488.0,2148663296.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,2236243968.0,1.0,4096000.0,43.0,0.0,,,,,,
64.0,64152023040.0,,,,,,,1.0,relu,3587309568.0,128.0,,224.0,0.12915974222123622,68632702976.0,3587309568.0,efficientnet_lite,0.0,172.0,5416680.0,0.0,0.0,0.0,64.0,4472487936.0,1.0,8192000.0,43.0,0.0,,,,,,
45.0,3001948544.0,,,,,,,1.0,relu,812777472.0,1.0,,224.0,0.005804363265633583,3002076544.0,812777472.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,128000.0,,,41.0,0.0,,,,
45.0,6003897088.0,,,,,,,1.0,relu,886177792.0,2.0,,224.0,0.005849332362413406,6004153088.0,886177792.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,256000.0,,,41.0,0.0,,,,
45.0,12007794176.0,,,,,,,1.0,relu,909246464.0,4.0,,224.0,0.005934141948819161,12008306176.0,909246464.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,512000.0,,,41.0,0.0,,,,
45.0,24015588352.0,,,,,,,1.0,relu,923926528.0,8.0,,224.0,0.010568032041192056,24016612352.0,923926528.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,1024000.0,,,41.0,0.0,,,,
45.0,48031176704.0,,,,,,,1.0,relu,1060241408.0,16.0,,224.0,0.015244438871741296,48033224704.0,1060241408.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,2048000.0,,,41.0,0.0,,,,
45.0,96062353408.0,,,,,,,1.0,relu,1519517696.0,32.0,,224.0,0.031828098371624945,96066449408.0,1519517696.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,4096000.0,,,41.0,0.0,,,,
45.0,192124706816.0,,,,,,,1.0,relu,2228355072.0,64.0,,224.0,0.05940202102065086,192132898816.0,2228355072.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,8192000.0,,,41.0,0.0,,,,
45.0,384249413632.0,,,,,,,1.0,relu,3518103552.0,128.0,,224.0,0.12100931778550147,384265797632.0,3518103552.0,gernet,0.0,87.0,21142920.0,0.0,0.0,0.0,,,1.0,16384000.0,,,41.0,0.0,,,,
20.0,1813561344.0,,,1.0,512000.0,,,1.0,relu,789708800.0,1.0,,224.0,0.002567875385284424,1824033792.0,789708800.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,9934848.0,1.0,25600.0,,,9.0,0.0,1.0,0.0,,
20.0,3627122688.0,,,1.0,1024000.0,,,1.0,relu,837943296.0,2.0,,224.0,0.0025754310190677643,3648067584.0,837943296.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,19869696.0,1.0,51200.0,,,9.0,0.0,1.0,0.0,,
20.0,7254245376.0,,,1.0,2048000.0,,,1.0,relu,919732224.0,4.0,,224.0,0.0028644103556871416,7296135168.0,919732224.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,39739392.0,1.0,102400.0,,,9.0,0.0,1.0,0.0,,
20.0,14508490752.0,,,1.0,4096000.0,,,1.0,relu,978452480.0,8.0,,224.0,0.0045893058180809035,14592270336.0,978452480.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,79478784.0,1.0,204800.0,,,9.0,0.0,1.0,0.0,,
20.0,29016981504.0,,,1.0,8192000.0,,,1.0,relu,1083310080.0,16.0,,224.0,0.007967580482363701,29184540672.0,1083310080.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,158957568.0,1.0,409600.0,,,9.0,0.0,1.0,0.0,,
20.0,58033963008.0,,,1.0,16384000.0,,,1.0,relu,1288830976.0,32.0,,224.0,0.01523720733821392,58369081344.0,1288830976.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,317915136.0,1.0,819200.0,,,9.0,0.0,1.0,0.0,,
20.0,116067926016.0,,,1.0,32768000.0,,,1.0,relu,1699872768.0,64.0,,224.0,0.030640559270977974,116738162688.0,1699872768.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,635830272.0,1.0,1638400.0,,,9.0,0.0,1.0,0.0,,
20.0,232135852032.0,,,1.0,65536000.0,,,1.0,relu,2521956352.0,128.0,,224.0,0.0591951135545969,233476325376.0,2521956352.0,resnet18,0.0,52.0,11689512.0,0.0,0.0,0.0,20.0,1271660544.0,1.0,3276800.0,,,9.0,0.0,1.0,0.0,,
5.0,655566528.0,2.0,0.0,3.0,58621952.0,,,1.0,relu,946995200.0,1.0,,224.0,0.0012226521968841553,714206912.0,946995200.0,alexnet,0.0,21.0,61100840.0,0.0,0.0,0.0,,,1.0,18432.0,,,7.0,0.0,3.0,0.0,,
5.0,1311133056.0,2.0,0.0,3.0,117243904.0,,,1.0,relu,1181876224.0,2.0,,224.0,0.0013121969997882846,1428413824.0,1181876224.0,alexnet,0.0,21.0,61100840.0,0.0,0.0,0.0,,,1.0,36864.0,,,7.0,0.0,3.0,0.0,,
