latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
0.0019181478768587,1352400896.0,1352400896.0,1824033792.0,1813561344.0,9934848.0,0.0,0.0,25600.0,512000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,1.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0020311962813138,1400635392.0,1400635392.0,3648067584.0,3627122688.0,19869696.0,0.0,0.0,51200.0,1024000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,2.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0020133592188358,1400635392.0,1400635392.0,7296135168.0,7254245376.0,39739392.0,0.0,0.0,102400.0,2048000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,4.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0021076146513223,1505492992.0,1505492992.0,14592270336.0,14508490752.0,79478784.0,0.0,0.0,204800.0,4096000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,8.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0021515291184186,1610350592.0,1610350592.0,29184540672.0,29016981504.0,158957568.0,0.0,0.0,409600.0,8192000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,16.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0022782962769269,1815871488.0,1815871488.0,58369081344.0,58033963008.0,317915136.0,0.0,0.0,819200.0,16384000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,32.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0045260429382324,2226913280.0,2226913280.0,116738162688.0,116067926016.0,635830272.0,0.0,0.0,1638400.0,32768000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,64.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0122802179306745,3512467456.0,3512467456.0,233476325376.0,232135852032.0,1271660544.0,0.0,0.0,3276800.0,65536000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,128.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0010165825486183,1870397440.0,1870397440.0,15470314496.0,15346630656.0,,0.0,0.0,50176.0,123633664.0,39.0,13.0,,15.0,5.0,1.0,3.0,138357544.0,0.0,vgg16,1.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0012394271790981,2386296832.0,2386296832.0,30940628992.0,30693261312.0,,0.0,0.0,100352.0,247267328.0,39.0,13.0,,15.0,5.0,1.0,3.0,138357544.0,0.0,vgg16,2.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
