macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,latency,avg_memory,max_memory,batch_size,input_size,model_config,device_config,model,platform,device,device_idx,num_threads,iters,use_cuda,use_channels_last,use_fp16,use_jit,use_tensorrt,use_ipex,use_dquant,results_dir,exp_name,act_fn,dropout,randomized_text,requires_grad,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
4366946304.0,115605504.0,0.0,3840000.0,4247500800.0,112.0,1.0,37.0,25.0,49.0,88224232.0,88224232.0,1.2334436178207398e-06,14093647872.0,14093647872.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,vit32,herron_gpu,cuda,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,experiments/pretrained,pretrained-torchscript,relu,,1.0,0.0,,,,,,,,,,,,,,,,
8733892608.0,231211008.0,0.0,7680000.0,8495001600.0,112.0,1.0,37.0,25.0,49.0,88224232.0,88224232.0,5.99399209022522e-07,14492106752.0,14492106752.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,vit32,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,,,,,,,,,,,,,,
17467785216.0,462422016.0,0.0,15360000.0,16990003200.0,112.0,1.0,37.0,25.0,49.0,88224232.0,88224232.0,6.243586540222168e-07,14869594112.0,14869594112.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,vit32,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,,,,,,,,,,,,,,
34935570432.0,924844032.0,0.0,30720000.0,33980006400.0,112.0,1.0,37.0,25.0,49.0,88224232.0,88224232.0,6.243586540222168e-07,14869594112.0,14869594112.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,vit32,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,,,,,,,,,,,,,,
69871140864.0,1849688064.0,0.0,61440000.0,67960012800.0,112.0,1.0,37.0,25.0,49.0,88224232.0,88224232.0,8.665025234222412e-07,14932508672.0,14932508672.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,vit32,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,,,,,,,,,,,,,,
139742281728.0,3699376128.0,0.0,122880000.0,135920025600.0,112.0,1.0,37.0,25.0,49.0,88224232.0,88224232.0,6.139278411865235e-07,14932508672.0,14932508672.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,vit32,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,,,,,,,,,,,,,,
279484563456.0,7398752256.0,0.0,245760000.0,271840051200.0,112.0,1.0,37.0,25.0,49.0,88224232.0,88224232.0,6.239861249923706e-07,15083503616.0,15083503616.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,vit32,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,,,,,,,,,,,,,,
558969126912.0,14797504512.0,0.0,491520000.0,543680102400.0,112.0,1.0,37.0,25.0,49.0,88224232.0,88224232.0,5.520880222320556e-07,15649734656.0,15649734656.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,vit32,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,,,,,,,,,,,,,,
5439190496.0,5360927200.0,,,,403.0,245.0,,,,54139356.0,54139356.0,6.355345249176025e-07,13948944384.0,13948944384.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
10878380992.0,10721854400.0,,,,403.0,245.0,,,,54139356.0,54139356.0,6.966292858123779e-07,14156562432.0,14156562432.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
21756761984.0,21443708800.0,,,,403.0,245.0,,,,54139356.0,54139356.0,6.195157766342164e-07,14156562432.0,14156562432.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
43513523968.0,42887417600.0,,,,403.0,245.0,,,,54139356.0,54139356.0,6.247311830520629e-07,14244642816.0,14244642816.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
87027047936.0,85774835200.0,,,,403.0,245.0,,,,54139356.0,54139356.0,5.163252353668213e-07,14519369728.0,14519369728.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
174054095872.0,171549670400.0,,,,403.0,245.0,,,,54139356.0,54139356.0,5.13717532157898e-07,14854914048.0,14854914048.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
348108191744.0,343099340800.0,,,,403.0,245.0,,,,54139356.0,54139356.0,5.204230546951294e-07,15729426432.0,15729426432.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
696216383488.0,686198681600.0,,,,403.0,245.0,,,,54139356.0,54139356.0,5.245208740234375e-07,16662659072.0,16662659072.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
536192992.0,501187680.0,,,,172.0,64.0,,,,5416680.0,5416680.0,6.243586540222168e-07,13749714944.0,13749714944.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
1072385984.0,1002375360.0,,,,172.0,64.0,,,,5416680.0,5416680.0,6.295740604400635e-07,13760200704.0,13760200704.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
