<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1702887424.0,1.0,224.0,9.652983862906695e-07,5439190496.0,1702887424.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,1935671296.0,2.0,224.0,9.534996934235096e-07,10878380992.0,1935671296.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,2168455168.0,4.0,224.0,7.937022019177677e-07,21756761984.0,2168455168.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,2426404864.0,8.0,224.0,8.130038622766733e-07,43513523968.0,2426404864.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2709520384.0,16.0,224.0,9.354960639029742e-07,87027047936.0,2709520384.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,3047161856.0,32.0,224.0,7.976021151989699e-07,174054095872.0,3047161856.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,3485466624.0,64.0,224.0,1.248001353815198e-06,348108191744.0,3485466624.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,4198498304.0,128.0,224.0,8.051982149481774e-07,696216383488.0,4198498304.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
64.0,34941312.0,64.0,501187680.0,1.0,64000.0,1300234240.0,1.0,224.0,1.001299824565649e-06,536192992.0,1300234240.0,efficientnet_lite,172.0,5416680.0,5416680.0,43.0,0.0,,,,,,,,,,
64.0,69882624.0,64.0,1002375360.0,1.0,128000.0,1319108608.0,2.0,224.0,9.897979907691478e-07,1072385984.0,1319108608.0,efficientnet_lite,172.0,5416680.0,5416680.0,43.0,0.0,,,,,,,,,,
64.0,139765248.0,64.0,2004750720.0,1.0,256000.0,1367343104.0,4.0,224.0,1.09379761852324e-06,2144771968.0,1367343104.0,efficientnet_lite,172.0,5416680.0,5416680.0,43.0,0.0,,,,,,,,,,
64.0,279530496.0,64.0,4009501440.0,1.0,512000.0,1411383296.0,8.0,224.0,8.494011126458645e-07,4289543936.0,1411383296.0,efficientnet_lite,172.0,5416680.0,5416680.0,43.0,0.0,,,,,,,,,,
64.0,559060992.0,64.0,8019002880.0,1.0,1024000.0,1512046592.0,16.0,224.0,9.818992111831906e-07,8579087872.0,1512046592.0,efficientnet_lite,172.0,5416680.0,5416680.0,43.0,0.0,,,,,,,,,,
64.0,1118121984.0,64.0,16038005760.0,1.0,2048000.0,1660944384.0,32.0,224.0,9.623996447771788e-07,17158175744.0,1660944384.0,efficientnet_lite,172.0,5416680.0,5416680.0,43.0,0.0,,,,,,,,,,
64.0,2236243968.0,64.0,32076011520.0,1.0,4096000.0,1925185536.0,64.0,224.0,1.1102994903922076e-06,34316351488.0,1925185536.0,efficientnet_lite,172.0,5416680.0,5416680.0,43.0,0.0,,,,,,,,,,
64.0,4472487936.0,64.0,64152023040.0,1.0,8192000.0,2478833664.0,128.0,224.0,1.1142983566969627e-06,68632702976.0,2478833664.0,efficientnet_lite,172.0,5416680.0,5416680.0,43.0,0.0,,,,,,,,,,
,,45.0,3001948544.0,1.0,128000.0,1434451968.0,1.0,224.0,9.73499845713377e-07,3002076544.0,1434451968.0,gernet,87.0,21142920.0,21142920.0,,,41.0,0.0,,,,,,,,
,,45.0,6003897088.0,1.0,256000.0,1530920960.0,2.0,224.0,8.049013558775188e-07,6004153088.0,1530920960.0,gernet,87.0,21142920.0,21142920.0,,,41.0,0.0,,,,,,,,
,,45.0,12007794176.0,1.0,512000.0,1623195648.0,4.0,224.0,8.238013833761215e-07,12008306176.0,1623195648.0,gernet,87.0,21142920.0,21142920.0,,,41.0,0.0,,,,,,,,
,,45.0,24015588352.0,1.0,1024000.0,1740636160.0,8.0,224.0,8.342962246388197e-07,24016612352.0,1740636160.0,gernet,87.0,21142920.0,21142920.0,,,41.0,0.0,,,,,,,,
,,45.0,48031176704.0,1.0,2048000.0,1881145344.0,16.0,224.0,8.195987902581692e-07,48033224704.0,1881145344.0,gernet,87.0,21142920.0,21142920.0,,,41.0,0.0,,,,,,,,
,,45.0,96062353408.0,1.0,4096000.0,2059403264.0,32.0,224.0,1.1094030924141408e-06,96066449408.0,2059403264.0,gernet,87.0,21142920.0,21142920.0,,,41.0,0.0,,,,,,,,
,,45.0,192124706816.0,1.0,8192000.0,2527068160.0,64.0,224.0,8.335046004503965e-07,192132898816.0,2527068160.0,gernet,87.0,21142920.0,21142920.0,,,41.0,0.0,,,,,,,,
,,45.0,384249413632.0,1.0,16384000.0,2992635904.0,128.0,224.0,9.794021025300026e-07,384265797632.0,2992635904.0,gernet,87.0,21142920.0,21142920.0,,,41.0,0.0,,,,,,,,
20.0,9934848.0,20.0,1813561344.0,1.0,25600.0,1384120320.0,1.0,224.0,9.857001714408398e-07,1824033792.0,1384120320.0,resnet18,52.0,11689512.0,11689512.0,,,9.0,0.0,1.0,512000.0,1.0,0.0,,,,
20.0,19869696.0,20.0,3627122688.0,1.0,51200.0,1432354816.0,2.0,224.0,8.38900450617075e-07,3648067584.0,1432354816.0,resnet18,52.0,11689512.0,11689512.0,,,9.0,0.0,1.0,1024000.0,1.0,0.0,,,,
20.0,39739392.0,20.0,7254245376.0,1.0,102400.0,1480589312.0,4.0,224.0,1.0648975148797035e-06,7296135168.0,1480589312.0,resnet18,52.0,11689512.0,11689512.0,,,9.0,0.0,1.0,2048000.0,1.0,0.0,,,,
20.0,79478784.0,20.0,14508490752.0,1.0,204800.0,1520435200.0,8.0,224.0,1.096801133826375e-06,14592270336.0,1520435200.0,resnet18,52.0,11689512.0,11689512.0,,,9.0,0.0,1.0,4096000.0,1.0,0.0,,,,
20.0,158957568.0,20.0,29016981504.0,1.0,409600.0,1625292800.0,16.0,224.0,1.119397347792983e-06,29184540672.0,1625292800.0,resnet18,52.0,11689512.0,11689512.0,,,9.0,0.0,1.0,8192000.0,1.0,0.0,,,,
20.0,317915136.0,20.0,58033963008.0,1.0,819200.0,1746927616.0,32.0,224.0,1.0840012691915035e-06,58369081344.0,1746927616.0,resnet18,52.0,11689512.0,11689512.0,,,9.0,0.0,1.0,16384000.0,1.0,0.0,,,,
20.0,635830272.0,20.0,116067926016.0,1.0,1638400.0,1965031424.0,64.0,224.0,1.0614981874823573e-06,116738162688.0,1965031424.0,resnet18,52.0,11689512.0,11689512.0,,,9.0,0.0,1.0,32768000.0,1.0,0.0,,,,
