<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs
157.0,78199296.0,245.0,5360927200.0,1.0,64000.0,1713373184.0,1.0,224.0,9.916722774505615e-07,5439190496.0,1713373184.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,1.0,128000.0,1946157056.0,2.0,224.0,9.628012776374814e-07,10878380992.0,1946157056.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,312797184.0,245.0,21443708800.0,1.0,256000.0,2178940928.0,4.0,224.0,9.76398587226868e-07,21756761984.0,2178940928.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,625594368.0,245.0,42887417600.0,1.0,512000.0,2428502016.0,8.0,224.0,1.0535120964050293e-06,43513523968.0,2428502016.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,1251188736.0,245.0,85774835200.0,1.0,1024000.0,2720006144.0,16.0,224.0,1.0073184967041015e-06,87027047936.0,2720006144.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,2502377472.0,245.0,171549670400.0,1.0,2048000.0,3057647616.0,32.0,224.0,1.12634152173996e-06,174054095872.0,3057647616.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,5004754944.0,245.0,343099340800.0,1.0,4096000.0,3495952384.0,64.0,224.0,1.0164454579353331e-06,348108191744.0,3495952384.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
157.0,10009509888.0,245.0,686198681600.0,1.0,8192000.0,4206886912.0,128.0,224.0,9.73232090473175e-07,696216383488.0,4206886912.0,efficientnet,403.0,54139356.0,0.0,,,,,,,,,,
64.0,34941312.0,64.0,501187680.0,1.0,64000.0,1310720000.0,1.0,224.0,9.031966328620909e-07,536192992.0,1310720000.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
64.0,69882624.0,64.0,1002375360.0,1.0,128000.0,1329594368.0,2.0,224.0,9.54978168010712e-07,1072385984.0,1329594368.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
